,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_loglosstiebreakstack,cnae-9,best_ensemble_model,0,,,0.9814809999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_loglosstiebreakstack,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearnEnsembleIntensification_loglosstiebreakstack,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_loglosstiebreakstack,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s8c32G
4,autosklearnEnsembleIntensification_loglosstiebreakstack,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_loglosstiebreakstack,higgs,best_ensemble_model,0,,,0.737017,,3600s8c32G
6,autosklearnEnsembleIntensification_loglosstiebreakstack,higgs,best_ensemble_model,1,,,0.7287170000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_loglosstiebreakstack,higgs,best_ensemble_model,2,,,0.73385,,3600s8c32G
8,autosklearnEnsembleIntensification_loglosstiebreakstack,higgs,best_ensemble_model,3,,,0.7357819999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_loglosstiebreakstack,higgs,best_ensemble_model,4,,,0.734122,,3600s8c32G
10,autosklearnEnsembleIntensification_loglosstiebreakstack,kr-vs-kp,best_ensemble_model,0,,,0.997006,,3600s8c32G
11,autosklearnEnsembleIntensification_loglosstiebreakstack,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearnEnsembleIntensification_loglosstiebreakstack,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_loglosstiebreakstack,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_loglosstiebreakstack,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_loglosstiebreakstack,vehicle,best_ensemble_model,0,,,0.894426,,3600s8c32G
16,autosklearnEnsembleIntensification_loglosstiebreakstack,vehicle,best_ensemble_model,1,,,0.791126,,3600s8c32G
17,autosklearnEnsembleIntensification_loglosstiebreakstack,vehicle,best_ensemble_model,2,,,0.813312,,3600s8c32G
18,autosklearnEnsembleIntensification_loglosstiebreakstack,vehicle,best_ensemble_model,3,,,0.8593069999999999,,3600s8c32G
19,autosklearnEnsembleIntensification_loglosstiebreakstack,vehicle,best_ensemble_model,4,,,0.872835,,3600s8c32G
20,autosklearnEnsembleIntensification_loglosstiebreakstack,MiniBooNE,best_ensemble_model,0,,,0.9440299999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_loglosstiebreakstack,MiniBooNE,best_ensemble_model,1,,,0.9434870000000001,,3600s8c32G
22,autosklearnEnsembleIntensification_loglosstiebreakstack,MiniBooNE,best_ensemble_model,2,,,0.944241,,3600s8c32G
23,autosklearnEnsembleIntensification_loglosstiebreakstack,MiniBooNE,best_ensemble_model,3,,,0.947343,,3600s8c32G
24,autosklearnEnsembleIntensification_loglosstiebreakstack,MiniBooNE,best_ensemble_model,4,,,0.9460129999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_loglosstiebreakstack,connect-4,best_ensemble_model,0,,,0.785315,,3600s8c32G
26,autosklearnEnsembleIntensification_loglosstiebreakstack,connect-4,best_ensemble_model,1,,,0.78385,,3600s8c32G
27,autosklearnEnsembleIntensification_loglosstiebreakstack,connect-4,best_ensemble_model,2,,,0.79883,,3600s8c32G
28,autosklearnEnsembleIntensification_loglosstiebreakstack,connect-4,best_ensemble_model,3,,,0.776691,,3600s8c32G
29,autosklearnEnsembleIntensification_loglosstiebreakstack,connect-4,best_ensemble_model,4,,,0.783295,,3600s8c32G
30,autosklearnEnsembleIntensification_loglosstiebreakstack,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_loglosstiebreakstack,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearnEnsembleIntensification_loglosstiebreakstack,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s8c32G
33,autosklearnEnsembleIntensification_loglosstiebreakstack,segment,best_ensemble_model,3,,,0.9870129999999999,,3600s8c32G
34,autosklearnEnsembleIntensification_loglosstiebreakstack,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearnEnsembleIntensification_loglosstiebreakstack,Australian,best_ensemble_model,0,,,0.9252969999999999,,3600s8c32G
36,autosklearnEnsembleIntensification_loglosstiebreakstack,Australian,best_ensemble_model,1,,,0.828523,,3600s8c32G
37,autosklearnEnsembleIntensification_loglosstiebreakstack,Australian,best_ensemble_model,2,,,0.803905,,3600s8c32G
38,autosklearnEnsembleIntensification_loglosstiebreakstack,Australian,best_ensemble_model,3,,,0.8624790000000001,,3600s8c32G
39,autosklearnEnsembleIntensification_loglosstiebreakstack,Australian,best_ensemble_model,4,,,0.9019520000000001,,3600s8c32G
40,autosklearnEnsembleIntensification_loglosstiebreakstack,adult,best_ensemble_model,0,,,0.847542,,3600s8c32G
41,autosklearnEnsembleIntensification_loglosstiebreakstack,adult,best_ensemble_model,1,,,0.837892,,3600s8c32G
42,autosklearnEnsembleIntensification_loglosstiebreakstack,adult,best_ensemble_model,2,,,0.850359,,3600s8c32G
43,autosklearnEnsembleIntensification_loglosstiebreakstack,adult,best_ensemble_model,3,,,0.843276,,3600s8c32G
44,autosklearnEnsembleIntensification_loglosstiebreakstack,adult,best_ensemble_model,4,,,0.837332,,3600s8c32G
45,autosklearnEnsembleIntensification_loglosstiebreakstack,Albert,best_ensemble_model,0,,,0.687753,,3600s8c32G
46,autosklearnEnsembleIntensification_loglosstiebreakstack,Albert,best_ensemble_model,1,,,0.690128,,3600s8c32G
47,autosklearnEnsembleIntensification_loglosstiebreakstack,Albert,best_ensemble_model,2,,,0.693067,,3600s8c32G
48,autosklearnEnsembleIntensification_loglosstiebreakstack,Albert,best_ensemble_model,3,,,0.6884819999999999,,3600s8c32G
49,autosklearnEnsembleIntensification_loglosstiebreakstack,Albert,best_ensemble_model,4,,,0.692268,,3600s8c32G
