,index,constraint,fold,model,overfit,task,test,tool,train,val,seed
50,50,3600s8c32G,0,best_ensemble_model,,Albert,0.688106,autosklearn,,,0
51,51,3600s8c32G,1,best_ensemble_model,,Albert,0.688153,autosklearn,,,0
52,52,3600s8c32G,2,best_ensemble_model,,Albert,0.692809,autosklearn,,,0
53,53,3600s8c32G,3,best_ensemble_model,,Albert,0.687729,autosklearn,,,0
54,54,3600s8c32G,4,best_ensemble_model,,Albert,0.692244,autosklearn,,,0
55,55,3600s8c32G,0,best_ensemble_model,,Australian,0.8624790000000001,autosklearn,,,0
56,56,3600s8c32G,1,best_ensemble_model,,Australian,0.8637520000000001,autosklearn,,,0
57,57,3600s8c32G,2,best_ensemble_model,,Australian,0.833192,autosklearn,,,0
58,58,3600s8c32G,3,best_ensemble_model,,Australian,0.833192,autosklearn,,,0
59,59,3600s8c32G,4,best_ensemble_model,,Australian,0.8989809999999999,autosklearn,,,0
60,60,3600s8c32G,0,best_ensemble_model,,MiniBooNE,0.939516,autosklearn,,,0
61,61,3600s8c32G,1,best_ensemble_model,,MiniBooNE,0.939296,autosklearn,,,0
62,62,3600s8c32G,2,best_ensemble_model,,MiniBooNE,0.941796,autosklearn,,,0
63,63,3600s8c32G,3,best_ensemble_model,,MiniBooNE,0.942113,autosklearn,,,0
64,64,3600s8c32G,4,best_ensemble_model,,MiniBooNE,0.942563,autosklearn,,,0
65,65,3600s8c32G,0,best_ensemble_model,,adult,0.846849,autosklearn,,,0
66,66,3600s8c32G,1,best_ensemble_model,,adult,0.8356959999999999,autosklearn,,,0
67,67,3600s8c32G,2,best_ensemble_model,,adult,0.8495520000000001,autosklearn,,,0
68,68,3600s8c32G,3,best_ensemble_model,,adult,0.8426530000000001,autosklearn,,,0
69,69,3600s8c32G,4,best_ensemble_model,,adult,0.838825,autosklearn,,,0
70,70,3600s8c32G,0,best_ensemble_model,,cnae-9,0.972222,autosklearn,,,0
71,71,3600s8c32G,1,best_ensemble_model,,cnae-9,0.907407,autosklearn,,,0
72,72,3600s8c32G,2,best_ensemble_model,,cnae-9,0.972222,autosklearn,,,0
73,73,3600s8c32G,3,best_ensemble_model,,cnae-9,0.925926,autosklearn,,,0
74,74,3600s8c32G,4,best_ensemble_model,,cnae-9,0.962963,autosklearn,,,0
75,75,3600s8c32G,0,best_ensemble_model,,connect-4,0.766238,autosklearn,,,0
