,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,autosklearn,cnae-9,best_ensemble_model,1,,,0.935185,,3600s8c32G
2,autosklearn,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
3,autosklearn,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s8c32G
4,autosklearn,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
5,autosklearn,higgs,best_ensemble_model,0,,,0.736097,,3600s8c32G
6,autosklearn,higgs,best_ensemble_model,1,,,0.72644,,3600s8c32G
7,autosklearn,higgs,best_ensemble_model,2,,,,,3600s8c32G
8,autosklearn,higgs,best_ensemble_model,3,,,0.7359899999999999,,3600s8c32G
9,autosklearn,higgs,best_ensemble_model,4,,,0.736748,,3600s8c32G
10,autosklearn,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearn,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearn,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearn,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn,vehicle,best_ensemble_model,0,,,0.894426,,3600s8c32G
16,autosklearn,vehicle,best_ensemble_model,1,,,0.825216,,3600s8c32G
17,autosklearn,vehicle,best_ensemble_model,2,,,0.8371209999999999,,3600s8c32G
18,autosklearn,vehicle,best_ensemble_model,3,,,0.813312,,3600s8c32G
19,autosklearn,vehicle,best_ensemble_model,4,,,0.850108,,3600s8c32G
20,autosklearn,MiniBooNE,best_ensemble_model,0,,,0.942206,,3600s8c32G
21,autosklearn,MiniBooNE,best_ensemble_model,1,,,0.939744,,3600s8c32G
22,autosklearn,MiniBooNE,best_ensemble_model,2,,,0.942211,,3600s8c32G
23,autosklearn,MiniBooNE,best_ensemble_model,3,,,0.9452510000000001,,3600s8c32G
24,autosklearn,MiniBooNE,best_ensemble_model,4,,,0.944859,,3600s8c32G
25,autosklearn,connect-4,best_ensemble_model,0,,,0.7647390000000001,,3600s8c32G
26,autosklearn,connect-4,best_ensemble_model,1,,,0.7601640000000001,,3600s8c32G
27,autosklearn,connect-4,best_ensemble_model,2,,,0.796334,,3600s8c32G
28,autosklearn,connect-4,best_ensemble_model,3,,,0.7597229999999999,,3600s8c32G
29,autosklearn,connect-4,best_ensemble_model,4,,,0.776075,,3600s8c32G
30,autosklearn,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearn,segment,best_ensemble_model,1,,,0.9870129999999999,,3600s8c32G
32,autosklearn,segment,best_ensemble_model,2,,,0.9870129999999999,,3600s8c32G
33,autosklearn,segment,best_ensemble_model,3,,,0.982684,,3600s8c32G
34,autosklearn,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn,Australian,best_ensemble_model,0,,,0.8726659999999999,,3600s8c32G
36,autosklearn,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s8c32G
37,autosklearn,Australian,best_ensemble_model,2,,,0.84635,,3600s8c32G
38,autosklearn,Australian,best_ensemble_model,3,,,0.833192,,3600s8c32G
39,autosklearn,Australian,best_ensemble_model,4,,,0.8858229999999999,,3600s8c32G
40,autosklearn,adult,best_ensemble_model,0,,,0.8528709999999999,,3600s8c32G
41,autosklearn,adult,best_ensemble_model,1,,,0.8386899999999999,,3600s8c32G
42,autosklearn,adult,best_ensemble_model,2,,,0.848989,,3600s8c32G
43,autosklearn,adult,best_ensemble_model,3,,,0.840794,,3600s8c32G
44,autosklearn,adult,best_ensemble_model,4,,,0.8356690000000001,,3600s8c32G
45,autosklearn,Albert,best_ensemble_model,0,,,0.687847,,3600s8c32G
46,autosklearn,Albert,best_ensemble_model,1,,,0.68994,,3600s8c32G
47,autosklearn,Albert,best_ensemble_model,2,,,0.690833,,3600s8c32G
48,autosklearn,Albert,best_ensemble_model,3,,,0.687612,,3600s8c32G
49,autosklearn,Albert,best_ensemble_model,4,,,0.690669,,3600s8c32G
