,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,cnae-9,best_ensemble_model,0,,,-0.149195,,3600s8c32G
1,AutoGluon,cnae-9,best_ensemble_model,1,,,-0.334353,,3600s8c32G
2,AutoGluon,cnae-9,best_ensemble_model,2,,,-0.11678499999999999,,3600s8c32G
3,AutoGluon,cnae-9,best_ensemble_model,3,,,-0.215419,,3600s8c32G
4,AutoGluon,cnae-9,best_ensemble_model,4,,,-0.166304,,3600s8c32G
5,AutoGluon,higgs,best_ensemble_model,0,,,,,3600s8c32G
6,AutoGluon,higgs,best_ensemble_model,1,,,0.808291,,3600s8c32G
7,AutoGluon,higgs,best_ensemble_model,2,,,,,3600s8c32G
8,AutoGluon,higgs,best_ensemble_model,3,,,,,3600s8c32G
9,AutoGluon,higgs,best_ensemble_model,4,,,,,3600s8c32G
10,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.999922,,3600s8c32G
11,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.9995299999999999,,3600s8c32G
12,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.9996870000000001,,3600s8c32G
13,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,AutoGluon,vehicle,best_ensemble_model,0,,,-0.29886599999999997,,3600s8c32G
16,AutoGluon,vehicle,best_ensemble_model,1,,,-0.339095,,3600s8c32G
17,AutoGluon,vehicle,best_ensemble_model,2,,,-0.269876,,3600s8c32G
18,AutoGluon,vehicle,best_ensemble_model,3,,,-0.268931,,3600s8c32G
19,AutoGluon,vehicle,best_ensemble_model,4,,,-0.302244,,3600s8c32G
20,AutoGluon,MiniBooNE,best_ensemble_model,0,,,0.98629,,3600s8c32G
21,AutoGluon,MiniBooNE,best_ensemble_model,1,,,0.987591,,3600s8c32G
22,AutoGluon,MiniBooNE,best_ensemble_model,2,,,0.9879540000000001,,3600s8c32G
23,AutoGluon,MiniBooNE,best_ensemble_model,3,,,0.988216,,3600s8c32G
24,AutoGluon,MiniBooNE,best_ensemble_model,4,,,0.988716,,3600s8c32G
25,AutoGluon,connect-4,best_ensemble_model,0,,,-0.314934,,3600s8c32G
26,AutoGluon,connect-4,best_ensemble_model,1,,,-0.315346,,3600s8c32G
27,AutoGluon,connect-4,best_ensemble_model,2,,,-0.294558,,3600s8c32G
28,AutoGluon,connect-4,best_ensemble_model,3,,,-0.316786,,3600s8c32G
29,AutoGluon,connect-4,best_ensemble_model,4,,,-0.311508,,3600s8c32G
30,AutoGluon,segment,best_ensemble_model,0,,,-0.0491827,,3600s8c32G
31,AutoGluon,segment,best_ensemble_model,1,,,-0.0295954,,3600s8c32G
32,AutoGluon,segment,best_ensemble_model,2,,,-0.028920400000000002,,3600s8c32G
33,AutoGluon,segment,best_ensemble_model,3,,,-0.023277700000000002,,3600s8c32G
34,AutoGluon,segment,best_ensemble_model,4,,,-0.00942675,,3600s8c32G
35,AutoGluon,Australian,best_ensemble_model,0,,,0.941426,,3600s8c32G
36,AutoGluon,Australian,best_ensemble_model,1,,,0.9261459999999999,,3600s8c32G
37,AutoGluon,Australian,best_ensemble_model,2,,,0.923599,,3600s8c32G
38,AutoGluon,Australian,best_ensemble_model,3,,,0.943973,,3600s8c32G
39,AutoGluon,Australian,best_ensemble_model,4,,,0.9507639999999999,,3600s8c32G
40,AutoGluon,adult,best_ensemble_model,0,,,0.9325209999999999,,3600s8c32G
41,AutoGluon,adult,best_ensemble_model,1,,,0.929056,,3600s8c32G
42,AutoGluon,adult,best_ensemble_model,2,,,0.932808,,3600s8c32G
43,AutoGluon,adult,best_ensemble_model,3,,,0.928531,,3600s8c32G
44,AutoGluon,adult,best_ensemble_model,4,,,0.9286629999999999,,3600s8c32G
45,AutoGluon,Albert,best_ensemble_model,0,,,0.769709,,3600s8c32G
46,AutoGluon,Albert,best_ensemble_model,1,,,0.767509,,3600s8c32G
47,AutoGluon,Albert,best_ensemble_model,2,,,0.7469680000000001,,3600s8c32G
48,AutoGluon,Albert,best_ensemble_model,3,,,0.771196,,3600s8c32G
49,AutoGluon,Albert,best_ensemble_model,4,,,0.771476,,3600s8c32G
