,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,cnae-9,best_ensemble_model,0,,,-0.109008,,3600s8c32G
1,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,cnae-9,best_ensemble_model,1,,,-0.23464699999999997,,3600s8c32G
2,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,cnae-9,best_ensemble_model,2,,,-0.137404,,3600s8c32G
3,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,cnae-9,best_ensemble_model,3,,,-0.131149,,3600s8c32G
4,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,cnae-9,best_ensemble_model,4,,,-0.090942,,3600s8c32G
5,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,higgs,best_ensemble_model,0,,,0.818709,,3600s8c32G
6,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,higgs,best_ensemble_model,1,,,0.8105600000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,higgs,best_ensemble_model,2,,,0.816028,,3600s8c32G
8,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,higgs,best_ensemble_model,3,,,0.819843,,3600s8c32G
9,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,higgs,best_ensemble_model,4,,,0.8209290000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,kr-vs-kp,best_ensemble_model,0,,,0.9999610000000001,,3600s8c32G
11,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,kr-vs-kp,best_ensemble_model,1,,,0.999609,,3600s8c32G
12,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,kr-vs-kp,best_ensemble_model,2,,,0.999609,,3600s8c32G
13,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,vehicle,best_ensemble_model,0,,,-0.237431,,3600s8c32G
16,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,vehicle,best_ensemble_model,1,,,-0.352605,,3600s8c32G
17,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,vehicle,best_ensemble_model,2,,,-0.265341,,3600s8c32G
18,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,vehicle,best_ensemble_model,3,,,-0.290108,,3600s8c32G
19,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,vehicle,best_ensemble_model,4,,,-0.23805900000000002,,3600s8c32G
20,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,MiniBooNE,best_ensemble_model,0,,,0.9845370000000001,,3600s8c32G
21,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,MiniBooNE,best_ensemble_model,1,,,0.9862120000000001,,3600s8c32G
22,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,MiniBooNE,best_ensemble_model,2,,,0.985748,,3600s8c32G
23,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,MiniBooNE,best_ensemble_model,3,,,0.986293,,3600s8c32G
24,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,MiniBooNE,best_ensemble_model,4,,,0.986617,,3600s8c32G
25,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,connect-4,best_ensemble_model,0,,,-0.458066,,3600s8c32G
26,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,connect-4,best_ensemble_model,1,,,-0.457794,,3600s8c32G
27,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,connect-4,best_ensemble_model,2,,,-0.429422,,3600s8c32G
28,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,connect-4,best_ensemble_model,3,,,-0.442395,,3600s8c32G
29,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,connect-4,best_ensemble_model,4,,,-0.3709,,3600s8c32G
30,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix_TieBreak_MedianRule10_heuristic,segment,best_ensemble_model,0,,,-0.04919280000000001,,3600s8c32G
