,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
0,cnae-9,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.18064840259961376,0.25134475648773563,-0.030543426300605126,-0.134773259183975
1,MiniBooNE,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-4.227567158541362e-06,0.0003153144564649324,0.021442252869745226,0.010306738787746211
2,higgs,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.01110223470872887,-0.007109377067607836,0.004031062646376811,0.020427923700660013
3,Australian,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.0006301197227472841,0.014431239388794537,-0.005514979664318056,-0.006096619848742082
4,connect-4,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.11968409374122208,-0.12161530011368199,0.11455045555848269,0.12324244577088163
5,higgs,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.00038713375614257695,0.00047436203440709424,0.029059266897755724,0.031244323016835662
6,Albert,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.005579080732382807,0.0047098038960304844,0.04215973400008044,0.04130555729888402
7,cnae-9,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.19221599767041442,0.17097460126791686,0.04669277878558441,-0.026669800511815583
8,vehicle,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.1359114673131132,0.14661163532488392,0.21949546147531618,0.24584999966868007
9,adult,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.0004951040864474565,0.0008485259221676644,-0.002481640881200997,-0.0019212360630554768
