,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_individual_model,0,0.996403351735676,0.9261112496709204,0.9722222222222222,0.0
1,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_ensemble_model,0,0.9629629629629632,inf,0.9722222222222222,0.0
2,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_individual_model,1,0.9981998596662472,0.9372687783181609,0.9166666666666666,0.0
3,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_ensemble_model,1,0.9742798353909464,inf,0.9166666666666666,0.0
4,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_individual_model,2,0.996396747713488,0.9279939310803508,0.9444444444444444,0.01851851851851838
5,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_ensemble_model,2,0.969135802469136,inf,0.9722222222222222,0.0
6,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_individual_model,3,0.9966615502873716,0.9393541034487536,0.8981481481481483,0.05555555555555536
7,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_ensemble_model,3,0.9691358024691356,inf,0.9444444444444444,0.0
8,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_individual_model,4,0.9966615464678098,0.921525414838172,0.9814814814814814,0.0
9,autosklearnHyperBandRepeats_eta3_cv5_repeats5,cnae-9,best_ensemble_model,4,0.9639917695473249,inf,0.9629629629629628,0.0
10,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_individual_model,0,0.8525816834859454,0.7259932427418224,0.7371892613518582,0.002952970452221093
11,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_ensemble_model,0,0.7326371022019839,inf,0.7363918121873639,0.0
12,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_individual_model,1,0.8524548261031564,0.7268683004609283,0.7207106280555005,0.003943395301778896
13,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_ensemble_model,1,0.7322082659943765,inf,0.7223975895195545,0.0
14,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_individual_model,2,0.8514464166355741,0.7268388083169108,0.7357271251181209,0.001707143974053582
15,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_ensemble_model,2,0.731356563899173,inf,0.7369846186315415,0.0
16,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_individual_model,3,0.8526329112297241,0.7265122420905773,0.7334423367409665,0.0028154320372839603
17,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_ensemble_model,3,0.7306448121488244,inf,0.7348687538471852,0.0
18,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_individual_model,4,0.852545136072292,0.7249022922874249,0.7357782194611031,0.0008977565624327388
19,autosklearnHyperBandRepeats_eta3_cv5_repeats5,higgs,best_ensemble_model,4,0.7307504069170925,inf,0.7346674249512415,0.0
20,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_individual_model,0,1.0,0.9968165320558006,0.9967320261437908,0.0
21,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_ensemble_model,0,0.9978476054246932,inf,0.9967320261437908,0.0
22,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_individual_model,1,1.0,0.996090619239654,0.9910179640718564,0.0
23,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_ensemble_model,1,0.997150814925078,inf,0.9850299401197604,0.0
24,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_individual_model,2,1.0,0.9956954978302444,0.9967320261437908,0.0
25,autosklearnHyperBandRepeats_eta3_cv5_repeats5,kr-vs-kp,best_ensemble_model,2,0.9971198033868476,inf,0.9967320261437908,0.0
