,tool,task,model,fold,train,val,test,overfit,seed
0,None_es50_B150_N1.0,segment,best_individual_model,0,0.0,0.0,0.0,0.0,147
1,None_es50_B150_N1.0,segment,best_ensemble_model,0,0.9874939874939876,inf,0.9913419913419912,0.0,147
2,None_es50_B150_N1.0,segment,best_individual_model,1,0.0,0.0,0.0,0.0,147
3,None_es50_B150_N1.0,segment,best_ensemble_model,1,0.9865319865319864,inf,0.9826839826839828,0.0,147
4,None_es50_B150_N1.0,segment,best_individual_model,2,0.0,0.0,0.0,0.0,147
5,None_es50_B150_N1.0,segment,best_ensemble_model,2,0.988936988936989,inf,0.9913419913419912,0.0,147
6,None_es50_B150_N1.0,segment,best_individual_model,3,0.0,0.0,0.0,0.0,147
7,None_es50_B150_N1.0,segment,best_ensemble_model,3,0.986050986050986,inf,0.9826839826839828,0.0,147
8,None_es50_B150_N1.0,segment,best_individual_model,4,0.0,0.0,0.0,0.0,147
9,None_es50_B150_N1.0,segment,best_ensemble_model,4,0.9884559884559884,inf,1.0,0.0,147
