,index,fold,model,overfit,task,test,tool,train,val,seed
0,0,0,best_ensemble_model,0.0,Albert,0.5666917505408711,autosklearn,0.5656204600800594,inf,0
1,1,1,best_ensemble_model,0.0,Albert,0.6422020506067162,autosklearn,0.6355522110389951,inf,0
2,2,2,best_ensemble_model,0.0,Albert,0.6452356316433073,autosklearn,0.6365033079359107,inf,0
3,3,3,best_ensemble_model,0.0,Albert,0.640814598814787,autosklearn,0.6376947919606183,inf,0
4,4,4,best_ensemble_model,0.0,Albert,0.5694196218605964,autosklearn,0.5652180729313643,inf,0
5,5,0,best_ensemble_model,0.0,Australian,0.9151103565365024,autosklearn,0.8887681159420291,inf,0
6,6,1,best_ensemble_model,0.0,Australian,0.815365025466893,autosklearn,0.8920289855072464,inf,0
7,7,2,best_ensemble_model,0.0,Australian,0.8726655348047538,autosklearn,0.8927536231884059,inf,0
8,8,3,best_ensemble_model,0.0,Australian,0.849320882852292,autosklearn,0.9014492753623188,inf,0
9,9,4,best_ensemble_model,0.0,Australian,0.8696943972835314,autosklearn,0.9028985507246376,inf,0
10,10,0,best_ensemble_model,0.0,MiniBooNE,0.9384046520003336,autosklearn,0.9403382547932192,inf,0
11,11,1,best_ensemble_model,0.0,MiniBooNE,0.9371339602173159,autosklearn,0.9403281235587362,inf,0
12,12,2,best_ensemble_model,0.0,MiniBooNE,0.9390119184084584,autosklearn,0.9403239300023836,inf,0
13,13,3,best_ensemble_model,0.0,MiniBooNE,0.9438025886414244,autosklearn,0.9400637561628142,inf,0
14,14,4,best_ensemble_model,0.0,MiniBooNE,0.9408531174410454,autosklearn,0.9398391624884208,inf,0
15,15,0,best_ensemble_model,0.0,adult,0.8496563308873565,autosklearn,0.844658883137374,inf,0
16,16,1,best_ensemble_model,0.0,adult,0.836330261206021,autosklearn,0.8462222629336309,inf,0
17,17,2,best_ensemble_model,0.0,adult,0.8498205649026056,autosklearn,0.8455448817798012,inf,0
18,18,3,best_ensemble_model,0.0,adult,0.8455148598434021,autosklearn,0.8460949751356837,inf,0
19,19,4,best_ensemble_model,0.0,adult,0.8391793355648289,autosklearn,0.8464522611150394,inf,0
20,20,0,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9691358024691356,inf,0
21,21,1,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearn,0.969135802469136,inf,0
22,22,2,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9732510288065844,inf,0
23,23,3,best_ensemble_model,0.0,cnae-9,0.9259259259259258,autosklearn,0.969135802469136,inf,0
24,24,4,best_ensemble_model,0.0,cnae-9,0.9722222222222222,autosklearn,0.9650205761316872,inf,0
25,25,0,best_ensemble_model,0.0,connect-4,0.7429618287078933,autosklearn,0.7469765394156865,inf,0
26,26,1,best_ensemble_model,0.0,connect-4,0.7592758105532244,autosklearn,0.7470883716241016,inf,0
27,27,2,best_ensemble_model,0.0,connect-4,0.7643646031447089,autosklearn,0.7457377388822243,inf,0
28,28,3,best_ensemble_model,0.0,connect-4,0.759593547258515,autosklearn,0.7493890395092451,inf,0
29,29,4,best_ensemble_model,0.0,connect-4,0.7642407070121845,autosklearn,0.7447197295602782,inf,0
30,30,0,best_ensemble_model,0.0,higgs,0.7372633543306575,autosklearn,0.7274388898966828,inf,0
31,31,1,best_ensemble_model,0.0,higgs,0.7213806790389836,autosklearn,0.7279586143704082,inf,0
32,32,2,best_ensemble_model,0.0,higgs,0.7315863294238121,autosklearn,0.7256180376328571,inf,0
33,33,3,best_ensemble_model,0.0,higgs,0.7311789833504384,autosklearn,0.7259197407901062,inf,0
34,34,4,best_ensemble_model,0.0,higgs,0.7362338288815422,autosklearn,0.7261809069544851,inf,0
35,35,0,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearn,0.9982425179818466,inf,0
36,36,1,best_ensemble_model,0.0,kr-vs-kp,0.9850299401197604,autosklearn,0.9979096285011542,inf,0
37,37,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearn,0.996848936982616,inf,0
38,38,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearn,0.9975457274822314,inf,0
39,39,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearn,0.9972128380015391,inf,0
40,40,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearn,0.9894179894179896,inf,0
41,41,1,best_ensemble_model,0.0,segment,0.9826839826839828,autosklearn,0.987012987012987,inf,0
42,42,2,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearn,0.9894179894179894,inf,0
43,43,3,best_ensemble_model,0.0,segment,0.987012987012987,autosklearn,0.9884559884559884,inf,0
44,44,4,best_ensemble_model,0.0,segment,1.0,autosklearn,0.988936988936989,inf,0
45,45,0,best_ensemble_model,0.0,vehicle,0.8587121212121211,autosklearn,0.8584090362329917,inf,0
46,46,1,best_ensemble_model,0.0,vehicle,0.8138528138528138,autosklearn,0.8843715940534884,inf,0
47,47,2,best_ensemble_model,0.0,vehicle,0.7911255411255411,autosklearn,0.8637788845347771,inf,0
48,48,3,best_ensemble_model,0.0,vehicle,0.8365800865800865,autosklearn,0.8807140436165332,inf,0
49,49,4,best_ensemble_model,0.0,vehicle,0.8376623376623377,autosklearn,0.8716119795125992,inf,0
50,50,0,best_ensemble_model,0.0,Albert,0.6761358291788166,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.6774404264214047,inf,0
51,51,1,best_ensemble_model,0.0,Albert,0.6749835387075533,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.6784855769230769,inf,0
52,52,2,best_ensemble_model,0.0,Albert,0.6783463455930769,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.6771041356973422,inf,0
53,53,3,best_ensemble_model,0.0,Albert,0.6769824099332142,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.6772086513662205,inf,0
54,54,4,best_ensemble_model,0.0,Albert,0.6797337973850062,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.6766468801553766,inf,0
55,55,0,best_ensemble_model,0.0,Australian,0.8624787775891339,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8844202898550724,inf,0
56,56,1,best_ensemble_model,0.0,Australian,0.8314940577249575,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.893840579710145,inf,0
57,57,2,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8898550724637682,inf,0
58,58,3,best_ensemble_model,0.0,Australian,0.8624787775891339,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9007246376811596,inf,0
59,59,4,best_ensemble_model,0.0,Australian,0.8989813242784379,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8989130434782608,inf,0
60,60,0,best_ensemble_model,0.0,MiniBooNE,0.9271482341987026,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9316596527815058,inf,0
61,61,1,best_ensemble_model,0.0,MiniBooNE,0.9376886983739372,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9401994263871418,inf,0
62,62,2,best_ensemble_model,0.0,MiniBooNE,0.9253266545740424,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9320288645639652,inf,0
63,63,3,best_ensemble_model,0.0,MiniBooNE,0.9341900064562316,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9320552445804384,inf,0
64,64,4,best_ensemble_model,0.0,MiniBooNE,0.9288900002703282,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9330834687579812,inf,0
65,65,0,best_ensemble_model,0.0,adult,0.8454032270688517,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8449606695835683,inf,0
66,66,1,best_ensemble_model,0.0,adult,0.8354507730655865,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8466739486028947,inf,0
67,67,2,best_ensemble_model,0.0,adult,0.8509214135098868,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8459736343368289,inf,0
68,68,3,best_ensemble_model,0.0,adult,0.8452950587610776,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8469699645147034,inf,0
69,69,4,best_ensemble_model,0.0,adult,0.8368311042953832,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8469680540389221,inf,0
70,70,0,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9465020576131687,inf,0
71,71,1,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9591149591149593,inf,0
72,72,2,best_ensemble_model,0.0,cnae-9,0.9351851851851852,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9540644540644542,inf,0
73,73,3,best_ensemble_model,0.0,cnae-9,0.8888888888888888,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.964165464165464,inf,0
74,74,4,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9588744588744588,inf,0
75,75,0,best_ensemble_model,0.0,connect-4,0.7457789404130949,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7486461797442346,inf,0
76,76,1,best_ensemble_model,0.0,connect-4,0.7523427757535263,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7478890843575557,inf,0
77,77,2,best_ensemble_model,0.0,connect-4,0.7614479232175938,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7466422352622241,inf,0
78,78,3,best_ensemble_model,0.0,connect-4,0.7549327122425625,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7498733915571658,inf,0
79,79,4,best_ensemble_model,0.0,connect-4,0.7579606601399856,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7479862395037685,inf,0
80,80,0,best_ensemble_model,0.0,higgs,0.730762394628305,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7333815807510904,inf,0
