,fold,model,overfit,task,test,tool,train,val
0,0,best_ensemble_model,0.0,Albert,0.6850249270999906,autosklearn,0.6853449122250823,inf
1,1,best_ensemble_model,0.0,Albert,0.6761123130467501,autosklearn,0.6748141619335255,inf
2,2,best_ensemble_model,0.0,Albert,0.6760652807826169,autosklearn,0.6733255062430392,inf
3,3,best_ensemble_model,0.0,Albert,0.6746778289906876,autosklearn,0.6740460815580189,inf
4,4,best_ensemble_model,0.0,Albert,0.6798043457812061,autosklearn,0.6756534100618128,inf
5,0,best_ensemble_model,0.0,Australian,0.8960101867572157,autosklearn,0.9308367071524968,inf
6,1,best_ensemble_model,0.0,Australian,0.8505942275042444,autosklearn,0.9253422016579912,inf
7,2,best_ensemble_model,0.0,Australian,0.8404074702886248,autosklearn,0.9165702718334297,inf
8,3,best_ensemble_model,0.0,Australian,0.8756366723259762,autosklearn,0.912184306921149,inf
9,4,best_ensemble_model,0.0,Australian,0.8696943972835314,autosklearn,0.926450742240216,inf
10,0,best_ensemble_model,0.0,MiniBooNE,0.9356814545113832,autosklearn,0.9390950472983084,inf
11,1,best_ensemble_model,0.0,MiniBooNE,0.9355252166351176,autosklearn,0.9393061548152996,inf
12,2,best_ensemble_model,0.0,MiniBooNE,0.9366433012571352,autosklearn,0.9383783108450754,inf
13,3,best_ensemble_model,0.0,MiniBooNE,0.9405586177515624,autosklearn,0.9388003017998441,inf
14,4,best_ensemble_model,0.0,MiniBooNE,0.9400458819729898,autosklearn,0.941426849421296,inf
15,0,best_ensemble_model,0.0,adult,0.8463255328494173,autosklearn,0.8452596482969708,inf
16,1,best_ensemble_model,0.0,adult,0.8396076522949795,autosklearn,0.8454498056718774,inf
17,2,best_ensemble_model,0.0,adult,0.8438513757612398,autosklearn,0.8445983308705309,inf
18,3,best_ensemble_model,0.0,adult,0.8420418184231092,autosklearn,0.8453336864899026,inf
19,4,best_ensemble_model,0.0,adult,0.8370633469484052,autosklearn,0.8471726563879518,inf
20,0,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearn,0.981305114638448,inf
21,1,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearn,0.9750440917107585,inf
22,2,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9779541446208112,inf
23,3,best_ensemble_model,0.0,cnae-9,0.9351851851851852,autosklearn,0.9810405643738976,inf
24,4,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9778659611992944,inf
25,0,best_ensemble_model,0.0,connect-4,0.7377329454172891,autosklearn,0.7464218744252897,inf
26,1,best_ensemble_model,0.0,connect-4,0.7346617545773754,autosklearn,0.7410045895881412,inf
27,2,best_ensemble_model,0.0,connect-4,0.7558829832748213,autosklearn,0.7414599895517854,inf
28,3,best_ensemble_model,0.0,connect-4,0.7515869826521263,autosklearn,0.756643759952718,inf
29,4,best_ensemble_model,0.0,connect-4,0.7434283591384864,autosklearn,0.7413014325151527,inf
30,0,best_ensemble_model,0.0,higgs,0.7293128646365942,autosklearn,0.7271717382776387,inf
31,1,best_ensemble_model,0.0,higgs,0.7193661013810682,autosklearn,0.7288476927801621,inf
32,2,best_ensemble_model,0.0,higgs,0.7272784384088651,autosklearn,0.7284767159852426,inf
33,3,best_ensemble_model,0.0,higgs,0.7276118969974151,autosklearn,0.7284223706034756,inf
34,4,best_ensemble_model,0.0,higgs,0.7256501821310607,autosklearn,0.7280384534178872,inf
35,0,best_ensemble_model,0.0,kr-vs-kp,0.9970059880239521,autosklearn,0.997983870967742,inf
36,1,best_ensemble_model,0.0,kr-vs-kp,0.9820359281437124,autosklearn,0.998991935483871,inf
37,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearn,0.998898678414097,inf
38,3,best_ensemble_model,0.0,kr-vs-kp,0.9970059880239521,autosklearn,0.9978906138979678,inf
39,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearn,0.998898678414097,inf
40,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearn,0.9970845481049564,inf
41,1,best_ensemble_model,0.0,segment,0.9653679653679654,autosklearn,0.9941690962099126,inf
42,2,best_ensemble_model,0.0,segment,0.987012987012987,autosklearn,0.9927113702623906,inf
43,3,best_ensemble_model,0.0,segment,0.9783549783549784,autosklearn,0.9970845481049564,inf
44,4,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearn,0.9970845481049564,inf
45,0,best_ensemble_model,0.0,vehicle,0.8116341991341991,autosklearn,0.8904513565530515,inf
46,1,best_ensemble_model,0.0,vehicle,0.8138528138528138,autosklearn,0.8981436642453592,inf
47,2,best_ensemble_model,0.0,vehicle,0.8019480519480521,autosklearn,0.8984126984126983,inf
48,3,best_ensemble_model,0.0,vehicle,0.8127705627705628,autosklearn,0.906105006105006,inf
49,4,best_ensemble_model,0.0,vehicle,0.8490259740259741,autosklearn,0.8903540903540904,inf
50,0,best_ensemble_model,0.0,Albert,0.6748659580472205,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6775841346153846,inf
51,1,best_ensemble_model,0.0,Albert,0.6760887969146835,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6786423494983278,inf
52,2,best_ensemble_model,0.0,Albert,0.6776643777631455,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6774273620401338,inf
53,3,best_ensemble_model,0.0,Albert,0.6756890226695513,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6769701086956522,inf
54,4,best_ensemble_model,0.0,Albert,0.6791458940833411,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.676852529264214,inf
55,0,best_ensemble_model,0.0,Australian,0.8887945670628183,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8739648033126295,inf
56,1,best_ensemble_model,0.0,Australian,0.8314940577249575,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8774275362318841,inf
57,2,best_ensemble_model,0.0,Australian,0.8404074702886248,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9046325051759834,inf
58,3,best_ensemble_model,0.0,Australian,0.8039049235993209,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9224896480331264,inf
59,4,best_ensemble_model,0.0,Australian,0.8858234295415959,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.920807453416149,inf
60,0,best_ensemble_model,0.0,MiniBooNE,0.9369075382725699,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9416485964909428,inf
61,1,best_ensemble_model,0.0,MiniBooNE,0.9364044206886356,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9425349975788946,inf
62,2,best_ensemble_model,0.0,MiniBooNE,0.937511862044532,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9410564966145194,inf
63,3,best_ensemble_model,0.0,MiniBooNE,0.9422860037390508,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9411196405593972,inf
64,4,best_ensemble_model,0.0,MiniBooNE,0.9413641927954308,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9420496106981948,inf
65,0,best_ensemble_model,0.0,adult,0.8479214107537654,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8453217795930963,inf
66,1,best_ensemble_model,0.0,adult,0.8337496926798409,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8456724602943584,inf
67,2,best_ensemble_model,0.0,adult,0.8472400909801376,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8425615028107774,inf
68,3,best_ensemble_model,0.0,adult,0.8441449046699205,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8451557900354958,inf
69,4,best_ensemble_model,0.0,adult,0.8403290288570713,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8467121365620741,inf
70,0,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9745069745069744,inf
71,1,best_ensemble_model,0.0,cnae-9,0.9351851851851852,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9795574795574796,inf
72,2,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9793169793169793,inf
73,3,best_ensemble_model,0.0,cnae-9,0.9074074074074072,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9846079846079848,inf
74,4,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9745069745069744,inf
75,0,best_ensemble_model,0.0,connect-4,0.7428718177201376,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7530508561249927,inf
76,1,best_ensemble_model,0.0,connect-4,0.7457476001327062,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7557228622691206,inf
77,2,best_ensemble_model,0.0,connect-4,0.7582457475125216,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7617801626910947,inf
78,3,best_ensemble_model,0.0,connect-4,0.7661469337180541,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7804151825668164,inf
79,4,best_ensemble_model,0.0,connect-4,0.7512213466551233,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7593853409666803,inf
80,0,best_ensemble_model,0.0,higgs,0.7317941237046356,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7345608091394081,inf
81,1,best_ensemble_model,0.0,higgs,0.7185897739333471,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7374160109707529,inf
82,2,best_ensemble_model,0.0,higgs,0.7317878205836224,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7318483847926647,inf
83,3,best_ensemble_model,0.0,higgs,0.7254890522247073,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7336964389114071,inf
84,4,best_ensemble_model,0.0,higgs,0.7294995171529464,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7315690858834711,inf
85,0,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9981818181818182,inf
86,1,best_ensemble_model,0.0,kr-vs-kp,0.9910179640718564,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9970208186190428,inf
87,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9963636363636365,inf
88,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9953623213686942,inf
89,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9957572339258476,inf
90,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9903954802259888,inf
91,1,best_ensemble_model,0.0,segment,0.9653679653679654,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9855932203389832,inf
92,2,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9841269841269841,inf
93,3,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9828282828282828,inf
94,4,best_ensemble_model,0.0,segment,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9836459836459835,inf
95,0,best_ensemble_model,0.0,vehicle,0.8592532467532468,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8633415804468436,inf
96,1,best_ensemble_model,0.0,vehicle,0.8252164502164502,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8699027215474584,inf
97,2,best_ensemble_model,0.0,vehicle,0.6753246753246753,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8631635177687809,inf
98,3,best_ensemble_model,0.0,vehicle,0.8360389610389609,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9224021592442644,inf
99,4,best_ensemble_model,0.0,vehicle,0.7911255411255411,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8834345479082322,inf
100,0,best_ensemble_model,0.0,Albert,0.6755244097450852,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6776494565217391,inf
101,1,best_ensemble_model,0.0,Albert,0.6748659580472204,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6778584866220736,inf
