,tool,model,task,index_mean,fold_mean,overfit_mean,test_mean,train_mean,val_mean,seed_mean
0,autosklearn,best_ensemble_model,Albert,2,2,0.0,0.6192117392531276,0.6140246030999488,inf,2
1,autosklearn,best_ensemble_model,Australian,7,2,0.0,0.8644821731748727,0.8939130434782605,inf,2
2,autosklearn,best_ensemble_model,MiniBooNE,12,2,0.0,0.9398412473417156,0.9401786454011147,inf,2
3,autosklearn,best_ensemble_model,adult,17,2,0.0,0.844113442250293,0.8457929370965264,inf,2
4,autosklearn,best_ensemble_model,cnae-9,22,2,0.0,0.9474074074074071,0.9678600823045265,inf,2
5,autosklearn,best_ensemble_model,connect-4,27,2,0.0,0.7580872993353053,0.7467822837983071,inf,2
6,autosklearn,best_ensemble_model,higgs,32,2,0.0,0.7315286350050869,0.7266232379289079,inf,2
7,autosklearn,best_ensemble_model,kr-vs-kp,37,2,0.0,0.9954373605729715,0.9975200072877114,inf,2
8,autosklearn,best_ensemble_model,segment,42,2,0.0,0.9887445887445888,0.9884944684944683,inf,2
9,autosklearn,best_ensemble_model,vehicle,47,2,0.0,0.8361796536796535,0.8739860897832697,inf,2
10,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,Albert,52,2,0.0,0.6771724202803123,0.6773337603668648,inf,2
11,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,Australian,57,2,0.0,0.8659083191850592,0.8900599294947118,inf,2
12,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,MiniBooNE,62,2,0.0,0.9306487187746484,0.9338053314142065,inf,2
13,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,adult,67,2,0.0,0.8428072259967773,0.8463092713316894,inf,2
14,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,cnae-9,72,2,0.0,0.9244444444444444,0.9572615039281704,inf,2
15,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,connect-4,77,2,0.0,0.7546940912043294,0.7481496339958156,inf,2
16,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,higgs,82,2,0.0,0.7285047759199563,0.7327376656975517,inf,2
17,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,kr-vs-kp,87,2,0.0,0.9949802356072168,0.9968377728288531,inf,2
18,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,segment,92,2,0.0,0.9890909090909092,0.9881096681096679,inf,2
19,autosklearnHyperBandFolds_eta2_cv5_repeats1,best_ensemble_model,vehicle,97,2,0.0,0.8334112554112554,0.8602392341268399,inf,2
20,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,Albert,102,2,0.0,0.6766212021446713,0.6775235158862876,inf,2
21,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,Australian,107,2,0.0,0.858760611205433,0.897367701863354,inf,2
22,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,MiniBooNE,112,2,0.0,0.9388382609737752,0.9416606917149397,inf,2
23,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,adult,117,2,0.0,0.842968380992308,0.8450599452452192,inf,2
24,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,cnae-9,122,2,0.0,0.9355555555555553,0.9774314574314572,inf,2
25,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,connect-4,127,2,0.0,0.7505407158322308,0.7601188531546345,inf,2
26,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,higgs,132,2,0.0,0.7274320575198517,0.7338181459395409,inf,2
27,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,kr-vs-kp,137,2,0.0,0.9961778403976359,0.9965340291195254,inf,2
28,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,segment,142,2,0.0,0.9908225108225106,0.9850911688301991,inf,2
29,autosklearnHyperBandFolds_eta2_cv5_repeats10,best_ensemble_model,vehicle,147,2,0.0,0.7999632034632036,0.8875343379817064,inf,2
30,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,Albert,152,2,0.0,0.6768366099144012,0.6772519183437332,inf,2
31,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,Australian,157,2,0.0,0.8555857385398982,0.8928285024154589,inf,2
32,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,MiniBooNE,162,2,0.0,0.9394667963461651,0.939669699931425,inf,2
33,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,adult,167,2,0.0,0.8431050345408875,0.8448332363823247,inf,2
34,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,cnae-9,172,2,0.0,0.9396296296296294,0.9636171236171236,inf,2
35,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,connect-4,177,2,0.0,0.755657707603832,0.745139513466556,inf,2
36,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,higgs,182,2,0.0,0.7283593922803634,0.7330956294555672,inf,2
37,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,kr-vs-kp,187,2,0.0,0.994446401315017,0.9945883759188624,inf,2
38,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,segment,192,2,0.0,0.9901298701298701,0.9850898601294079,inf,2
39,autosklearnHyperBandFolds_eta2_cv5_repeats3,best_ensemble_model,vehicle,197,2,0.0,0.7909155844155845,0.8414386962247827,inf,2
40,autosklearnHyperBandFolds_eta3_cv5_repeats1,best_ensemble_model,Albert,202,2,0.0,0.6771141002727872,0.6772604256399972,inf,1
41,autosklearnHyperBandFolds_eta3_cv5_repeats1,best_ensemble_model,Australian,207,2,0.0,0.8604414261460102,0.8906797791580401,inf,1
42,autosklearnHyperBandFolds_eta3_cv5_repeats1,best_ensemble_model,MiniBooNE,212,2,0.0,0.9306487187746485,0.9338053314142064,inf,1
43,autosklearnHyperBandFolds_eta3_cv5_repeats1,best_ensemble_model,adult,217,2,0.0,0.8429254425852826,0.8463235958033198,inf,1
44,autosklearnHyperBandFolds_eta3_cv5_repeats1,best_ensemble_model,cnae-9,222,2,0.0,0.9259259259259258,0.9577815188926299,inf,1
