,tool,task,model,fold,train,val,test,overfit,seed
0,None_es50_B100_N0.5,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,107
1,None_es50_B100_N0.5,vehicle,best_ensemble_model,0,0.8767814596865191,inf,0.8597943722943724,0.0,107
2,None_es50_B100_N0.5,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,107
3,None_es50_B100_N0.5,vehicle,best_ensemble_model,1,0.8844999579016994,inf,0.8138528138528138,0.0,107
4,None_es50_B100_N0.5,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,107
5,None_es50_B100_N0.5,vehicle,best_ensemble_model,2,0.8675307497818288,inf,0.7673160173160173,0.0,107
6,None_es50_B100_N0.5,vehicle,best_individual_model,3,0.0,0.0,0.0,0.0,107
7,None_es50_B100_N0.5,vehicle,best_ensemble_model,3,0.870134809954374,inf,0.8955627705627706,0.0,107
8,None_es50_B100_N0.5,vehicle,best_individual_model,4,0.0,0.0,0.0,0.0,107
9,None_es50_B100_N0.5,vehicle,best_ensemble_model,4,0.8790410446415093,inf,0.8961038961038961,0.0,107
