,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,0,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,43
1,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,0,0.952096435089988,inf,0.9533239667985024,0.0,43
2,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,1,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,43
3,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,1,0.9539926560711764,inf,0.9504749639494996,0.0,43
4,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,2,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,43
5,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,2,0.9531694799538823,inf,0.9504749639494996,0.0,43
6,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,3,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,43
7,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,3,0.9532565712717728,inf,0.9498843401030618,0.0002650235208374596,43
8,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,4,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,43
9,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,4,0.9523428348691788,inf,0.9527333429520648,0.000590623846437599,43
