,tool,task,model,fold,train,val,test,overfit
0,autosklearnVALREDUCTION_train50,cnae-9,best_individual_model,0,1.0,0.9670781893004112,0.9537037037037036,0.02777777777777779
1,autosklearnVALREDUCTION_train50,cnae-9,best_ensemble_model,0,0.9814814814814816,inf,0.9537037037037036,0.0185185185185186
2,autosklearnVALREDUCTION_train50,cnae-9,best_individual_model,1,0.9979423868312756,0.9609053497942388,0.9074074074074072,0.027777777777778012
3,autosklearnVALREDUCTION_train50,cnae-9,best_ensemble_model,1,0.9814814814814814,inf,0.9444444444444444,0.0
4,autosklearnVALREDUCTION_train50,cnae-9,best_individual_model,2,0.9979423868312756,0.9465020576131687,0.9629629629629628,0.0185185185185186
5,autosklearnVALREDUCTION_train50,cnae-9,best_ensemble_model,2,0.97119341563786,inf,0.9537037037037036,0.0185185185185186
6,autosklearnVALREDUCTION_train50,cnae-9,best_individual_model,3,0.9814814814814816,0.9588477366255144,0.9166666666666666,0.03703703703703698
7,autosklearnVALREDUCTION_train50,cnae-9,best_ensemble_model,3,0.9814814814814816,inf,0.9444444444444444,0.00925925925925919
8,autosklearnVALREDUCTION_train50,cnae-9,best_individual_model,4,0.9938271604938272,0.9506172839506172,0.9444444444444444,0.01851851851851838
9,autosklearnVALREDUCTION_train50,cnae-9,best_ensemble_model,4,0.9753086419753084,inf,0.9537037037037036,0.0
10,autosklearnVALREDUCTION_train50,higgs,best_individual_model,0,0.8970384722579539,0.7210287540113919,0.7228270574701877,0.002104428439247852
11,autosklearnVALREDUCTION_train50,higgs,best_ensemble_model,0,0.7266390833660401,inf,0.7242592225722193,0.0010496992325972343
12,autosklearnVALREDUCTION_train50,higgs,best_individual_model,1,0.8970528095789383,0.7211204027717769,0.7090289620479483,0.009866033215527592
13,autosklearnVALREDUCTION_train50,higgs,best_ensemble_model,1,0.7289375562749217,inf,0.7200330008040445,0.0009119071632923692
14,autosklearnVALREDUCTION_train50,higgs,best_individual_model,2,1.0,0.7198663501528699,0.7206904455455009,0.0007879944829740637
15,autosklearnVALREDUCTION_train50,higgs,best_ensemble_model,2,0.7254075633907104,inf,0.7286387228858309,0.0
16,autosklearnVALREDUCTION_train50,higgs,best_individual_model,3,0.9009365352456908,0.7218460730498035,0.7209175964126638,0.0
17,autosklearnVALREDUCTION_train50,higgs,best_ensemble_model,3,0.7265146430852141,inf,0.7241557857366304,0.0007249176045943662
18,autosklearnVALREDUCTION_train50,higgs,best_individual_model,4,1.0,0.7188174065186989,0.7216738007698003,0.0025739041517499617
19,autosklearnVALREDUCTION_train50,higgs,best_ensemble_model,4,0.7264522040135799,inf,0.7258520328207427,0.003438286786688005
20,autosklearnVALREDUCTION_train50,kr-vs-kp,best_individual_model,0,1.0,0.993759897041693,0.9937380141677429,0.0032679738562091387
21,autosklearnVALREDUCTION_train50,kr-vs-kp,best_ensemble_model,0,0.9965470590401542,inf,0.9937380141677429,0.0
22,autosklearnVALREDUCTION_train50,kr-vs-kp,best_individual_model,1,0.9992721979621544,0.9951534780409236,0.9850299401197604,0.0029940119760479833
23,autosklearnVALREDUCTION_train50,kr-vs-kp,best_ensemble_model,1,0.9972128380015391,inf,0.9820359281437124,0.005988023952095967
24,autosklearnVALREDUCTION_train50,kr-vs-kp,best_individual_model,2,1.0,0.993759897041693,0.9901960784313726,0.006535947712418166
25,autosklearnVALREDUCTION_train50,kr-vs-kp,best_ensemble_model,2,0.9972128380015391,inf,0.9967320261437908,0.0
26,autosklearnVALREDUCTION_train50,kr-vs-kp,best_individual_model,3,1.0,0.9951534780409236,0.990470040311534,0.009529959688466039
27,autosklearnVALREDUCTION_train50,kr-vs-kp,best_ensemble_model,3,0.9966090821166148,inf,1.0,0.0
28,autosklearnVALREDUCTION_train50,kr-vs-kp,best_individual_model,4,0.9992721979621544,0.9944876990795388,1.0,0.0
29,autosklearnVALREDUCTION_train50,kr-vs-kp,best_ensemble_model,4,0.9966090821166148,inf,1.0,0.0
30,autosklearnVALREDUCTION_train50,vehicle,best_individual_model,0,0.992213781877374,0.8475389102270122,0.8002164502164502,0.05844155844155852
31,autosklearnVALREDUCTION_train50,vehicle,best_ensemble_model,0,0.8735728139570436,inf,0.7650432900432901,0.07045454545454544
32,autosklearnVALREDUCTION_train50,vehicle,best_individual_model,1,0.9558057514921324,0.8655554918596652,0.7888528138528138,0.08398268398268405
33,autosklearnVALREDUCTION_train50,vehicle,best_ensemble_model,1,0.8762755102040817,inf,0.847943722943723,0.0
34,autosklearnVALREDUCTION_train50,vehicle,best_individual_model,2,0.9427712937227704,0.858000960215547,0.8138528138528138,0.0
35,autosklearnVALREDUCTION_train50,vehicle,best_ensemble_model,2,0.8839285714285714,inf,0.7445887445887446,0.06926406926406925
36,autosklearnVALREDUCTION_train50,vehicle,best_individual_model,3,0.9213999653035388,0.8342069622792938,0.8489718614718615,0.044913419913419794
37,autosklearnVALREDUCTION_train50,vehicle,best_ensemble_model,3,0.8600814272338149,inf,0.835443722943723,0.047132034632034525
38,autosklearnVALREDUCTION_train50,vehicle,best_individual_model,4,0.9973684210526316,0.8375850340136055,0.8830627705627705,0.0
39,autosklearnVALREDUCTION_train50,vehicle,best_ensemble_model,4,0.8580463435374149,inf,0.8955627705627706,0.0
40,autosklearnVALREDUCTION_train50,MiniBooNE,best_individual_model,0,0.9569040486947682,0.9380324172282246,0.9357154192670932,0.0
41,autosklearnVALREDUCTION_train50,MiniBooNE,best_ensemble_model,0,0.9380702159268736,inf,0.9359291629883716,2.920676191420224e-05
42,autosklearnVALREDUCTION_train50,MiniBooNE,best_individual_model,1,0.9570813229486996,0.9377219791479591,0.9365588432072685,0.0
43,autosklearnVALREDUCTION_train50,MiniBooNE,best_ensemble_model,1,0.9378713223268844,inf,0.9331507142114688,0.0030438130708676514
44,autosklearnVALREDUCTION_train50,MiniBooNE,best_individual_model,2,0.9566210010533146,0.938351545827958,0.9358786696942148,0.0
45,autosklearnVALREDUCTION_train50,MiniBooNE,best_ensemble_model,2,0.9383739633193562,inf,0.9356182829937588,0.00026038670045602785
46,autosklearnVALREDUCTION_train50,MiniBooNE,best_individual_model,3,0.9570292923449176,0.9380088393138856,0.9413805355597816,0.0
47,autosklearnVALREDUCTION_train50,MiniBooNE,best_ensemble_model,3,0.9385295033736858,inf,0.9409122904103732,0.0005984384996364778
48,autosklearnVALREDUCTION_train50,MiniBooNE,best_individual_model,4,0.9551074754084328,0.9381817849893184,0.9406420535704794,0.0
49,autosklearnVALREDUCTION_train50,MiniBooNE,best_ensemble_model,4,0.9384256372059504,inf,0.9400432021222778,0.0005618314339927988
50,autosklearnVALREDUCTION_train50,connect-4,best_individual_model,0,0.8347212120711065,0.731784293408392,0.7234588929703683,0.0
51,autosklearnVALREDUCTION_train50,connect-4,best_ensemble_model,0,0.7388803928109251,inf,0.7335811604251119,0.0
52,autosklearnVALREDUCTION_train50,connect-4,best_individual_model,1,0.9247073008000928,0.7156925241516309,0.7025346556999041,0.0051856922354829305
53,autosklearnVALREDUCTION_train50,connect-4,best_ensemble_model,1,0.7291819661474811,inf,0.7155353979692247,0.0010750636090716137
54,autosklearnVALREDUCTION_train50,connect-4,best_individual_model,2,0.9353503069328064,0.7182452786918764,0.7341934512214866,0.0
55,autosklearnVALREDUCTION_train50,connect-4,best_ensemble_model,2,0.7289753401116887,inf,0.7339815909651839,0.004710006135409728
56,autosklearnVALREDUCTION_train50,connect-4,best_individual_model,3,0.9285659317546529,0.7162402495491541,0.7169376806821095,0.0
57,autosklearnVALREDUCTION_train50,connect-4,best_ensemble_model,3,0.7286484126876771,inf,0.7231087596456724,0.0006264386294070334
58,autosklearnVALREDUCTION_train50,connect-4,best_individual_model,4,0.929079971612182,0.7170489343045602,0.7239870008136421,0.0
59,autosklearnVALREDUCTION_train50,connect-4,best_ensemble_model,4,0.7271923711244305,inf,0.7348658463132357,0.0026895546632690337
60,autosklearnVALREDUCTION_train50,segment,best_individual_model,0,1.0,0.9816796662434246,0.9826839826839828,0.01298701298701277
61,autosklearnVALREDUCTION_train50,segment,best_ensemble_model,0,0.9845624627503824,inf,0.987012987012987,0.004329004329004182
62,autosklearnVALREDUCTION_train50,segment,best_individual_model,1,1.0,0.9807144152781736,0.9740259740259741,0.0043290043290042934
63,autosklearnVALREDUCTION_train50,segment,best_ensemble_model,1,0.9855406701044284,inf,0.9653679653679654,0.012987012987012991
64,autosklearnVALREDUCTION_train50,segment,best_individual_model,2,1.0,0.9797426861185252,0.9740259740259741,0.008658008658008698
65,autosklearnVALREDUCTION_train50,segment,best_ensemble_model,2,0.9874646938405328,inf,0.9740259740259741,0.008658008658008698
66,autosklearnVALREDUCTION_train50,segment,best_individual_model,3,0.998069498069498,0.9797556425073204,0.987012987012987,0.008658008658008587
67,autosklearnVALREDUCTION_train50,segment,best_ensemble_model,3,0.9865059210696796,inf,0.9783549783549784,0.021645021645021578
68,autosklearnVALREDUCTION_train50,segment,best_individual_model,4,1.0,0.9816861444378224,0.9956709956709956,0.0043290043290044045
69,autosklearnVALREDUCTION_train50,segment,best_ensemble_model,4,0.9865059210696796,inf,1.0,0.0
70,autosklearnVALREDUCTION_train50,Australian,best_individual_model,0,1.0,0.8885398341291781,0.8960101867572157,0.04541595925297115
71,autosklearnVALREDUCTION_train50,Australian,best_ensemble_model,0,0.9001424143419621,inf,0.8989813242784379,0.016129032258064502
72,autosklearnVALREDUCTION_train50,Australian,best_individual_model,1,0.9876558813616448,0.8871156907095585,0.8505942275042444,0.058573853989813185
73,autosklearnVALREDUCTION_train50,Australian,best_ensemble_model,1,0.9001424143419621,inf,0.8314940577249575,0.032258064516129004
74,autosklearnVALREDUCTION_train50,Australian,best_individual_model,2,0.8998146275699359,0.8756387702102706,0.8463497453310695,0.023344651952461826
75,autosklearnVALREDUCTION_train50,Australian,best_ensemble_model,2,0.8965192259361648,inf,0.8433786078098472,0.0029711375212223556
76,autosklearnVALREDUCTION_train50,Australian,best_individual_model,3,0.8766430738119313,0.8958280975119377,0.8726655348047538,0.01910016977928697
77,autosklearnVALREDUCTION_train50,Australian,best_ensemble_model,3,0.907388791153556,inf,0.8756366723259762,0.013157894736842146
78,autosklearnVALREDUCTION_train50,Australian,best_individual_model,4,0.8752106504887092,0.8842674038703191,0.9019524617996604,0.02928692699490687
79,autosklearnVALREDUCTION_train50,Australian,best_ensemble_model,4,0.8914718941107479,inf,0.8887945670628183,0.03947368421052644
80,autosklearnVALREDUCTION_train50,adult,best_individual_model,0,0.8611492770657919,0.8420423327610631,0.8449273987777175,0.0
81,autosklearnVALREDUCTION_train50,adult,best_ensemble_model,0,0.8430277305434929,inf,0.8438411889123492,7.216844183366433e-05
82,autosklearnVALREDUCTION_train50,adult,best_individual_model,1,0.8643389761852289,0.8434385550948886,0.8403766432995918,0.0
83,autosklearnVALREDUCTION_train50,adult,best_ensemble_model,1,0.8440067369130704,inf,0.8409148564319922,1.4272546710492051e-05
84,autosklearnVALREDUCTION_train50,adult,best_individual_model,2,0.8625804101148998,0.8426939921953052,0.8434970213958153,0.0
85,autosklearnVALREDUCTION_train50,adult,best_ensemble_model,2,0.8444691747759943,inf,0.8483653619298996,0.0
86,autosklearnVALREDUCTION_train50,adult,best_individual_model,3,0.8624148020117711,0.8436178687893399,0.8385429722635918,0.0
87,autosklearnVALREDUCTION_train50,adult,best_ensemble_model,3,0.8469459509308073,inf,0.8394728644735097,0.004158710205405702
88,autosklearnVALREDUCTION_train50,adult,best_individual_model,4,0.8641905002679389,0.8454858910321971,0.8381761763274695,0.0
89,autosklearnVALREDUCTION_train50,adult,best_ensemble_model,4,0.8476241995571169,inf,0.8352408872406624,0.0030090169131633537
90,autosklearnVALREDUCTION_train50,Albert,best_individual_model,0,0.7269881583210527,0.6729271836035076,0.6728435706894931,0.0
91,autosklearnVALREDUCTION_train50,Albert,best_ensemble_model,0,0.6745889902695471,inf,0.6733844417270247,0.0
92,autosklearnVALREDUCTION_train50,Albert,best_individual_model,1,0.726737319579009,0.6736483449868833,0.67383124823629,0.0
93,autosklearnVALREDUCTION_train50,Albert,best_ensemble_model,1,0.6748293773973391,inf,0.6731022481422255,0.0006114194337315526
94,autosklearnVALREDUCTION_train50,Albert,best_individual_model,2,0.7259900291600037,0.6727442803541006,0.6762534098391497,0.0
95,autosklearnVALREDUCTION_train50,Albert,best_ensemble_model,2,0.6741656998923484,inf,0.6769588938011476,0.0004468065092653184
96,autosklearnVALREDUCTION_train50,Albert,best_individual_model,3,0.7269149970212899,0.6727965384253598,0.6719264415388957,0.0
97,autosklearnVALREDUCTION_train50,Albert,best_ensemble_model,3,0.6738521514647937,inf,0.6727024738970934,0.0
98,autosklearnVALREDUCTION_train50,Albert,best_individual_model,4,0.7262617711305511,0.6724882158049311,0.6764885711598156,0.0
99,autosklearnVALREDUCTION_train50,Albert,best_ensemble_model,4,0.6732093771883068,inf,0.6770999905935471,0.00028219358479930623
