,tool,task,model,fold,train,val,test,overfit,seed
0,None_es1_B100_N0.5,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,107
1,None_es1_B100_N0.5,cnae-9,best_ensemble_model,0,0.955761316872428,inf,0.9444444444444444,0.0,107
2,None_es1_B100_N0.5,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,107
3,None_es1_B100_N0.5,cnae-9,best_ensemble_model,1,0.9619341563786008,inf,0.8888888888888888,0.0,107
4,None_es1_B100_N0.5,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,107
5,None_es1_B100_N0.5,cnae-9,best_ensemble_model,2,0.9547325102880656,inf,0.9629629629629628,0.0,107
6,None_es1_B100_N0.5,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,107
7,None_es1_B100_N0.5,cnae-9,best_ensemble_model,3,0.9557613168724282,inf,0.9351851851851852,0.0,107
8,None_es1_B100_N0.5,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,107
9,None_es1_B100_N0.5,cnae-9,best_ensemble_model,4,0.9578189300411524,inf,0.9537037037037036,0.0,107
10,None_es1_B100_N0.5,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,107
11,None_es1_B100_N0.5,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0,107
12,None_es1_B100_N0.5,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,107
13,None_es1_B100_N0.5,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0,107
14,None_es1_B100_N0.5,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,107
15,None_es1_B100_N0.5,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0,107
16,None_es1_B100_N0.5,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,107
17,None_es1_B100_N0.5,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0,107
18,None_es1_B100_N0.5,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,107
