,index,0_Albert,0_Australian,0_MiniBooNE,0_adult,0_cnae-9,0_connect-4,0_higgs,0_kr-vs-kp,0_segment,0_vehicle,1_Albert,1_Australian,1_MiniBooNE,1_adult,1_cnae-9,1_connect-4,1_higgs,1_kr-vs-kp,1_segment,1_vehicle,2_Albert,2_Australian,2_MiniBooNE,2_adult,2_cnae-9,2_connect-4,2_higgs,2_kr-vs-kp,2_segment,2_vehicle,Avg. Ranking
0,autosklearn,1.0,12.0,14.0,11.0,2.0,5.0,14.0,1.0,8.0,14.0,,18.0,12.0,14.0,15.0,7.0,13.0,1.0,19.0,2.0,,11.0,14.0,14.0,4.0,13.0,14.0,15.0,3.0,9.0,10.0
1,Alg. 5FULL es50 B100 N1.0,1.0,17.0,23.0,22.0,23.0,23.0,23.0,20.0,26.0,6.0,,8.0,26.0,26.0,26.0,26.0,26.0,21.0,23.0,24.0,,14.0,22.0,26.0,1.0,24.0,23.0,23.0,26.0,24.0,20.464285714285715
2,Alg. 5FULL es50 B10 N1.0,1.0,19.0,24.0,20.0,22.0,25.0,22.0,20.0,23.0,8.0,,3.0,22.0,21.0,19.0,25.0,21.0,22.0,1.0,23.0,,22.0,24.0,22.0,1.0,26.0,21.0,19.0,20.0,18.0,18.357142857142858
3,Alg. 5FULL es50 B50 N0.5,1.0,17.0,22.0,21.0,26.0,24.0,21.0,23.0,25.0,11.0,,7.0,21.0,22.0,25.0,24.0,22.0,26.0,7.0,25.0,,22.0,23.0,21.0,3.0,25.0,22.0,19.0,25.0,18.0,19.571428571428573
4,"Alg. 5
(no Line 12.) es50 B100 N1.0",1.0,7.0,1.0,5.0,5.0,12.0,4.0,1.0,8.0,13.0,,14.0,1.0,11.0,5.0,14.0,5.0,1.0,7.0,19.0,,15.0,2.0,8.0,10.0,16.0,10.0,2.0,3.0,14.0,7.642857142857143
5,"Alg. 5
(no Line 12.) es50 B10 N1.0",1.0,14.0,10.0,12.0,5.0,9.0,7.0,1.0,8.0,7.0,,6.0,10.0,10.0,5.0,11.0,6.0,1.0,7.0,4.0,,4.0,11.0,11.0,4.0,12.0,9.0,2.0,3.0,8.0,7.071428571428571
6,"Alg. 5
(no Line 12.) es50 B50 N0.5",1.0,7.0,18.0,9.0,5.0,4.0,15.0,1.0,8.0,21.0,,12.0,7.0,6.0,5.0,3.0,10.0,1.0,19.0,10.0,,15.0,1.0,5.0,10.0,6.0,6.0,2.0,3.0,14.0,8.0
7,Alg. 7 es50 B100 N1.0,1.0,7.0,9.0,8.0,5.0,12.0,9.0,1.0,8.0,18.0,,14.0,1.0,4.0,1.0,14.0,8.0,1.0,7.0,19.0,,15.0,2.0,6.0,10.0,16.0,1.0,2.0,3.0,20.0,7.928571428571429
8,Alg. 7 es50 B10 N1.0,1.0,20.0,19.0,26.0,5.0,7.0,10.0,1.0,8.0,23.0,,1.0,19.0,17.0,1.0,6.0,18.0,1.0,7.0,5.0,,11.0,10.0,18.0,4.0,10.0,15.0,2.0,16.0,20.0,10.75
9,Alg. 7 es50 B50 N0.5,1.0,7.0,11.0,2.0,5.0,2.0,8.0,1.0,8.0,18.0,,12.0,9.0,3.0,5.0,4.0,3.0,1.0,7.0,10.0,,19.0,12.0,4.0,10.0,3.0,8.0,2.0,3.0,16.0,6.928571428571429
10,Alg. 5 es50 B100 N1.0,1.0,14.0,1.0,4.0,5.0,12.0,12.0,1.0,8.0,14.0,,5.0,1.0,8.0,1.0,14.0,14.0,1.0,21.0,7.0,,15.0,2.0,10.0,10.0,16.0,12.0,2.0,3.0,22.0,8.428571428571429
