,level_0,seed,tool,model,task,fold_mean,overfit_mean,test_mean,train_mean,val_mean
0,0,0,None_es50_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
1,1,0,None_es50_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,0.8512733446519525,0.8878985507246376,inf
2,2,0,None_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,0.9277704556630748,0.929302374844308,inf
3,3,0,None_es50_B100_N1.0,best_ensemble_model,adult,2.0,0.0,0.8437872036981776,0.8460286740337573,inf
4,4,0,None_es50_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,0.95,0.9668724279835393,inf
5,5,0,None_es50_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,0.7188820761062854,0.7124119114272851,inf
6,6,0,None_es50_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,0.732913782529393,0.7291196404676396,inf
7,7,0,None_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,0.9962976008766781,0.997109046259524,inf
8,8,0,None_es50_B100_N1.0,best_ensemble_model,segment,2.0,0.0,0.9896103896103895,0.9875901875901875,inf
9,9,0,None_es50_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,0.8486904761904762,0.8774245687763402,inf
10,10,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
11,11,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,0.8471986417657046,0.871304347826087,inf
12,12,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,0.8888377198080244,0.8902836618126629,inf
13,13,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,adult,2.0,0.0,0.788964448987679,0.7897247665723116,inf
14,14,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,cnae-9,1.5,0.0,0.9328703703703703,0.9506172839506173,inf
15,15,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,0.6477623751803221,0.6440984720496716,inf
16,16,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,0.6763277804827658,0.6628035540640358,inf
17,17,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,1.75,0.0,0.9953720010958474,0.9958637149496936,inf
18,18,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,segment,1.5,0.0,0.9859307359307359,0.9842472342472341,inf
19,19,0,autosklearnBBCEnsembleSelectionFULL_es50_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,0.853452380952381,0.8562531223799053,inf
20,20,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
21,21,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,Australian,2.0,0.0,0.8460101867572156,0.8732608695652175,inf
22,22,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,0.8887829177793207,0.890270648024002,inf
23,23,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,adult,2.0,0.0,0.789562830869388,0.7905742386916172,inf
24,24,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,cnae-9,1.5,0.0,0.9375,0.9503600823045267,inf
25,25,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,connect-4,2.0,0.0,0.6463221805865051,0.6409898611130653,inf
26,26,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,higgs,2.0,0.0,0.6860227437579939,0.6737745445105154,inf
27,27,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,1.75,0.0,0.9953720010958474,0.9962953325696742,inf
28,28,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,segment,1.0,0.0,0.9891774891774892,0.9843674843674843,inf
29,29,0,autosklearnBBCEnsembleSelectionFULL_es50_B10_N1.0,best_ensemble_model,vehicle,2.0,0.0,0.8510714285714286,0.8562651702921025,inf
30,30,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
31,31,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,Australian,2.0,0.0,0.8471986417657046,0.8710144927536232,inf
32,32,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2.0,0.0,0.8889793553910005,0.8904823863009277,inf
33,33,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,adult,2.0,0.0,0.7893653464874202,0.7895710931189216,inf
34,34,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,cnae-9,1.5,0.0,0.9305555555555556,0.9387860082304527,inf
35,35,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,0.6474107060708277,0.6424884601348746,inf
36,36,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,0.6880460895924083,0.6758129899924195,inf
37,37,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,kr-vs-kp,2.5,0.0,0.9940119760479043,0.9955752834163862,inf
38,38,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,segment,1.6666666666666667,0.0,0.9884559884559884,0.9842873176206509,inf
39,39,0,autosklearnBBCEnsembleSelectionFULL_es50_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,0.8489069264069263,0.8557389936514908,inf
40,40,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
41,41,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,0.8518675721561969,0.8756521739130436,inf
42,42,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,0.9278907619228576,0.9293096679398133,inf
43,43,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,adult,2.0,0.0,0.8440409220245553,0.8451800733266799,inf
44,44,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,0.9462962962962962,0.9615226337448559,inf
45,45,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,0.7063178932216051,0.6988909102243387,inf
46,46,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,0.7331658340055853,0.7289698328700138,inf
47,47,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,0.9962976008766781,0.9962480884294014,inf
48,48,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,segment,2.0,0.0,0.9896103896103895,0.9855699855699855,inf
49,49,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,0.8487987012987013,0.8656884675788522,inf
50,50,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,0.6538660521117486,0.6522896002954323,inf
