,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,107
1,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_ensemble_model,0,0.9506172839506172,inf,0.9537037037037036,0.0,107
2,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,107
3,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_ensemble_model,1,0.8858024691358025,inf,0.8611111111111112,0.0,107
4,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,107
5,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_ensemble_model,2,0.955761316872428,inf,0.9444444444444444,0.0,107
6,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,107
7,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_ensemble_model,3,0.8919753086419752,inf,0.8611111111111112,0.0,107
8,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,107
9,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,cnae-9,best_ensemble_model,4,0.9341563786008228,inf,0.9537037037037036,0.0,107
10,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,107
11,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_ensemble_model,0,0.6133097230410548,inf,0.6226755780275038,0.0,107
12,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,107
13,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_ensemble_model,1,0.6118780650391253,inf,0.6197311230500293,0.0,107
14,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,107
15,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_ensemble_model,2,0.6156152676311255,inf,0.6337581970836503,0.0,107
16,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,107
17,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_ensemble_model,3,0.6114768343909229,inf,0.6299564456679556,0.0,107
18,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,107
19,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,higgs,best_ensemble_model,4,0.6110744139658879,inf,0.6349588613642461,0.0,107
20,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,107
21,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_ensemble_model,0,0.9961521464830008,inf,0.9937380141677429,0.0,107
22,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,107
23,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_ensemble_model,2,0.9583641025939214,inf,0.9692379945990371,0.0,107
24,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,107
25,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,kr-vs-kp,best_ensemble_model,3,0.9954243444451552,inf,1.0,0.0,107
26,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,107
27,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_ensemble_model,2,0.8452905730923306,inf,0.8365800865800865,0.0,107
28,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_individual_model,3,0.0,0.0,0.0,0.0,107
29,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_ensemble_model,3,0.8388344767142981,inf,0.8490259740259741,0.0,107
30,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_individual_model,4,0.0,0.0,0.0,0.0,107
31,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,vehicle,best_ensemble_model,4,0.839920066071909,inf,0.8608766233766234,0.0,107
32,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_individual_model,0,0.0,0.0,0.0,0.0,107
33,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_ensemble_model,0,0.9296974591088778,inf,0.9273003728803138,0.0,107
34,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_individual_model,1,0.0,0.0,0.0,0.0,107
35,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_ensemble_model,1,0.9292344626510216,inf,0.9254477711361064,0.0,107
36,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_individual_model,2,0.0,0.0,0.0,0.0,107
37,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_ensemble_model,2,0.9290054850748236,inf,0.9264678118059736,0.0,107
38,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_individual_model,3,0.0,0.0,0.0,0.0,107
39,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_ensemble_model,3,0.929607970062369,inf,0.9300323982777526,0.0,107
40,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_individual_model,4,0.0,0.0,0.0,0.0,107
41,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,MiniBooNE,best_ensemble_model,4,0.9290029628019738,inf,0.9302054555141416,0.0,107
42,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_individual_model,0,0.0,0.0,0.0,0.0,107
43,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_ensemble_model,0,0.3529464469781269,inf,0.356920343195161,0.0,107
44,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_individual_model,1,0.0,0.0,0.0,0.0,107
45,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_ensemble_model,1,0.3524115421829146,inf,0.35298306118701234,0.0,107
46,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_individual_model,2,0.0,0.0,0.0,0.0,107
47,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_ensemble_model,2,0.3546181771629966,inf,0.3516924856680124,0.0,107
48,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_individual_model,3,0.0,0.0,0.0,0.0,107
49,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_ensemble_model,3,0.3533664280467699,inf,0.35412434864711284,0.0,107
50,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_individual_model,4,0.0,0.0,0.0,0.0,107
51,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,connect-4,best_ensemble_model,4,0.3549913993140424,inf,0.3503366764496148,0.0,107
52,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_individual_model,0,0.0,0.0,0.0,0.0,107
53,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_ensemble_model,0,0.9846079846079846,inf,0.987012987012987,0.0,107
54,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_individual_model,1,0.0,0.0,0.0,0.0,107
55,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_ensemble_model,1,0.97979797979798,inf,0.9783549783549784,0.0,107
56,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_individual_model,3,0.0,0.0,0.0,0.0,107
57,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_ensemble_model,3,0.9826839826839828,inf,0.9913419913419912,0.0,107
58,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_individual_model,4,0.0,0.0,0.0,0.0,107
59,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,segment,best_ensemble_model,4,0.9841269841269842,inf,1.0,0.0,107
60,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_individual_model,0,0.0,0.0,0.0,0.0,107
61,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_ensemble_model,0,0.8634057971014493,inf,0.849320882852292,0.0,107
62,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_individual_model,1,0.0,0.0,0.0,0.0,107
63,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_ensemble_model,1,0.8695652173913044,inf,0.8798811544991512,0.0,107
64,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_individual_model,2,0.0,0.0,0.0,0.0,107
65,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_ensemble_model,2,0.8710144927536232,inf,0.8200339558573854,0.0,107
66,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_individual_model,3,0.0,0.0,0.0,0.0,107
67,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_ensemble_model,3,0.8713768115942029,inf,0.8200339558573854,0.0,107
68,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_individual_model,4,0.0,0.0,0.0,0.0,107
69,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,Australian,best_ensemble_model,4,0.868840579710145,inf,0.8960101867572157,0.0,107
70,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,adult,best_individual_model,0,0.0,0.0,0.0,0.0,107
71,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,adult,best_ensemble_model,0,0.8206264521387339,inf,0.8221825992793745,0.0,107
72,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,adult,best_individual_model,2,0.0,0.0,0.0,0.0,107
73,autosklearnBBCEnsembleSelectionFULL_es1_B10_N1.0,adult,best_ensemble_model,2,0.8205438939188308,inf,0.8231062086202574,0.0,107
