,index,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle,Avg. Ranking
0,autosklearn,13.5,4.5,11.0,8.5,15.5,11.5,10.5,21.0,11.0,25.0,13.2
1,Alg. 5FULL es1 B100 N1.0,13.5,21.0,23.0,21.0,29.0,25.0,23.5,26.0,29.0,23.0,23.4
2,Alg. 5FULL es1 B10 N1.0,13.5,26.0,23.0,23.0,27.0,25.0,22.0,27.0,28.0,24.0,23.85
3,Alg. 5FULL es1 B50 N0.5,13.5,23.0,23.0,22.0,28.0,25.0,23.5,25.0,27.0,27.0,23.7
4,"Alg. 5
(no Line 12.) es1 B100 N1.0",13.5,11.0,11.0,17.5,15.5,11.5,10.5,9.0,21.5,7.0,12.8
5,"Alg. 5
(no Line 12.) es1 B10 N1.0",13.5,7.5,11.0,8.5,15.5,11.5,10.5,9.0,6.5,13.0,10.65
6,"Alg. 5
(no Line 12.) es1 B50 N0.5",13.5,18.5,11.0,8.5,15.5,11.5,10.5,2.5,16.0,15.5,12.3
7,Alg. 12 es1 B100 N1.0,13.5,11.0,11.0,28.0,15.5,28.0,10.5,9.0,21.5,7.0,15.5
8,Alg. 12 es1 B10 N1.0,13.5,7.5,11.0,8.5,15.5,11.5,10.5,9.0,6.5,11.5,10.5
9,Alg. 12 es1 B50 N0.5,13.5,18.5,11.0,8.5,15.5,11.5,10.5,2.5,16.0,15.5,12.3
10,Alg. 7 es1 B100 N1.0,13.5,4.5,11.0,17.5,26.0,11.5,10.5,5.0,19.0,4.0,12.25
11,Alg. 7 es1 B10 N1.0,13.5,7.5,11.0,8.5,15.5,11.5,10.5,9.0,6.5,10.0,10.35
12,Alg. 7 es1 B50 N0.5,13.5,18.5,11.0,8.5,15.5,11.5,10.5,2.5,16.0,15.5,12.3
13,Alg. 5 es1 B100 N1.0,13.5,11.0,11.0,8.5,15.5,11.5,10.5,9.0,21.5,7.0,11.9
14,Alg. 5 es1 B10 N1.0,13.5,7.5,11.0,8.5,15.5,11.5,10.5,9.0,6.5,11.5,10.5
15,Alg. 5 es1 B50 N0.5,13.5,18.5,11.0,8.5,15.5,11.5,10.5,2.5,16.0,15.5,12.3
16,Alg. 13 es1 B100 N1.0,13.5,14.5,11.0,8.5,15.5,11.5,10.5,18.0,11.0,29.0,14.3
17,Alg. 13 es1 B10 N1.0,13.5,16.0,11.0,17.5,15.5,11.5,10.5,13.0,25.0,22.0,15.55
18,Alg. 13 es1 B50 N0.5,13.5,25.0,11.0,1.0,15.5,11.5,10.5,15.0,24.0,20.0,14.7
19,Alg. 11 es1 B100 N1.0,13.5,13.0,29.0,28.0,15.5,28.0,28.5,21.0,21.5,9.0,20.7
20,Alg. 11 es1 B10 N1.0,13.5,3.0,11.0,8.5,15.5,11.5,10.5,18.0,11.0,19.0,12.15
21,Alg. 11 es1 B50 N0.5,13.5,22.0,11.0,17.5,5.0,11.5,10.5,21.0,11.0,5.0,12.8
22,Alg. 10 es1 B100 N1.0,28.0,28.5,28.0,25.5,2.5,11.5,27.0,28.0,2.0,3.0,18.4
23,Alg. 10 es1 B10 N1.0,28.0,27.0,25.0,24.0,4.0,11.5,25.0,24.0,2.0,1.0,17.15
24,Alg. 10 es1 B50 N0.5,28.0,28.5,27.0,25.5,1.0,11.5,26.0,29.0,4.0,2.0,18.25
25,Alg. 9 es1 B100 N1.0,13.5,14.5,11.0,28.0,15.5,28.0,28.5,18.0,11.0,28.0,19.6
26,Alg. 9 es1 B10 N1.0,13.5,2.0,11.0,8.5,15.5,11.5,10.5,15.0,26.0,21.0,13.45
27,Alg. 9 es1 B50 N0.5,13.5,24.0,11.0,8.5,15.5,11.5,10.5,15.0,16.0,26.0,15.15
28,bagging,13.5,1.0,26.0,20.0,2.5,23.0,21.0,23.0,2.0,18.0,15.0
