,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,147
1,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_ensemble_model,0,0.954732510288066,inf,0.9444444444444444,0.0,147
2,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,147
3,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_ensemble_model,1,0.9650205761316872,inf,0.8981481481481479,0.0,147
4,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,147
5,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_ensemble_model,2,0.9547325102880656,inf,0.9629629629629628,0.0,147
6,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,147
7,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_ensemble_model,3,0.9557613168724282,inf,0.9351851851851852,0.0,147
8,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,147
9,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,cnae-9,best_ensemble_model,4,0.955761316872428,inf,0.9629629629629628,0.0,147
10,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,147
11,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,vehicle,best_ensemble_model,0,0.8639805700999149,inf,0.8711580086580086,0.0,147
12,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,147
13,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,vehicle,best_ensemble_model,1,0.8638921638601464,inf,0.8121753246753247,0.0,147
14,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,147
