,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,127
1,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_ensemble_model,0,0.9537037037037036,inf,0.9444444444444444,0.0,127
2,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,127
3,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_ensemble_model,1,0.9639917695473249,inf,0.9074074074074072,0.0,127
4,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,127
5,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_ensemble_model,2,0.9609053497942388,inf,0.9722222222222222,0.0,127
6,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,127
7,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_ensemble_model,3,0.9578189300411524,inf,0.9351851851851852,0.0,127
8,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,127
9,autosklearnBBCEnsembleSelection_es50_B50_N0.5,cnae-9,best_ensemble_model,4,0.95679012345679,inf,0.9722222222222222,0.0,127
10,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,127
11,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_ensemble_model,0,0.7296349202136432,inf,0.7347139714646441,0.0,127
12,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,127
13,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_ensemble_model,1,0.7297557734566323,inf,0.7256311740844383,0.0,127
14,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,127
15,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_ensemble_model,2,0.7291181370952449,inf,0.7329380984260314,0.0,127
16,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,127
17,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_ensemble_model,3,0.7273372199134331,inf,0.7330103332692431,0.0,127
18,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,127
19,autosklearnBBCEnsembleSelection_es50_B50_N0.5,higgs,best_ensemble_model,4,0.7284598631379251,inf,0.7387259575186429,0.0,127
20,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,127
21,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_ensemble_model,0,0.9975457274822314,inf,0.9967320261437908,0.0,127
22,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,127
23,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_ensemble_model,1,0.9956952108493866,inf,0.9880239520958084,0.0,127
24,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,127
25,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_ensemble_model,2,0.9954243444451552,inf,0.9967320261437908,0.0,127
26,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,127
27,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_ensemble_model,3,0.9961211349447704,inf,1.0,0.0,127
28,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,127
29,autosklearnBBCEnsembleSelection_es50_B50_N0.5,kr-vs-kp,best_ensemble_model,4,0.9964850359636932,inf,1.0,0.0,127
30,autosklearnBBCEnsembleSelection_es50_B50_N0.5,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,127
31,autosklearnBBCEnsembleSelection_es50_B50_N0.5,vehicle,best_ensemble_model,0,0.8676656547080096,inf,0.8836580086580087,0.0,127
32,autosklearnBBCEnsembleSelection_es50_B50_N0.5,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,127
33,autosklearnBBCEnsembleSelection_es50_B50_N0.5,vehicle,best_ensemble_model,1,0.8713965530728858,inf,0.8365800865800865,0.0,127
