,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,117
1,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_ensemble_model,0,0.9639917695473249,inf,0.9444444444444444,0.0,117
2,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,117
3,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_ensemble_model,1,0.9722222222222222,inf,0.9074074074074072,0.0,117
4,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,117
5,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_ensemble_model,2,0.9670781893004116,inf,0.9722222222222222,0.0,117
6,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,117
7,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_ensemble_model,3,0.9609053497942388,inf,0.9351851851851852,0.0,117
8,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,117
9,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,cnae-9,best_ensemble_model,4,0.9639917695473249,inf,0.9722222222222222,0.0,117
10,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,117
11,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_ensemble_model,0,0.7295505098864583,inf,0.7338922490228701,0.0,117
12,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,117
13,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0,117
14,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,117
15,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_ensemble_model,2,0.7293432635103936,inf,0.73323922898888,0.0,117
16,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,117
17,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_ensemble_model,3,0.7272560062505177,inf,0.7332529047422535,0.0,117
18,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,117
19,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,higgs,best_ensemble_model,4,0.7287213609286258,inf,0.7372320829179507,0.0,117
20,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,117
21,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.9979096285011542,inf,0.9967320261437908,0.0,117
22,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,117
23,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9974837044057704,inf,0.9850299401197604,0.0,117
24,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,117
25,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,2,0.9972128380015391,inf,0.9967320261437908,0.0,117
26,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,117
27,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,3,0.997514715944001,inf,1.0,0.0,117
28,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,117
29,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,4,0.9968179254443856,inf,1.0,0.0,117
30,autosklearnBBCScoreEnsembleALLIB_es50_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,117
