,tool,task,model,fold,train,val,test,overfit,constraint
0,mljarsupervised,cnae-9,best_ensemble_model,0,,,0.935185,,14400s1c8G
1,mljarsupervised,cnae-9,best_ensemble_model,1,,,0.925926,,14400s1c8G
2,mljarsupervised,cnae-9,best_ensemble_model,2,,,0.9814809999999999,,14400s1c8G
3,mljarsupervised,cnae-9,best_ensemble_model,3,,,0.916667,,14400s1c8G
4,mljarsupervised,cnae-9,best_ensemble_model,4,,,0.9444440000000001,,14400s1c8G
5,mljarsupervised,higgs,best_ensemble_model,0,,,0.7396510000000001,,14400s1c8G
6,mljarsupervised,higgs,best_ensemble_model,1,,,0.728309,,14400s1c8G
7,mljarsupervised,higgs,best_ensemble_model,2,,,0.737758,,14400s1c8G
8,mljarsupervised,higgs,best_ensemble_model,3,,,0.7354569999999999,,14400s1c8G
9,mljarsupervised,higgs,best_ensemble_model,4,,,0.738082,,14400s1c8G
10,mljarsupervised,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,14400s1c8G
11,mljarsupervised,kr-vs-kp,best_ensemble_model,1,,,0.982036,,14400s1c8G
12,mljarsupervised,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,mljarsupervised,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,mljarsupervised,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,mljarsupervised,vehicle,best_ensemble_model,0,,,0.846807,,14400s1c8G
16,mljarsupervised,vehicle,best_ensemble_model,1,,,0.7559520000000001,,14400s1c8G
17,mljarsupervised,vehicle,best_ensemble_model,2,,,0.7554109999999999,,14400s1c8G
18,mljarsupervised,vehicle,best_ensemble_model,3,,,0.811688,,14400s1c8G
19,mljarsupervised,vehicle,best_ensemble_model,4,,,0.812771,,14400s1c8G
20,mljarsupervised,MiniBooNE,best_ensemble_model,0,,,0.937109,,14400s1c8G
21,mljarsupervised,MiniBooNE,best_ensemble_model,1,,,0.941526,,14400s1c8G
22,mljarsupervised,MiniBooNE,best_ensemble_model,2,,,0.9409370000000001,,14400s1c8G
23,mljarsupervised,MiniBooNE,best_ensemble_model,3,,,0.9439270000000001,,14400s1c8G
24,mljarsupervised,MiniBooNE,best_ensemble_model,4,,,0.938027,,14400s1c8G
25,mljarsupervised,connect-4,best_ensemble_model,0,,,0.727963,,14400s1c8G
26,mljarsupervised,connect-4,best_ensemble_model,1,,,0.723592,,14400s1c8G
27,mljarsupervised,connect-4,best_ensemble_model,2,,,0.727593,,14400s1c8G
28,mljarsupervised,connect-4,best_ensemble_model,3,,,0.728066,,14400s1c8G
29,mljarsupervised,connect-4,best_ensemble_model,4,,,0.728488,,14400s1c8G
30,mljarsupervised,segment,best_ensemble_model,0,,,0.9870129999999999,,14400s1c8G
31,mljarsupervised,segment,best_ensemble_model,1,,,0.9913420000000001,,14400s1c8G
32,mljarsupervised,segment,best_ensemble_model,2,,,0.9870129999999999,,14400s1c8G
33,mljarsupervised,segment,best_ensemble_model,3,,,0.9956709999999999,,14400s1c8G
34,mljarsupervised,segment,best_ensemble_model,4,,,1.0,,14400s1c8G
35,mljarsupervised,Australian,best_ensemble_model,0,,,0.8595079999999999,,14400s1c8G
36,mljarsupervised,Australian,best_ensemble_model,1,,,0.8446520000000001,,14400s1c8G
37,mljarsupervised,Australian,best_ensemble_model,2,,,0.8696940000000001,,14400s1c8G
38,mljarsupervised,Australian,best_ensemble_model,3,,,0.8433790000000001,,14400s1c8G
39,mljarsupervised,Australian,best_ensemble_model,4,,,0.9121389999999999,,14400s1c8G
40,mljarsupervised,adult,best_ensemble_model,0,,,0.791766,,14400s1c8G
41,mljarsupervised,adult,best_ensemble_model,1,,,0.80469,,14400s1c8G
42,mljarsupervised,adult,best_ensemble_model,2,,,0.798566,,14400s1c8G
43,mljarsupervised,adult,best_ensemble_model,3,,,0.807372,,14400s1c8G
44,mljarsupervised,adult,best_ensemble_model,4,,,0.799153,,14400s1c8G
45,mljarsupervised,Albert,best_ensemble_model,0,,,,,14400s1c8G
46,mljarsupervised,Albert,best_ensemble_model,1,,,,,14400s1c8G
47,mljarsupervised,Albert,best_ensemble_model,2,,,,,14400s1c8G
48,mljarsupervised,Albert,best_ensemble_model,3,,,0.711504,,14400s1c8G
49,mljarsupervised,Albert,best_ensemble_model,4,,,,,14400s1c8G
