,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,14400s1c8G
1,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,cnae-9,best_ensemble_model,1,,,0.916667,,14400s1c8G
2,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,14400s1c8G
3,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,cnae-9,best_ensemble_model,3,,,0.925926,,14400s1c8G
4,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,cnae-9,best_ensemble_model,4,,,0.9814809999999999,,14400s1c8G
5,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,higgs,best_ensemble_model,0,,,0.7373850000000001,,14400s1c8G
6,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,higgs,best_ensemble_model,1,,,0.722837,,14400s1c8G
7,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,higgs,best_ensemble_model,2,,,0.734917,,14400s1c8G
8,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,higgs,best_ensemble_model,3,,,0.732211,,14400s1c8G
9,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,higgs,best_ensemble_model,4,,,0.735012,,14400s1c8G
10,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,kr-vs-kp,best_ensemble_model,0,,,0.996732,,14400s1c8G
11,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,kr-vs-kp,best_ensemble_model,1,,,0.988024,,14400s1c8G
12,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,kr-vs-kp,best_ensemble_model,3,,,0.997006,,14400s1c8G
14,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,vehicle,best_ensemble_model,0,,,0.8819809999999999,,14400s1c8G
16,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,vehicle,best_ensemble_model,1,,,0.825758,,14400s1c8G
17,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,vehicle,best_ensemble_model,2,,,0.801407,,14400s1c8G
18,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,vehicle,best_ensemble_model,3,,,0.838203,,14400s1c8G
19,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,vehicle,best_ensemble_model,4,,,0.850108,,14400s1c8G
20,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,0,,,0.93775,,14400s1c8G
21,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,1,,,0.936593,,14400s1c8G
22,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,2,,,0.93795,,14400s1c8G
23,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,3,,,0.9433549999999999,,14400s1c8G
24,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,4,,,0.942233,,14400s1c8G
25,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,0,,,0.754007,,14400s1c8G
26,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,1,,,0.756942,,14400s1c8G
27,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,2,,,0.7675350000000001,,14400s1c8G
28,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,3,,,0.7556689999999999,,14400s1c8G
29,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,4,,,0.761105,,14400s1c8G
30,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,segment,best_ensemble_model,0,,,0.9913420000000001,,14400s1c8G
31,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,segment,best_ensemble_model,1,,,0.982684,,14400s1c8G
32,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,segment,best_ensemble_model,2,,,0.9913420000000001,,14400s1c8G
33,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,segment,best_ensemble_model,3,,,0.9956709999999999,,14400s1c8G
34,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,segment,best_ensemble_model,4,,,1.0,,14400s1c8G
35,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Australian,best_ensemble_model,0,,,0.8726659999999999,,14400s1c8G
36,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Australian,best_ensemble_model,1,,,0.815365,,14400s1c8G
37,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Australian,best_ensemble_model,2,,,0.820034,,14400s1c8G
38,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Australian,best_ensemble_model,3,,,0.833192,,14400s1c8G
39,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Australian,best_ensemble_model,4,,,0.8858229999999999,,14400s1c8G
40,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,adult,best_ensemble_model,0,,,0.847508,,14400s1c8G
41,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,adult,best_ensemble_model,1,,,0.838089,,14400s1c8G
42,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,adult,best_ensemble_model,2,,,0.8496370000000001,,14400s1c8G
43,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,adult,best_ensemble_model,3,,,0.8435950000000001,,14400s1c8G
44,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,adult,best_ensemble_model,4,,,0.837198,,14400s1c8G
45,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Albert,best_ensemble_model,0,,,0.683708,,14400s1c8G
46,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Albert,best_ensemble_model,1,,,0.685307,,14400s1c8G
47,autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny,Albert,best_ensemble_model,2,,,0.6874939999999999,,14400s1c8G
