,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnTHRESHOLDOUT,cnae-9,best_ensemble_model,0,,,0.143598,,3600s1c8G
1,autosklearnTHRESHOLDOUT,cnae-9,best_ensemble_model,1,,,0.29737600000000003,,3600s1c8G
2,autosklearnTHRESHOLDOUT,cnae-9,best_ensemble_model,2,,,0.12678399999999998,,3600s1c8G
3,autosklearnTHRESHOLDOUT,cnae-9,best_ensemble_model,3,,,0.208612,,3600s1c8G
4,autosklearnTHRESHOLDOUT,cnae-9,best_ensemble_model,4,,,0.174663,,3600s1c8G
5,autosklearnTHRESHOLDOUT,higgs,best_ensemble_model,0,,,0.814276,,3600s1c8G
6,autosklearnTHRESHOLDOUT,higgs,best_ensemble_model,1,,,0.80593,,3600s1c8G
7,autosklearnTHRESHOLDOUT,higgs,best_ensemble_model,2,,,0.812429,,3600s1c8G
8,autosklearnTHRESHOLDOUT,higgs,best_ensemble_model,3,,,0.816298,,3600s1c8G
9,autosklearnTHRESHOLDOUT,higgs,best_ensemble_model,4,,,0.815674,,3600s1c8G
10,autosklearnTHRESHOLDOUT,kr-vs-kp,best_ensemble_model,0,,,0.999922,,3600s1c8G
11,autosklearnTHRESHOLDOUT,kr-vs-kp,best_ensemble_model,1,,,0.999452,,3600s1c8G
12,autosklearnTHRESHOLDOUT,kr-vs-kp,best_ensemble_model,2,,,0.9995299999999999,,3600s1c8G
13,autosklearnTHRESHOLDOUT,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnTHRESHOLDOUT,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnTHRESHOLDOUT,vehicle,best_ensemble_model,0,,,0.32204499999999997,,3600s1c8G
16,autosklearnTHRESHOLDOUT,vehicle,best_ensemble_model,1,,,0.424468,,3600s1c8G
17,autosklearnTHRESHOLDOUT,vehicle,best_ensemble_model,2,,,0.461495,,3600s1c8G
18,autosklearnTHRESHOLDOUT,vehicle,best_ensemble_model,3,,,0.396346,,3600s1c8G
19,autosklearnTHRESHOLDOUT,vehicle,best_ensemble_model,4,,,0.350124,,3600s1c8G
20,autosklearnTHRESHOLDOUT,MiniBooNE,best_ensemble_model,0,,,0.9833299999999999,,3600s1c8G
21,autosklearnTHRESHOLDOUT,MiniBooNE,best_ensemble_model,1,,,0.984582,,3600s1c8G
22,autosklearnTHRESHOLDOUT,MiniBooNE,best_ensemble_model,2,,,0.984233,,3600s1c8G
23,autosklearnTHRESHOLDOUT,MiniBooNE,best_ensemble_model,3,,,0.9848110000000001,,3600s1c8G
24,autosklearnTHRESHOLDOUT,MiniBooNE,best_ensemble_model,4,,,0.985785,,3600s1c8G
25,autosklearnTHRESHOLDOUT,connect-4,best_ensemble_model,0,,,0.45061599999999996,,3600s1c8G
26,autosklearnTHRESHOLDOUT,connect-4,best_ensemble_model,1,,,0.387052,,3600s1c8G
27,autosklearnTHRESHOLDOUT,connect-4,best_ensemble_model,2,,,0.36608,,3600s1c8G
28,autosklearnTHRESHOLDOUT,connect-4,best_ensemble_model,3,,,0.433567,,3600s1c8G
29,autosklearnTHRESHOLDOUT,connect-4,best_ensemble_model,4,,,0.389757,,3600s1c8G
30,autosklearnTHRESHOLDOUT,segment,best_ensemble_model,0,,,0.0847777,,3600s1c8G
31,autosklearnTHRESHOLDOUT,segment,best_ensemble_model,1,,,0.059953599999999996,,3600s1c8G
32,autosklearnTHRESHOLDOUT,segment,best_ensemble_model,2,,,0.035376,,3600s1c8G
33,autosklearnTHRESHOLDOUT,segment,best_ensemble_model,3,,,0.0480306,,3600s1c8G
34,autosklearnTHRESHOLDOUT,segment,best_ensemble_model,4,,,0.00413854,,3600s1c8G
35,autosklearnTHRESHOLDOUT,Australian,best_ensemble_model,0,,,0.923599,,3600s1c8G
36,autosklearnTHRESHOLDOUT,Australian,best_ensemble_model,1,,,0.9006790000000001,,3600s1c8G
37,autosklearnTHRESHOLDOUT,Australian,best_ensemble_model,2,,,0.8879459999999999,,3600s1c8G
38,autosklearnTHRESHOLDOUT,Australian,best_ensemble_model,3,,,0.9252969999999999,,3600s1c8G
39,autosklearnTHRESHOLDOUT,Australian,best_ensemble_model,4,,,0.929542,,3600s1c8G
40,autosklearnTHRESHOLDOUT,adult,best_ensemble_model,0,,,0.932191,,3600s1c8G
41,autosklearnTHRESHOLDOUT,adult,best_ensemble_model,1,,,0.929377,,3600s1c8G
42,autosklearnTHRESHOLDOUT,adult,best_ensemble_model,2,,,0.929695,,3600s1c8G
43,autosklearnTHRESHOLDOUT,adult,best_ensemble_model,3,,,0.92427,,3600s1c8G
44,autosklearnTHRESHOLDOUT,adult,best_ensemble_model,4,,,0.9257850000000001,,3600s1c8G
45,autosklearnTHRESHOLDOUT,Albert,best_ensemble_model,0,,,0.755983,,3600s1c8G
46,autosklearnTHRESHOLDOUT,Albert,best_ensemble_model,1,,,0.7568199999999999,,3600s1c8G
47,autosklearnTHRESHOLDOUT,Albert,best_ensemble_model,2,,,0.758811,,3600s1c8G
48,autosklearnTHRESHOLDOUT,Albert,best_ensemble_model,3,,,0.7559319999999999,,3600s1c8G
49,autosklearnTHRESHOLDOUT,Albert,best_ensemble_model,4,,,0.760283,,3600s1c8G
