,tool,model,task,fold,test,val,constraint
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,0,0.7365415656515594,0.17974948799163837,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,1,0.7369061276355399,0.1804989427249255,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,2,0.737394974954512,0.17912079023234728,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,3,0.7283042335558796,0.17893488663986545,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,4,0.7415788368295959,0.1801830181359051,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,0,0.8633276740237691,0.04731484731484725,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,1,0.7775891341256367,0.00014040014040006543,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,2,0.8837011884550086,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,3,0.8735144312393888,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,4,0.9261460101867572,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,0,0.9455795016843298,5.605102321171174e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,1,0.9456429367216105,5.899048060031831e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,2,0.9413363667373777,2.7228234115161953e-06,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,3,0.9350230067299993,2.0328562545413043e-05,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,4,0.9607822299714328,1.0509566850114282e-06,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,0,0.9134420686537121,1.2667769611063306e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,1,0.9067104910584796,2.8502481708159166e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,2,0.9109536049220697,5.066615083038073e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,3,0.9080702709128978,5.066615083038073e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,4,0.9058161578217852,2.8499709814333585e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,0,-0.19104826381037668,-0.07769140025190138,log_loss
