,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,0,,,0.8527469999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,1,,,0.836792,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,2,,,0.850151,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,3,,,0.844793,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,4,,,0.840194,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,5,,,0.836449,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,6,,,0.8410920000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,7,,,0.8513200000000001,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,8,,,0.860398,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_10folds,adult,best_ensemble_model,9,,,0.8469450000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,0,,,0.814995,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,1,,,0.794805,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,2,,,0.811408,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,3,,,0.821732,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,4,,,0.797806,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,5,,,0.786388,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,6,,,0.811124,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,7,,,0.7974,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,8,,,0.8261040000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_10folds,Amazon_employee_access,best_ensemble_model,9,,,0.823831,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,0,,,0.974611,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,1,,,0.9648329999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,2,,,0.968183,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,3,,,0.965405,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,4,,,0.9621569999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,5,,,0.974657,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,6,,,0.975332,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,7,,,0.9686889999999999,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,8,,,0.961174,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_10folds,APSFailure,best_ensemble_model,9,,,0.971168,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,0,,,0.881548,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,1,,,0.8754770000000001,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,2,,,0.88087,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,3,,,0.862139,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,4,,,0.882909,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,5,,,0.864894,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,6,,,0.86593,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,7,,,0.8896959999999999,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,8,,,0.865167,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_10folds,bank-marketing,best_ensemble_model,9,,,0.881998,,3600s8c32G
40,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,0,,,0.7713,,3600s8c32G
41,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,1,,,0.780061,,3600s8c32G
42,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,2,,,0.790693,,3600s8c32G
43,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,3,,,0.769848,,3600s8c32G
44,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,4,,,0.7727109999999999,,3600s8c32G
45,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,5,,,0.783504,,3600s8c32G
46,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,6,,,0.7711520000000001,,3600s8c32G
47,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,7,,,0.784451,,3600s8c32G
48,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,8,,,0.790245,,3600s8c32G
49,autosklearnEnsembleIntensification_metaon_10folds,connect-4,best_ensemble_model,9,,,0.767119,,3600s8c32G
50,autosklearnEnsembleIntensification_metaon_10folds,Fashion-MNIST,best_ensemble_model,0,,,0.872714,,3600s8c32G
51,autosklearnEnsembleIntensification_metaon_10folds,Fashion-MNIST,best_ensemble_model,1,,,0.8795709999999999,,3600s8c32G
