,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,0,,,0.657565,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,1,,,0.65937,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,2,,,0.659051,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,3,,,0.65925,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,4,,,0.6542359999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,5,,,0.658305,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,6,,,0.65746,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,7,,,0.656792,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,8,,,0.6563979999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_10folds_large,Airlines,best_ensemble_model,9,,,0.661938,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,0,,,0.685401,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,1,,,0.693867,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,2,,,0.6701159999999999,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,3,,,0.6852600000000001,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,4,,,0.687753,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,5,,,0.687447,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,6,,,0.67061,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,7,,,0.69001,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,8,,,0.673549,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_10folds_large,Albert,best_ensemble_model,9,,,0.685824,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,0,,,0.14285699999999998,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,1,,,0.14285699999999998,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,2,,,0.14285699999999998,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,3,,,0.14285699999999998,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,4,,,0.14285699999999998,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,5,,,0.14285699999999998,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,6,,,0.14285699999999998,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,7,,,0.14285699999999998,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,8,,,0.14285699999999998,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_10folds_large,Covertype,best_ensemble_model,9,,,0.14285699999999998,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,0,,,0.631605,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,1,,,0.631034,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,2,,,0.627677,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,3,,,0.630392,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,4,,,0.630105,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,5,,,0.626931,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,6,,,0.633691,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,7,,,0.0028169000000000002,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,8,,,0.630969,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_10folds_large,Dionis,best_ensemble_model,9,,,0.0028169000000000002,,3600s8c32G
