,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,0,,,0.9151100000000001,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,1,,,0.802207,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,2,,,0.820034,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,3,,,0.84635,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,5,,,0.8960100000000001,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,6,,,0.8726659999999999,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,7,,,0.882051,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,8,,,0.874359,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_20incumbent,Australian,best_ensemble_model,9,,,0.839744,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,0,,,0.641813,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,1,,,0.725146,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,2,,,0.690058,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,3,,,0.665205,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,4,,,0.679825,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,5,,,0.709064,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,6,,,0.600877,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,7,,,0.628655,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,8,,,0.668215,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_20incumbent,blood-transfusion,best_ensemble_model,9,,,0.656347,,3600s8c32G
