,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,0,,,0.656062,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,1,,,0.656482,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,2,,,0.657539,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,3,,,0.655044,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,4,,,0.655821,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,5,,,0.6523100000000001,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,6,,,0.6595449999999999,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,7,,,0.657275,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,8,,,0.6571520000000001,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_20incumbent_large,Airlines,best_ensemble_model,9,,,0.658209,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,0,,,0.690481,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,1,,,0.690716,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,2,,,0.690904,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,3,,,0.688247,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,4,,,0.692409,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,5,,,0.691304,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,6,,,0.689375,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,7,,,0.6941729999999999,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,8,,,0.689611,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_20incumbent_large,Albert,best_ensemble_model,9,,,0.687024,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,0,,,0.9575899999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,1,,,0.958944,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,2,,,0.956211,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,3,,,0.571637,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,4,,,0.95737,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,5,,,0.957448,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,6,,,0.9603139999999999,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,7,,,0.961583,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,8,,,0.581871,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_20incumbent_large,Covertype,best_ensemble_model,9,,,0.956626,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,0,,,0.911064,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,1,,,0.626424,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,2,,,0.9104909999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,3,,,0.6364569999999999,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,5,,,0.621124,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,6,,,0.0028169000000000002,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,7,,,0.621788,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,8,,,0.906967,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_20incumbent_large,Dionis,best_ensemble_model,9,,,0.62637,,3600s8c32G
