,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,0,,,0.8501219999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,1,,,0.8390790000000001,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,2,,,0.8495030000000001,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,3,,,0.8426889999999999,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,4,,,0.8384950000000001,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,5,,,0.835205,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,6,,,0.843571,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,7,,,0.846726,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,8,,,0.86306,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_5incumbent,adult,best_ensemble_model,9,,,0.8512850000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,0,,,0.788375,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,1,,,0.793776,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,2,,,0.818613,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,3,,,0.8093060000000001,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,4,,,0.7975220000000001,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,5,,,0.77975,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,6,,,0.80987,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,7,,,0.7924220000000001,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,8,,,0.813149,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_5incumbent,Amazon_employee_access,best_ensemble_model,9,,,0.8020729999999999,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,0,,,0.975786,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,1,,,0.960316,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,2,,,0.96996,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,3,,,0.969424,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,4,,,0.958708,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,5,,,0.976399,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,6,,,0.9801559999999999,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,7,,,0.968751,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,8,,,0.969828,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_5incumbent,APSFailure,best_ensemble_model,9,,,0.9731110000000001,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,0,,,0.8757959999999999,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,1,,,0.8754770000000001,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,2,,,0.880927,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,3,,,0.859814,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,4,,,0.880142,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,5,,,0.8632540000000001,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,6,,,0.8638790000000001,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,7,,,0.886951,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,8,,,0.8719309999999999,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_5incumbent,bank-marketing,best_ensemble_model,9,,,0.8896280000000001,,3600s8c32G
40,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,0,,,0.7638729999999999,,3600s8c32G
41,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,1,,,0.770891,,3600s8c32G
42,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,2,,,0.783557,,3600s8c32G
43,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,3,,,0.761951,,3600s8c32G
44,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,4,,,0.786273,,3600s8c32G
45,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,5,,,0.771929,,3600s8c32G
46,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,6,,,0.7711210000000001,,3600s8c32G
47,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,7,,,0.777001,,3600s8c32G
48,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,8,,,0.774069,,3600s8c32G
49,autosklearnEnsembleIntensification_metaon_5incumbent,connect-4,best_ensemble_model,9,,,0.760893,,3600s8c32G
50,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,0,,,0.907286,,3600s8c32G
51,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,1,,,0.917286,,3600s8c32G
52,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,2,,,0.9075709999999999,,3600s8c32G
53,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,3,,,0.9037139999999999,,3600s8c32G
54,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,4,,,0.9107139999999999,,3600s8c32G
55,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,5,,,0.907143,,3600s8c32G
56,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,6,,,0.918429,,3600s8c32G
57,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,7,,,0.9137139999999999,,3600s8c32G
58,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,8,,,0.913429,,3600s8c32G
59,autosklearnEnsembleIntensification_metaon_5incumbent,Fashion-MNIST,best_ensemble_model,9,,,0.9118569999999999,,3600s8c32G
60,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,0,,,0.830625,,3600s8c32G
61,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,1,,,0.800208,,3600s8c32G
62,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,2,,,0.835208,,3600s8c32G
63,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,3,,,0.8225,,3600s8c32G
64,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,4,,,0.8310420000000001,,3600s8c32G
65,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,5,,,0.823125,,3600s8c32G
66,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,6,,,0.826875,,3600s8c32G
67,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,7,,,0.809928,,3600s8c32G
68,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,8,,,0.819924,,3600s8c32G
69,autosklearnEnsembleIntensification_metaon_5incumbent,guillermo,best_ensemble_model,9,,,0.830551,,3600s8c32G
70,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,0,,,0.252296,,3600s8c32G
71,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,1,,,0.264232,,3600s8c32G
72,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,2,,,0.264388,,3600s8c32G
73,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,3,,,0.263198,,3600s8c32G
74,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,4,,,0.27674899999999997,,3600s8c32G
75,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,5,,,0.261536,,3600s8c32G
76,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,6,,,0.26494,,3600s8c32G
77,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,7,,,0.268698,,3600s8c32G
78,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,8,,,0.262535,,3600s8c32G
79,autosklearnEnsembleIntensification_metaon_5incumbent,Helena,best_ensemble_model,9,,,0.257188,,3600s8c32G
80,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,0,,,0.734237,,3600s8c32G
81,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,1,,,0.72449,,3600s8c32G
82,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,2,,,0.738297,,3600s8c32G
83,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,3,,,0.731705,,3600s8c32G
84,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,4,,,0.7354430000000001,,3600s8c32G
85,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,5,,,0.737744,,3600s8c32G
86,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,6,,,0.734692,,3600s8c32G
87,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,7,,,0.722799,,3600s8c32G
88,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,8,,,0.723743,,3600s8c32G
89,autosklearnEnsembleIntensification_metaon_5incumbent,higgs,best_ensemble_model,9,,,0.7400399999999999,,3600s8c32G
90,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,0,,,0.682177,,3600s8c32G
91,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,1,,,0.669276,,3600s8c32G
92,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,2,,,0.68013,,3600s8c32G
93,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,3,,,0.694766,,3600s8c32G
94,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,4,,,0.6776939999999999,,3600s8c32G
95,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,5,,,0.6654,,3600s8c32G
96,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,6,,,0.675017,,3600s8c32G
97,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,7,,,0.674525,,3600s8c32G
98,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,8,,,0.667504,,3600s8c32G
99,autosklearnEnsembleIntensification_metaon_5incumbent,Jannis,best_ensemble_model,9,,,0.6785260000000001,,3600s8c32G
100,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,0,,,0.9228930000000001,,3600s8c32G
101,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,1,,,0.9075280000000001,,3600s8c32G
102,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,2,,,0.936558,,3600s8c32G
103,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,3,,,0.917646,,3600s8c32G
104,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,4,,,0.915855,,3600s8c32G
105,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,5,,,0.9390780000000001,,3600s8c32G
106,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,6,,,0.931679,,3600s8c32G
107,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,7,,,0.920373,,3600s8c32G
108,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,8,,,0.9829889999999999,,3600s8c32G
109,autosklearnEnsembleIntensification_metaon_5incumbent,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,9,,,0.9355379999999999,,3600s8c32G
110,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,0,,,0.763429,,3600s8c32G
111,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,1,,,0.740662,,3600s8c32G
112,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,2,,,0.737274,,3600s8c32G
113,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,3,,,0.71818,,3600s8c32G
114,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,4,,,0.7718430000000001,,3600s8c32G
115,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,5,,,0.744114,,3600s8c32G
116,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,6,,,0.7663270000000001,,3600s8c32G
117,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,7,,,0.761662,,3600s8c32G
118,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,8,,,0.72142,,3600s8c32G
119,autosklearnEnsembleIntensification_metaon_5incumbent,KDDCup09_appetency,best_ensemble_model,9,,,0.752259,,3600s8c32G
120,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,0,,,0.9430729999999999,,3600s8c32G
121,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,1,,,0.9403290000000001,,3600s8c32G
122,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,2,,,0.946197,,3600s8c32G
123,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,3,,,0.9472790000000001,,3600s8c32G
124,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,4,,,0.947586,,3600s8c32G
125,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,5,,,0.9482510000000001,,3600s8c32G
126,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,6,,,0.950076,,3600s8c32G
127,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,7,,,0.9457709999999999,,3600s8c32G
128,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,8,,,0.948044,,3600s8c32G
129,autosklearnEnsembleIntensification_metaon_5incumbent,MiniBooNE,best_ensemble_model,9,,,0.946517,,3600s8c32G
130,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,0,,,0.9760280000000001,,3600s8c32G
131,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,1,,,0.9739059999999999,,3600s8c32G
132,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,2,,,0.973195,,3600s8c32G
133,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,3,,,0.9799979999999999,,3600s8c32G
134,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,4,,,0.9725870000000001,,3600s8c32G
135,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,5,,,0.9674870000000001,,3600s8c32G
136,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,6,,,0.973382,,3600s8c32G
137,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,7,,,0.9765309999999999,,3600s8c32G
138,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,8,,,0.9753139999999999,,3600s8c32G
139,autosklearnEnsembleIntensification_metaon_5incumbent,nomao,best_ensemble_model,9,,,0.9743959999999999,,3600s8c32G
140,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,0,,,0.5159279999999999,,3600s8c32G
141,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,1,,,0.529432,,3600s8c32G
142,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,2,,,0.514208,,3600s8c32G
143,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,3,,,0.518331,,3600s8c32G
144,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,4,,,0.5307069999999999,,3600s8c32G
145,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,5,,,0.517868,,3600s8c32G
146,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,6,,,0.520425,,3600s8c32G
147,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,7,,,0.520467,,3600s8c32G
148,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,8,,,0.5231279999999999,,3600s8c32G
149,autosklearnEnsembleIntensification_metaon_5incumbent,numerai28.6,best_ensemble_model,9,,,0.519057,,3600s8c32G
150,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,0,,,0.998333,,3600s8c32G
151,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,1,,,0.998333,,3600s8c32G
152,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,2,,,0.998667,,3600s8c32G
153,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,3,,,0.9990000000000001,,3600s8c32G
154,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,4,,,0.999333,,3600s8c32G
155,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,5,,,0.998333,,3600s8c32G
156,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,6,,,0.9990000000000001,,3600s8c32G
157,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,7,,,0.998333,,3600s8c32G
158,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,8,,,0.999333,,3600s8c32G
159,autosklearnEnsembleIntensification_metaon_5incumbent,riccardo,best_ensemble_model,9,,,0.998,,3600s8c32G
160,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,0,,,0.518925,,3600s8c32G
161,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,1,,,0.5171319999999999,,3600s8c32G
162,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,2,,,0.476865,,3600s8c32G
163,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,3,,,0.5020100000000001,,3600s8c32G
164,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,4,,,0.5122270000000001,,3600s8c32G
165,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,5,,,0.515396,,3600s8c32G
166,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,6,,,0.536878,,3600s8c32G
167,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,7,,,0.5161479999999999,,3600s8c32G
168,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,8,,,0.49456400000000006,,3600s8c32G
169,autosklearnEnsembleIntensification_metaon_5incumbent,Robert,best_ensemble_model,9,,,0.471315,,3600s8c32G
170,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,0,,,0.999969,,3600s8c32G
171,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,1,,,0.999808,,3600s8c32G
172,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,2,,,0.999906,,3600s8c32G
173,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,3,,,0.857049,,3600s8c32G
174,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,4,,,0.9995629999999999,,3600s8c32G
175,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,5,,,0.9997450000000001,,3600s8c32G
176,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,6,,,1.0,,3600s8c32G
177,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,7,,,1.0,,3600s8c32G
178,autosklearnEnsembleIntensification_metaon_5incumbent,Shuttle,best_ensemble_model,8,,,0.97083,,3600s8c32G
