,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,0,,,0.843231,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,1,,,0.837282,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,2,,,0.850909,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,3,,,0.8442059999999999,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,4,,,0.8390569999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,5,,,0.835047,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,6,,,0.8410920000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,7,,,0.8525799999999999,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,8,,,0.8579899999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,9,,,0.850866,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,0,,,0.798795,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,1,,,0.791561,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,2,,,0.812782,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,3,,,0.792987,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,4,,,0.762912,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,5,,,0.7861060000000001,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,6,,,0.803231,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,7,,,0.788533,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,8,,,0.8332299999999999,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,9,,,0.81665,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,0,,,0.9744139999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,1,,,0.949501,,3600s8c32G
