,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,0,,,0.658061,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,1,,,0.66038,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,2,,,0.656674,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,3,,,0.65776,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,4,,,0.653092,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,5,,,0.655619,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,6,,,0.6559649999999999,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,7,,,0.6567890000000001,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,8,,,0.656749,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Airlines,best_ensemble_model,9,,,0.660816,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,0,,,0.689728,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,1,,,0.689775,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,2,,,0.693279,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,3,,,0.688317,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,4,,,0.689987,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,5,,,0.690716,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,6,,,0.688929,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,7,,,0.694596,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,8,,,0.690316,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Albert,best_ensemble_model,9,,,0.686812,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,0,,,0.9575899999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,1,,,0.959139,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,2,,,0.9562129999999999,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,3,,,0.96198,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,4,,,0.5753739999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,5,,,0.14285699999999998,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,6,,,0.9617120000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,7,,,0.961583,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,8,,,0.9550799999999999,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Covertype,best_ensemble_model,9,,,0.958393,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,0,,,0.6255029999999999,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,1,,,0.90723,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,3,,,0.790369,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,5,,,0.621124,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,6,,,0.627995,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,7,,,0.753653,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,8,,,0.909742,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_nobestperfamily_large,Dionis,best_ensemble_model,9,,,0.62637,,3600s8c32G
