,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,0,,,0.8459409999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,1,,,0.83968,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,2,,,0.851361,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,3,,,0.8439,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,4,,,0.8399989999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,5,,,0.8339700000000001,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,6,,,0.8452700000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,7,,,0.849038,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,8,,,0.8591,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nomedianprune,adult,best_ensemble_model,9,,,0.8488290000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,0,,,0.808189,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,1,,,0.798581,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,2,,,0.804769,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,3,,,0.80898,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,4,,,0.813029,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,5,,,0.791369,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nomedianprune,Amazon_employee_access,best_ensemble_model,6,,,0.805862,,3600s8c32G
