,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,0,,,0.657198,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,1,,,0.6611020000000001,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,2,,,0.6567970000000001,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,3,,,0.658646,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,4,,,0.652622,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,5,,,0.657096,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,6,,,0.656346,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,7,,,0.655432,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,8,,,0.657012,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Airlines,best_ensemble_model,9,,,0.661187,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,0,,,0.6902689999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,1,,,0.687235,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,2,,,0.692715,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,3,,,0.690246,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,4,,,0.690786,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,5,,,0.689987,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,6,,,0.6908569999999999,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,7,,,0.692127,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,8,,,0.689517,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Albert,best_ensemble_model,9,,,0.68907,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,0,,,0.9575899999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,1,,,0.962458,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,2,,,0.956211,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,3,,,0.96198,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,4,,,0.5753739999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,5,,,0.57396,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,6,,,0.9617120000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,7,,,0.963505,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,8,,,0.9550799999999999,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Covertype,best_ensemble_model,9,,,0.956626,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,0,,,0.6255029999999999,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,1,,,0.626189,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,2,,,0.9079309999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,3,,,0.0028169000000000002,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,5,,,0.621124,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,6,,,0.91079,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,7,,,0.621788,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,8,,,0.624262,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_nomedianprune_large,Dionis,best_ensemble_model,9,,,0.0028169000000000002,,3600s8c32G
