,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,0,,,0.849046,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,1,,,0.8401799999999999,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,2,,,0.8508479999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,3,,,0.8431540000000001,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,4,,,0.834715,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,5,,,0.832749,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,6,,,0.840419,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,7,,,0.8479760000000001,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,8,,,0.8588459999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nostacking,adult,best_ensemble_model,9,,,0.8485209999999999,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,0,,,0.7968,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,1,,,0.7842180000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,2,,,0.803229,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,3,,,0.794122,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,4,,,0.802219,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,5,,,0.7916529999999999,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,6,,,0.8106800000000001,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,7,,,0.776471,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,8,,,0.823838,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_nostacking,Amazon_employee_access,best_ensemble_model,9,,,0.811521,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,0,,,0.9689200000000001,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,1,,,0.955461,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,2,,,0.969255,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,3,,,0.958976,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,4,,,0.950672,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,5,,,0.962309,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,6,,,0.9692870000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,7,,,0.9702299999999999,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,8,,,0.9546030000000001,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_nostacking,APSFailure,best_ensemble_model,9,,,0.965664,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,0,,,0.862632,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,1,,,0.87554,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,2,,,0.8744129999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,3,,,0.861933,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,4,,,0.873115,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,5,,,0.8495309999999999,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,6,,,0.857799,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,7,,,0.8780690000000001,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,8,,,0.855874,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_nostacking,bank-marketing,best_ensemble_model,9,,,0.8815299999999999,,3600s8c32G
40,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,0,,,0.771687,,3600s8c32G
41,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,1,,,0.76469,,3600s8c32G
42,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,2,,,0.787446,,3600s8c32G
43,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,3,,,0.765265,,3600s8c32G
44,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,4,,,0.777842,,3600s8c32G
45,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,5,,,0.765741,,3600s8c32G
46,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,6,,,0.773629,,3600s8c32G
47,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,7,,,0.759229,,3600s8c32G
48,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,8,,,0.774755,,3600s8c32G
49,autosklearnEnsembleIntensification_metaon_nostacking,connect-4,best_ensemble_model,9,,,0.757031,,3600s8c32G
50,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,0,,,0.9025709999999999,,3600s8c32G
51,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,1,,,0.909429,,3600s8c32G
52,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,2,,,0.9035709999999999,,3600s8c32G
53,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,3,,,0.9035709999999999,,3600s8c32G
54,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,4,,,0.903143,,3600s8c32G
55,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,5,,,0.905429,,3600s8c32G
56,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,6,,,0.9115709999999999,,3600s8c32G
57,autosklearnEnsembleIntensification_metaon_nostacking,Fashion-MNIST,best_ensemble_model,7,,,0.900286,,3600s8c32G
