,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,0,,,0.65598,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,1,,,0.661612,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,2,,,0.653008,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,3,,,0.655641,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,4,,,0.651791,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,5,,,0.652606,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,6,,,0.653543,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,7,,,0.654995,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,8,,,0.653755,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nostacking_large,Airlines,best_ensemble_model,9,,,0.658744,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,0,,,0.690739,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,1,,,0.6870470000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,2,,,0.6945720000000001,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,3,,,0.6934670000000001,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,4,,,0.6917979999999999,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,5,,,0.687753,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,6,,,0.687729,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,7,,,0.692221,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,8,,,0.691774,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_nostacking_large,Albert,best_ensemble_model,9,,,0.694902,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,0,,,0.9575899999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,1,,,0.958944,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,2,,,0.956211,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,3,,,0.959392,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,4,,,0.95737,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,5,,,0.957225,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,6,,,0.9617120000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,7,,,0.961034,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,8,,,0.9550799999999999,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_nostacking_large,Covertype,best_ensemble_model,9,,,0.955342,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,0,,,0.0028169000000000002,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,1,,,0.626189,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,3,,,0.6305350000000001,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,5,,,0.621124,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,6,,,0.627995,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,7,,,0.621788,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,8,,,0.624262,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_nostacking_large,Dionis,best_ensemble_model,9,,,0.62637,,3600s8c32G
