,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,0,,,0.845634,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,1,,,0.835778,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,2,,,0.850261,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,3,,,0.839852,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,4,,,0.837516,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,5,,,0.835325,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,6,,,0.8406040000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,7,,,0.84972,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,8,,,0.859875,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_notiebreaklog,adult,best_ensemble_model,9,,,0.8487239999999999,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,0,,,0.8010649999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,1,,,0.791561,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,2,,,0.81428,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,3,,,0.803231,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,4,,,0.814283,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,5,,,0.7896270000000001,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,6,,,0.806914,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,7,,,0.793027,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,8,,,0.8261440000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_notiebreaklog,Amazon_employee_access,best_ensemble_model,9,,,0.812601,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,0,,,0.972972,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,1,,,0.9596459999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,2,,,0.9673790000000001,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,3,,,0.968987,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,4,,,0.9684510000000001,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,5,,,0.9746520000000001,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,6,,,0.980223,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,7,,,0.9637209999999999,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,8,,,0.965669,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_notiebreaklog,APSFailure,best_ensemble_model,9,,,0.9704309999999999,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,0,,,0.8824489999999999,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,1,,,0.87313,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,2,,,0.883091,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,3,,,0.869267,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,4,,,0.8806430000000001,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,5,,,0.865122,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,6,,,0.862548,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,7,,,0.889275,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,8,,,0.8683780000000001,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_notiebreaklog,bank-marketing,best_ensemble_model,9,,,0.8834219999999999,,3600s8c32G
40,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,0,,,0.7731180000000001,,3600s8c32G
41,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,1,,,0.7781939999999999,,3600s8c32G
42,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,2,,,0.802029,,3600s8c32G
43,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,3,,,0.771413,,3600s8c32G
44,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,4,,,0.787644,,3600s8c32G
45,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,5,,,0.800087,,3600s8c32G
46,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,6,,,0.785709,,3600s8c32G
47,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,7,,,0.7933899999999999,,3600s8c32G
48,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,8,,,0.778466,,3600s8c32G
49,autosklearnEnsembleIntensification_metaon_notiebreaklog,connect-4,best_ensemble_model,9,,,0.7716149999999999,,3600s8c32G
50,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,0,,,0.9079999999999999,,3600s8c32G
51,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,1,,,0.914429,,3600s8c32G
52,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,2,,,0.91,,3600s8c32G
53,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,3,,,0.914,,3600s8c32G
54,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,4,,,0.913429,,3600s8c32G
55,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,5,,,0.908429,,3600s8c32G
56,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,6,,,0.911429,,3600s8c32G
57,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,7,,,0.914,,3600s8c32G
58,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,8,,,0.906857,,3600s8c32G
59,autosklearnEnsembleIntensification_metaon_notiebreaklog,Fashion-MNIST,best_ensemble_model,9,,,0.908143,,3600s8c32G
60,autosklearnEnsembleIntensification_metaon_notiebreaklog,guillermo,best_ensemble_model,0,,,0.823958,,3600s8c32G
