,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,Airlines,best_ensemble_model,0,,,0.6571859999999999,,3600s8c32G
1,AutoGluon,Airlines,best_ensemble_model,1,,,0.618459,,3600s8c32G
2,AutoGluon,Airlines,best_ensemble_model,2,,,0.647732,,3600s8c32G
3,AutoGluon,Airlines,best_ensemble_model,3,,,0.6605270000000001,,3600s8c32G
4,AutoGluon,Airlines,best_ensemble_model,4,,,0.617178,,3600s8c32G
5,AutoGluon,Airlines,best_ensemble_model,5,,,0.65304,,3600s8c32G
6,AutoGluon,Airlines,best_ensemble_model,6,,,0.647296,,3600s8c32G
7,AutoGluon,Airlines,best_ensemble_model,7,,,0.647313,,3600s8c32G
8,AutoGluon,Airlines,best_ensemble_model,8,,,0.656732,,3600s8c32G
9,AutoGluon,Airlines,best_ensemble_model,9,,,0.65961,,3600s8c32G
10,AutoGluon,Albert,best_ensemble_model,0,,,0.6926439999999999,,3600s8c32G
11,AutoGluon,Albert,best_ensemble_model,1,,,0.689728,,3600s8c32G
12,AutoGluon,Albert,best_ensemble_model,2,,,0.676747,,3600s8c32G
13,AutoGluon,Albert,best_ensemble_model,3,,,0.698288,,3600s8c32G
14,AutoGluon,Albert,best_ensemble_model,4,,,0.692291,,3600s8c32G
15,AutoGluon,Albert,best_ensemble_model,5,,,0.694243,,3600s8c32G
16,AutoGluon,Albert,best_ensemble_model,6,,,0.6969479999999999,,3600s8c32G
17,AutoGluon,Albert,best_ensemble_model,7,,,0.706965,,3600s8c32G
18,AutoGluon,Albert,best_ensemble_model,8,,,0.6976060000000001,,3600s8c32G
19,AutoGluon,Albert,best_ensemble_model,9,,,0.679193,,3600s8c32G
20,AutoGluon,Covertype,best_ensemble_model,0,,,0.8854,,3600s8c32G
21,AutoGluon,Covertype,best_ensemble_model,1,,,0.8801549999999999,,3600s8c32G
22,AutoGluon,Covertype,best_ensemble_model,2,,,0.8770209999999999,,3600s8c32G
23,AutoGluon,Covertype,best_ensemble_model,3,,,0.883014,,3600s8c32G
24,AutoGluon,Covertype,best_ensemble_model,4,,,0.8801959999999999,,3600s8c32G
25,AutoGluon,Covertype,best_ensemble_model,5,,,0.893703,,3600s8c32G
26,AutoGluon,Covertype,best_ensemble_model,6,,,0.89176,,3600s8c32G
27,AutoGluon,Covertype,best_ensemble_model,7,,,0.8888959999999999,,3600s8c32G
28,AutoGluon,Covertype,best_ensemble_model,8,,,0.8904719999999999,,3600s8c32G
29,AutoGluon,Covertype,best_ensemble_model,9,,,0.8818520000000001,,3600s8c32G
30,AutoGluon,Dionis,best_ensemble_model,0,,,0.933991,,3600s8c32G
31,AutoGluon,Dionis,best_ensemble_model,1,,,0.932143,,3600s8c32G
32,AutoGluon,Dionis,best_ensemble_model,2,,,0.9317799999999999,,3600s8c32G
33,AutoGluon,Dionis,best_ensemble_model,3,,,0.931616,,3600s8c32G
34,AutoGluon,Dionis,best_ensemble_model,4,,,0.931976,,3600s8c32G
35,AutoGluon,Dionis,best_ensemble_model,5,,,0.930623,,3600s8c32G
36,AutoGluon,Dionis,best_ensemble_model,6,,,0.930794,,3600s8c32G
37,AutoGluon,Dionis,best_ensemble_model,7,,,0.931559,,3600s8c32G
38,AutoGluon,Dionis,best_ensemble_model,8,,,0.9337110000000001,,3600s8c32G
39,AutoGluon,Dionis,best_ensemble_model,9,,,0.93342,,3600s8c32G
