,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,adult,best_ensemble_model,0,,,0.814253,,3600s8c32G
1,AutoGluon,adult,best_ensemble_model,1,,,0.8206690000000001,,3600s8c32G
2,AutoGluon,adult,best_ensemble_model,2,,,0.8039109999999999,,3600s8c32G
3,AutoGluon,adult,best_ensemble_model,3,,,0.811041,,3600s8c32G
4,AutoGluon,adult,best_ensemble_model,4,,,0.810625,,3600s8c32G
5,AutoGluon,adult,best_ensemble_model,5,,,0.81111,,3600s8c32G
6,AutoGluon,adult,best_ensemble_model,6,,,0.804488,,3600s8c32G
7,AutoGluon,adult,best_ensemble_model,7,,,0.8213030000000001,,3600s8c32G
8,AutoGluon,adult,best_ensemble_model,8,,,0.834784,,3600s8c32G
9,AutoGluon,adult,best_ensemble_model,9,,,0.8236389999999999,,3600s8c32G
10,AutoGluon,Amazon_employee_access,best_ensemble_model,0,,,0.748735,,3600s8c32G
11,AutoGluon,Amazon_employee_access,best_ensemble_model,1,,,0.738962,,3600s8c32G
12,AutoGluon,Amazon_employee_access,best_ensemble_model,2,,,0.7276100000000001,,3600s8c32G
13,AutoGluon,Amazon_employee_access,best_ensemble_model,3,,,0.7213350000000001,,3600s8c32G
14,AutoGluon,Amazon_employee_access,best_ensemble_model,4,,,0.771537,,3600s8c32G
15,AutoGluon,Amazon_employee_access,best_ensemble_model,5,,,0.7337229999999999,,3600s8c32G
16,AutoGluon,Amazon_employee_access,best_ensemble_model,6,,,0.747205,,3600s8c32G
17,AutoGluon,Amazon_employee_access,best_ensemble_model,7,,,0.7434390000000001,,3600s8c32G
18,AutoGluon,Amazon_employee_access,best_ensemble_model,8,,,0.758865,,3600s8c32G
19,AutoGluon,Amazon_employee_access,best_ensemble_model,9,,,0.744034,,3600s8c32G
20,AutoGluon,APSFailure,best_ensemble_model,0,,,0.9289149999999999,,3600s8c32G
21,AutoGluon,APSFailure,best_ensemble_model,1,,,0.891682,,3600s8c32G
22,AutoGluon,APSFailure,best_ensemble_model,2,,,0.907285,,3600s8c32G
23,AutoGluon,APSFailure,best_ensemble_model,3,,,0.9247290000000001,,3600s8c32G
24,AutoGluon,APSFailure,best_ensemble_model,4,,,0.942241,,3600s8c32G
25,AutoGluon,APSFailure,best_ensemble_model,5,,,0.9009010000000001,,3600s8c32G
26,AutoGluon,APSFailure,best_ensemble_model,6,,,0.919486,,3600s8c32G
27,AutoGluon,APSFailure,best_ensemble_model,7,,,0.9320350000000001,,3600s8c32G
28,AutoGluon,APSFailure,best_ensemble_model,8,,,0.9325040000000001,,3600s8c32G
29,AutoGluon,APSFailure,best_ensemble_model,9,,,0.926732,,3600s8c32G
30,AutoGluon,bank-marketing,best_ensemble_model,0,,,0.795942,,3600s8c32G
31,AutoGluon,bank-marketing,best_ensemble_model,1,,,0.760049,,3600s8c32G
32,AutoGluon,bank-marketing,best_ensemble_model,2,,,0.795673,,3600s8c32G
33,AutoGluon,bank-marketing,best_ensemble_model,3,,,0.796516,,3600s8c32G
34,AutoGluon,bank-marketing,best_ensemble_model,4,,,0.798851,,3600s8c32G
35,AutoGluon,bank-marketing,best_ensemble_model,5,,,0.768742,,3600s8c32G
36,AutoGluon,bank-marketing,best_ensemble_model,6,,,0.741798,,3600s8c32G
37,AutoGluon,bank-marketing,best_ensemble_model,7,,,0.786859,,3600s8c32G
38,AutoGluon,bank-marketing,best_ensemble_model,8,,,0.807722,,3600s8c32G
39,AutoGluon,bank-marketing,best_ensemble_model,9,,,0.793225,,3600s8c32G
40,AutoGluon,connect-4,best_ensemble_model,0,,,0.758024,,3600s8c32G
41,AutoGluon,connect-4,best_ensemble_model,1,,,0.753506,,3600s8c32G
42,AutoGluon,connect-4,best_ensemble_model,2,,,0.770083,,3600s8c32G
43,AutoGluon,connect-4,best_ensemble_model,3,,,0.760041,,3600s8c32G
44,AutoGluon,connect-4,best_ensemble_model,4,,,0.772452,,3600s8c32G
45,AutoGluon,connect-4,best_ensemble_model,5,,,0.767826,,3600s8c32G
