,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,Australian,best_ensemble_model,0,,,0.8726659999999999,,3600s8c32G
1,AutoGluon,Australian,best_ensemble_model,1,,,0.828523,,3600s8c32G
2,AutoGluon,Australian,best_ensemble_model,2,,,0.8696940000000001,,3600s8c32G
3,AutoGluon,Australian,best_ensemble_model,3,,,0.840407,,3600s8c32G
4,AutoGluon,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
5,AutoGluon,Australian,best_ensemble_model,5,,,0.8696940000000001,,3600s8c32G
6,AutoGluon,Australian,best_ensemble_model,6,,,0.8433790000000001,,3600s8c32G
7,AutoGluon,Australian,best_ensemble_model,7,,,0.8782049999999999,,3600s8c32G
8,AutoGluon,Australian,best_ensemble_model,8,,,0.874359,,3600s8c32G
9,AutoGluon,Australian,best_ensemble_model,9,,,0.7974359999999999,,3600s8c32G
10,AutoGluon,blood-transfusion,best_ensemble_model,0,,,0.595029,,3600s8c32G
11,AutoGluon,blood-transfusion,best_ensemble_model,1,,,0.6125729999999999,,3600s8c32G
12,AutoGluon,blood-transfusion,best_ensemble_model,2,,,0.548246,,3600s8c32G
13,AutoGluon,blood-transfusion,best_ensemble_model,3,,,0.678363,,3600s8c32G
14,AutoGluon,blood-transfusion,best_ensemble_model,4,,,0.649123,,3600s8c32G
15,AutoGluon,blood-transfusion,best_ensemble_model,5,,,0.6125729999999999,,3600s8c32G
16,AutoGluon,blood-transfusion,best_ensemble_model,6,,,0.633041,,3600s8c32G
17,AutoGluon,blood-transfusion,best_ensemble_model,7,,,0.668129,,3600s8c32G
18,AutoGluon,blood-transfusion,best_ensemble_model,8,,,0.623839,,3600s8c32G
19,AutoGluon,blood-transfusion,best_ensemble_model,9,,,0.582559,,3600s8c32G
20,AutoGluon,car,best_ensemble_model,0,,,1.0,,3600s8c32G
21,AutoGluon,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,AutoGluon,car,best_ensemble_model,2,,,0.997934,,3600s8c32G
23,AutoGluon,car,best_ensemble_model,3,,,0.99359,,3600s8c32G
24,AutoGluon,car,best_ensemble_model,4,,,1.0,,3600s8c32G
25,AutoGluon,car,best_ensemble_model,5,,,1.0,,3600s8c32G
26,AutoGluon,car,best_ensemble_model,6,,,0.9913549999999999,,3600s8c32G
27,AutoGluon,car,best_ensemble_model,7,,,0.995868,,3600s8c32G
28,AutoGluon,car,best_ensemble_model,8,,,0.9642860000000001,,3600s8c32G
29,AutoGluon,car,best_ensemble_model,9,,,1.0,,3600s8c32G
30,AutoGluon,christine,best_ensemble_model,0,,,0.754613,,3600s8c32G
31,AutoGluon,christine,best_ensemble_model,1,,,0.761993,,3600s8c32G
32,AutoGluon,christine,best_ensemble_model,2,,,0.747232,,3600s8c32G
33,AutoGluon,christine,best_ensemble_model,3,,,0.756458,,3600s8c32G
34,AutoGluon,christine,best_ensemble_model,4,,,0.7214020000000001,,3600s8c32G
35,AutoGluon,christine,best_ensemble_model,5,,,0.7601479999999999,,3600s8c32G
36,AutoGluon,christine,best_ensemble_model,6,,,0.776753,,3600s8c32G
37,AutoGluon,christine,best_ensemble_model,7,,,0.7398520000000001,,3600s8c32G
38,AutoGluon,christine,best_ensemble_model,8,,,0.739313,,3600s8c32G
39,AutoGluon,christine,best_ensemble_model,9,,,0.717241,,3600s8c32G
40,AutoGluon,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
41,AutoGluon,cnae-9,best_ensemble_model,1,,,0.898148,,3600s8c32G
42,AutoGluon,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
43,AutoGluon,cnae-9,best_ensemble_model,3,,,0.898148,,3600s8c32G
44,AutoGluon,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
45,AutoGluon,cnae-9,best_ensemble_model,5,,,0.9537040000000001,,3600s8c32G
46,AutoGluon,cnae-9,best_ensemble_model,6,,,0.9444440000000001,,3600s8c32G
47,AutoGluon,cnae-9,best_ensemble_model,7,,,0.935185,,3600s8c32G
48,AutoGluon,cnae-9,best_ensemble_model,8,,,0.935185,,3600s8c32G
49,AutoGluon,cnae-9,best_ensemble_model,9,,,0.9629629999999999,,3600s8c32G
50,AutoGluon,credit-g,best_ensemble_model,0,,,0.742857,,3600s8c32G
51,AutoGluon,credit-g,best_ensemble_model,1,,,0.614286,,3600s8c32G
52,AutoGluon,credit-g,best_ensemble_model,2,,,0.6642859999999999,,3600s8c32G
53,AutoGluon,credit-g,best_ensemble_model,3,,,0.759524,,3600s8c32G
54,AutoGluon,credit-g,best_ensemble_model,4,,,0.6,,3600s8c32G
55,AutoGluon,credit-g,best_ensemble_model,5,,,0.716667,,3600s8c32G
56,AutoGluon,credit-g,best_ensemble_model,6,,,0.7095239999999999,,3600s8c32G
57,AutoGluon,credit-g,best_ensemble_model,7,,,0.735714,,3600s8c32G
58,AutoGluon,credit-g,best_ensemble_model,8,,,0.690476,,3600s8c32G
59,AutoGluon,credit-g,best_ensemble_model,9,,,0.657143,,3600s8c32G
60,AutoGluon,dilbert,best_ensemble_model,0,,,0.993093,,3600s8c32G
61,AutoGluon,dilbert,best_ensemble_model,1,,,0.993992,,3600s8c32G
62,AutoGluon,dilbert,best_ensemble_model,2,,,0.9940120000000001,,3600s8c32G
63,AutoGluon,dilbert,best_ensemble_model,3,,,0.994034,,3600s8c32G
64,AutoGluon,dilbert,best_ensemble_model,4,,,0.9959969999999999,,3600s8c32G
65,AutoGluon,dilbert,best_ensemble_model,5,,,0.994943,,3600s8c32G
66,AutoGluon,dilbert,best_ensemble_model,6,,,0.9960680000000001,,3600s8c32G
67,AutoGluon,dilbert,best_ensemble_model,7,,,0.993994,,3600s8c32G
68,AutoGluon,dilbert,best_ensemble_model,8,,,0.9940530000000001,,3600s8c32G
69,AutoGluon,dilbert,best_ensemble_model,9,,,0.997064,,3600s8c32G
70,AutoGluon,fabert,best_ensemble_model,0,,,0.711874,,3600s8c32G
71,AutoGluon,fabert,best_ensemble_model,1,,,0.723916,,3600s8c32G
72,AutoGluon,fabert,best_ensemble_model,2,,,0.7122189999999999,,3600s8c32G
73,AutoGluon,fabert,best_ensemble_model,3,,,0.718328,,3600s8c32G
74,AutoGluon,fabert,best_ensemble_model,4,,,0.7156239999999999,,3600s8c32G
75,AutoGluon,fabert,best_ensemble_model,5,,,0.724448,,3600s8c32G
76,AutoGluon,fabert,best_ensemble_model,6,,,0.710075,,3600s8c32G
77,AutoGluon,fabert,best_ensemble_model,7,,,0.7011689999999999,,3600s8c32G
78,AutoGluon,fabert,best_ensemble_model,8,,,0.691127,,3600s8c32G
79,AutoGluon,fabert,best_ensemble_model,9,,,0.693865,,3600s8c32G
80,AutoGluon,jasmine,best_ensemble_model,0,,,0.802349,,3600s8c32G
81,AutoGluon,jasmine,best_ensemble_model,1,,,0.819105,,3600s8c32G
82,AutoGluon,jasmine,best_ensemble_model,2,,,0.846577,,3600s8c32G
83,AutoGluon,jasmine,best_ensemble_model,3,,,0.829866,,3600s8c32G
84,AutoGluon,jasmine,best_ensemble_model,4,,,0.791946,,3600s8c32G
85,AutoGluon,jasmine,best_ensemble_model,5,,,0.7885909999999999,,3600s8c32G
86,AutoGluon,jasmine,best_ensemble_model,6,,,0.8154359999999999,,3600s8c32G
87,AutoGluon,jasmine,best_ensemble_model,7,,,0.798658,,3600s8c32G
88,AutoGluon,jasmine,best_ensemble_model,8,,,0.828859,,3600s8c32G
89,AutoGluon,jasmine,best_ensemble_model,9,,,0.818792,,3600s8c32G
90,AutoGluon,kc1,best_ensemble_model,0,,,0.655115,,3600s8c32G
91,AutoGluon,kc1,best_ensemble_model,1,,,0.67912,,3600s8c32G
92,AutoGluon,kc1,best_ensemble_model,2,,,0.609899,,3600s8c32G
93,AutoGluon,kc1,best_ensemble_model,3,,,0.666071,,3600s8c32G
94,AutoGluon,kc1,best_ensemble_model,4,,,0.583589,,3600s8c32G
95,AutoGluon,kc1,best_ensemble_model,5,,,0.6318520000000001,,3600s8c32G
96,AutoGluon,kc1,best_ensemble_model,6,,,0.68684,,3600s8c32G
97,AutoGluon,kc1,best_ensemble_model,7,,,0.6744979999999999,,3600s8c32G
98,AutoGluon,kc1,best_ensemble_model,8,,,0.695267,,3600s8c32G
99,AutoGluon,kc1,best_ensemble_model,9,,,0.622542,,3600s8c32G
100,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
101,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.98503,,3600s8c32G
102,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
103,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
104,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
105,AutoGluon,kr-vs-kp,best_ensemble_model,5,,,0.997006,,3600s8c32G
106,AutoGluon,kr-vs-kp,best_ensemble_model,6,,,0.986928,,3600s8c32G
107,AutoGluon,kr-vs-kp,best_ensemble_model,7,,,0.993717,,3600s8c32G
108,AutoGluon,kr-vs-kp,best_ensemble_model,8,,,0.996711,,3600s8c32G
109,AutoGluon,kr-vs-kp,best_ensemble_model,9,,,0.997006,,3600s8c32G
110,AutoGluon,mfeat-factors,best_ensemble_model,0,,,0.98,,3600s8c32G
111,AutoGluon,mfeat-factors,best_ensemble_model,1,,,0.975,,3600s8c32G
112,AutoGluon,mfeat-factors,best_ensemble_model,2,,,0.98,,3600s8c32G
113,AutoGluon,mfeat-factors,best_ensemble_model,3,,,0.97,,3600s8c32G
