,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,0,,,0.8858229999999999,,3600s8c32G
1,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,1,,,0.834465,,3600s8c32G
2,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,2,,,0.84635,,3600s8c32G
3,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,3,,,0.8887950000000001,,3600s8c32G
4,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,4,,,0.9019520000000001,,3600s8c32G
5,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,5,,,0.8858229999999999,,3600s8c32G
6,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,6,,,0.817063,,3600s8c32G
7,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,7,,,0.89359,,3600s8c32G
8,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,8,,,0.869231,,3600s8c32G
9,autosklearnHyperbandTowering_metalearning_memefficient,Australian,best_ensemble_model,9,,,0.8782049999999999,,3600s8c32G
10,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,0,,,0.622807,,3600s8c32G
11,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,1,,,0.744152,,3600s8c32G
12,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,2,,,0.504386,,3600s8c32G
13,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,3,,,0.672515,,3600s8c32G
14,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,4,,,0.76462,,3600s8c32G
15,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,5,,,0.633041,,3600s8c32G
16,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,6,,,0.6827489999999999,,3600s8c32G
17,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,7,,,0.700292,,3600s8c32G
18,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,8,,,0.680083,,3600s8c32G
19,autosklearnHyperbandTowering_metalearning_memefficient,blood-transfusion,best_ensemble_model,9,,,0.723942,,3600s8c32G
20,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,2,,,1.0,,3600s8c32G
23,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,3,,,1.0,,3600s8c32G
24,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,4,,,1.0,,3600s8c32G
25,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,5,,,1.0,,3600s8c32G
26,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,6,,,1.0,,3600s8c32G
27,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,7,,,1.0,,3600s8c32G
28,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,8,,,1.0,,3600s8c32G
29,autosklearnHyperbandTowering_metalearning_memefficient,car,best_ensemble_model,9,,,1.0,,3600s8c32G
30,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,0,,,0.743542,,3600s8c32G
31,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,1,,,0.7730630000000001,,3600s8c32G
32,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,2,,,0.754613,,3600s8c32G
33,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,3,,,0.756458,,3600s8c32G
34,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,4,,,0.743542,,3600s8c32G
35,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,5,,,0.7712180000000001,,3600s8c32G
36,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,6,,,0.774908,,3600s8c32G
37,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,7,,,0.736162,,3600s8c32G
38,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,8,,,0.7392920000000001,,3600s8c32G
39,autosklearnHyperbandTowering_metalearning_memefficient,christine,best_ensemble_model,9,,,0.7135229999999999,,3600s8c32G
40,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
41,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
42,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
43,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
44,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
45,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,5,,,0.9814809999999999,,3600s8c32G
46,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,6,,,0.9537040000000001,,3600s8c32G
47,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,7,,,0.935185,,3600s8c32G
48,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,8,,,0.9722219999999999,,3600s8c32G
49,autosklearnHyperbandTowering_metalearning_memefficient,cnae-9,best_ensemble_model,9,,,0.9814809999999999,,3600s8c32G
50,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,0,,,0.783333,,3600s8c32G
51,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,1,,,0.6238100000000001,,3600s8c32G
52,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,2,,,0.642857,,3600s8c32G
53,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,3,,,0.730952,,3600s8c32G
54,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,4,,,0.692857,,3600s8c32G
55,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,5,,,0.7476189999999999,,3600s8c32G
56,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,6,,,0.659524,,3600s8c32G
57,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,7,,,0.7928569999999999,,3600s8c32G
58,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,8,,,0.669048,,3600s8c32G
59,autosklearnHyperbandTowering_metalearning_memefficient,credit-g,best_ensemble_model,9,,,0.7523810000000001,,3600s8c32G
60,autosklearnHyperbandTowering_metalearning_memefficient,dilbert,best_ensemble_model,0,,,0.994078,,3600s8c32G
61,autosklearnHyperbandTowering_metalearning_memefficient,dilbert,best_ensemble_model,1,,,0.9949969999999999,,3600s8c32G
