,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,0,,,0.8472629999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,1,,,0.837003,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,2,,,0.851239,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,3,,,0.840084,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,4,,,0.834043,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,5,,,0.834374,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,6,,,0.841319,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,7,,,0.847447,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,8,,,0.858125,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon,adult,best_ensemble_model,9,,,0.85241,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,0,,,0.807708,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,1,,,0.7872439999999999,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,2,,,0.8211229999999999,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,3,,,0.781652,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,4,,,0.818049,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,5,,,0.790801,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,6,,,0.809588,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,7,,,0.803433,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,8,,,0.831125,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon,Amazon_employee_access,best_ensemble_model,9,,,0.8245870000000001,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,0,,,0.9743120000000001,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,1,,,0.9644309999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,2,,,0.969756,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,3,,,0.969089,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,4,,,0.9600479999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,5,,,0.973513,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,6,,,0.97895,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,7,,,0.96305,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,8,,,0.965606,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon,APSFailure,best_ensemble_model,9,,,0.9678129999999999,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon,bank-marketing,best_ensemble_model,0,,,0.8825290000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon,bank-marketing,best_ensemble_model,1,,,0.877442,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon,bank-marketing,best_ensemble_model,2,,,0.884048,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon,bank-marketing,best_ensemble_model,3,,,0.8648370000000001,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon,bank-marketing,best_ensemble_model,4,,,0.879083,,3600s8c32G
