,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient,adult,best_ensemble_model,0,,,0.84895,,3600s8c32G
1,autosklearn_memefficient,adult,best_ensemble_model,1,,,0.838358,,3600s8c32G
2,autosklearn_memefficient,adult,best_ensemble_model,2,,,0.849992,,3600s8c32G
3,autosklearn_memefficient,adult,best_ensemble_model,3,,,0.842886,,3600s8c32G
4,autosklearn_memefficient,adult,best_ensemble_model,4,,,0.836391,,3600s8c32G
5,autosklearn_memefficient,adult,best_ensemble_model,5,,,0.834119,,3600s8c32G
6,autosklearn_memefficient,adult,best_ensemble_model,6,,,0.843562,,3600s8c32G
7,autosklearn_memefficient,adult,best_ensemble_model,7,,,0.849173,,3600s8c32G
8,autosklearn_memefficient,adult,best_ensemble_model,8,,,0.8586389999999999,,3600s8c32G
9,autosklearn_memefficient,adult,best_ensemble_model,9,,,0.8483629999999999,,3600s8c32G
10,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,0,,,0.788702,,3600s8c32G
11,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,1,,,0.785085,,3600s8c32G
12,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,2,,,0.8247690000000001,,3600s8c32G
13,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,3,,,0.79655,,3600s8c32G
14,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,4,,,0.796348,,3600s8c32G
15,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,5,,,0.771572,,3600s8c32G
16,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,6,,,0.802461,,3600s8c32G
17,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,7,,,0.766107,,3600s8c32G
18,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,8,,,0.809426,,3600s8c32G
19,autosklearn_memefficient,Amazon_employee_access,best_ensemble_model,9,,,0.8050970000000001,,3600s8c32G
20,autosklearn_memefficient,APSFailure,best_ensemble_model,0,,,0.972404,,3600s8c32G
21,autosklearn_memefficient,APSFailure,best_ensemble_model,1,,,0.9577700000000001,,3600s8c32G
22,autosklearn_memefficient,APSFailure,best_ensemble_model,2,,,0.9577700000000001,,3600s8c32G
23,autosklearn_memefficient,APSFailure,best_ensemble_model,3,,,0.9592440000000001,,3600s8c32G
24,autosklearn_memefficient,APSFailure,best_ensemble_model,4,,,0.9520120000000001,,3600s8c32G
