,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,0,,,0.8726659999999999,,3600s8c32G
1,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,1,,,0.8505940000000001,,3600s8c32G
2,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,2,,,0.833192,,3600s8c32G
3,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,3,,,0.833192,,3600s8c32G
4,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
5,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,5,,,0.8828520000000001,,3600s8c32G
6,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,6,,,0.8565370000000001,,3600s8c32G
7,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,7,,,0.8653850000000001,,3600s8c32G
8,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,8,,,0.857692,,3600s8c32G
9,autosklearn_memefficient_metalearning,Australian,best_ensemble_model,9,,,0.852564,,3600s8c32G
10,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,0,,,0.7076020000000001,,3600s8c32G
11,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,1,,,0.7660819999999999,,3600s8c32G
12,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,2,,,0.6608189999999999,,3600s8c32G
13,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,3,,,0.656433,,3600s8c32G
14,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,4,,,0.704678,,3600s8c32G
15,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,5,,,0.672515,,3600s8c32G
16,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,6,,,0.630117,,3600s8c32G
17,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,7,,,0.624269,,3600s8c32G
18,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,8,,,0.709494,,3600s8c32G
19,autosklearn_memefficient_metalearning,blood-transfusion,best_ensemble_model,9,,,0.71259,,3600s8c32G
20,autosklearn_memefficient_metalearning,car,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearn_memefficient_metalearning,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearn_memefficient_metalearning,car,best_ensemble_model,2,,,1.0,,3600s8c32G
23,autosklearn_memefficient_metalearning,car,best_ensemble_model,3,,,1.0,,3600s8c32G
24,autosklearn_memefficient_metalearning,car,best_ensemble_model,4,,,1.0,,3600s8c32G
25,autosklearn_memefficient_metalearning,car,best_ensemble_model,5,,,1.0,,3600s8c32G
26,autosklearn_memefficient_metalearning,car,best_ensemble_model,6,,,1.0,,3600s8c32G
27,autosklearn_memefficient_metalearning,car,best_ensemble_model,7,,,0.9934209999999999,,3600s8c32G
28,autosklearn_memefficient_metalearning,car,best_ensemble_model,8,,,1.0,,3600s8c32G
29,autosklearn_memefficient_metalearning,car,best_ensemble_model,9,,,1.0,,3600s8c32G
30,autosklearn_memefficient_metalearning,christine,best_ensemble_model,0,,,0.7601479999999999,,3600s8c32G
31,autosklearn_memefficient_metalearning,christine,best_ensemble_model,1,,,0.774908,,3600s8c32G
32,autosklearn_memefficient_metalearning,christine,best_ensemble_model,2,,,0.749077,,3600s8c32G
33,autosklearn_memefficient_metalearning,christine,best_ensemble_model,3,,,0.7601479999999999,,3600s8c32G
34,autosklearn_memefficient_metalearning,christine,best_ensemble_model,4,,,0.732472,,3600s8c32G
35,autosklearn_memefficient_metalearning,christine,best_ensemble_model,5,,,0.765683,,3600s8c32G
36,autosklearn_memefficient_metalearning,christine,best_ensemble_model,6,,,0.776753,,3600s8c32G
37,autosklearn_memefficient_metalearning,christine,best_ensemble_model,7,,,0.743542,,3600s8c32G
38,autosklearn_memefficient_metalearning,christine,best_ensemble_model,8,,,0.744854,,3600s8c32G
