,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,0,,,0.654362,,3600s8c32G
1,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,1,,,0.655907,,3600s8c32G
2,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,2,,,0.655334,,3600s8c32G
3,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,3,,,0.654927,,3600s8c32G
4,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,4,,,0.654123,,3600s8c32G
5,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,5,,,0.652111,,3600s8c32G
6,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,6,,,0.653996,,3600s8c32G
7,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,7,,,0.652895,,3600s8c32G
8,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,8,,,0.653686,,3600s8c32G
9,autosklearn_memefficient_metalearning_large,Airlines,best_ensemble_model,9,,,0.65792,,3600s8c32G
10,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,0,,,0.687964,,3600s8c32G
11,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,1,,,0.687964,,3600s8c32G
12,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,2,,,0.691022,,3600s8c32G
13,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,3,,,0.6872119999999999,,3600s8c32G
14,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,4,,,0.6902689999999999,,3600s8c32G
15,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,5,,,0.686624,,3600s8c32G
16,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,6,,,0.691116,,3600s8c32G
17,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,7,,,0.692315,,3600s8c32G
18,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,8,,,0.692503,,3600s8c32G
19,autosklearn_memefficient_metalearning_large,Albert,best_ensemble_model,9,,,0.692809,,3600s8c32G
20,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,0,,,0.9577190000000001,,3600s8c32G
21,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,1,,,0.959147,,3600s8c32G
22,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,2,,,0.575952,,3600s8c32G
23,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,3,,,0.9590139999999999,,3600s8c32G
24,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,4,,,0.9573450000000001,,3600s8c32G
25,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,5,,,0.9572069999999999,,3600s8c32G
26,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,6,,,0.961621,,3600s8c32G
27,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,7,,,0.9610200000000001,,3600s8c32G
28,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,8,,,0.955414,,3600s8c32G
29,autosklearn_memefficient_metalearning_large,Covertype,best_ensemble_model,9,,,0.956615,,3600s8c32G
30,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,0,,,0.9125700000000001,,3600s8c32G
31,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,1,,,0.626189,,3600s8c32G
32,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
33,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,3,,,0.6253310000000001,,3600s8c32G
34,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,4,,,0.774967,,3600s8c32G
35,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,5,,,0.9072,,3600s8c32G
36,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,6,,,0.0028169000000000002,,3600s8c32G
37,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,7,,,0.621788,,3600s8c32G
38,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,8,,,0.0028169000000000002,,3600s8c32G
39,autosklearn_memefficient_metalearning_large,Dionis,best_ensemble_model,9,,,0.911394,,3600s8c32G
