,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,0,,,0.6567850000000001,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,1,,,0.66142,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,2,,,0.657277,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,3,,,0.657857,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,4,,,0.653395,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,5,,,0.655554,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,6,,,0.656234,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,7,,,0.657098,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,8,,,0.656619,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_large,Airlines,best_ensemble_model,9,,,0.661312,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,0,,,0.690786,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,1,,,0.687471,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,2,,,0.691515,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,3,,,0.690786,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,4,,,0.691515,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,5,,,0.689258,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,6,,,0.689916,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,7,,,0.692338,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,8,,,0.689728,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_large,Albert,best_ensemble_model,9,,,0.688976,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,0,,,0.9581219999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,1,,,0.958944,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,2,,,0.9562129999999999,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,3,,,0.959195,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,4,,,0.9582639999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,5,,,0.957225,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,6,,,0.9617120000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,7,,,0.9626680000000001,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,8,,,0.9550799999999999,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_large,Covertype,best_ensemble_model,9,,,0.567357,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,0,,,0.911596,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,1,,,0.0028169000000000002,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,3,,,0.6253310000000001,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,5,,,0.621124,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,6,,,0.908927,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,7,,,0.909647,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,8,,,0.624262,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_large,Dionis,best_ensemble_model,9,,,0.62637,,3600s8c32G
