,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,0,,,0.8887950000000001,,3600s8c32G
1,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s8c32G
2,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,2,,,0.820034,,3600s8c32G
3,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,3,,,,,3600s8c32G
4,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
5,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,5,,,0.8828520000000001,,3600s8c32G
6,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,6,,,0.8565370000000001,,3600s8c32G
7,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,7,,,,,3600s8c32G
8,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,8,,,0.841026,,3600s8c32G
9,autosklearn_autogluonstrategy_meta,Australian,best_ensemble_model,9,,,0.826923,,3600s8c32G
10,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,0,,,,,3600s8c32G
11,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,1,,,,,3600s8c32G
12,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,2,,,,,3600s8c32G
13,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,3,,,,,3600s8c32G
14,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,4,,,,,3600s8c32G
15,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,5,,,0.548246,,3600s8c32G
16,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,6,,,0.725146,,3600s8c32G
17,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,7,,,,,3600s8c32G
18,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,8,,,0.647575,,3600s8c32G
19,autosklearn_autogluonstrategy_meta,blood-transfusion,best_ensemble_model,9,,,,,3600s8c32G
20,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,0,,,,,3600s8c32G
21,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,2,,,,,3600s8c32G
23,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,3,,,,,3600s8c32G
24,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,4,,,1.0,,3600s8c32G
25,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,5,,,1.0,,3600s8c32G
26,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,6,,,1.0,,3600s8c32G
27,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,7,,,,,3600s8c32G
28,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,8,,,1.0,,3600s8c32G
29,autosklearn_autogluonstrategy_meta,car,best_ensemble_model,9,,,1.0,,3600s8c32G
30,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,0,,,0.752768,,3600s8c32G
31,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,1,,,0.776753,,3600s8c32G
32,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,2,,,0.7398520000000001,,3600s8c32G
33,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,3,,,0.745387,,3600s8c32G
34,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,4,,,0.734317,,3600s8c32G
35,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,5,,,0.765683,,3600s8c32G
36,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,6,,,0.774908,,3600s8c32G
37,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,7,,,0.734317,,3600s8c32G
38,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,8,,,0.778147,,3600s8c32G
39,autosklearn_autogluonstrategy_meta,christine,best_ensemble_model,9,,,0.7448819999999999,,3600s8c32G
40,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s8c32G
41,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,3600s8c32G
42,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
43,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
44,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
45,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,5,,,0.9722219999999999,,3600s8c32G
46,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,6,,,0.925926,,3600s8c32G
47,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,7,,,0.9629629999999999,,3600s8c32G
48,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,8,,,0.9722219999999999,,3600s8c32G
49,autosklearn_autogluonstrategy_meta,cnae-9,best_ensemble_model,9,,,0.9722219999999999,,3600s8c32G
50,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,0,,,,,3600s8c32G
51,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,1,,,0.628571,,3600s8c32G
52,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,2,,,,,3600s8c32G
53,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,3,,,,,3600s8c32G
54,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,4,,,0.72619,,3600s8c32G
55,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,5,,,,,3600s8c32G
56,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,6,,,,,3600s8c32G
57,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,7,,,0.783333,,3600s8c32G
58,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,8,,,0.7,,3600s8c32G
59,autosklearn_autogluonstrategy_meta,credit-g,best_ensemble_model,9,,,0.702381,,3600s8c32G
60,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,0,,,0.9940629999999999,,3600s8c32G
61,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,1,,,0.9970100000000001,,3600s8c32G
62,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,2,,,0.997049,,3600s8c32G
63,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,3,,,0.9949870000000001,,3600s8c32G
64,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,4,,,0.991964,,3600s8c32G
65,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,5,,,0.9990000000000001,,3600s8c32G
66,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,6,,,0.998049,,3600s8c32G
67,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,7,,,0.9989899999999999,,3600s8c32G
68,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,8,,,0.997014,,3600s8c32G
69,autosklearn_autogluonstrategy_meta,dilbert,best_ensemble_model,9,,,0.99902,,3600s8c32G
70,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,0,,,0.702371,,3600s8c32G
71,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,1,,,0.735215,,3600s8c32G
72,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,2,,,0.730176,,3600s8c32G
73,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,3,,,0.731354,,3600s8c32G
74,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,4,,,0.723518,,3600s8c32G
75,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,5,,,0.7386199999999999,,3600s8c32G
76,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,6,,,0.709357,,3600s8c32G
77,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,7,,,0.706588,,3600s8c32G
78,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,8,,,0.697458,,3600s8c32G
79,autosklearn_autogluonstrategy_meta,fabert,best_ensemble_model,9,,,0.706824,,3600s8c32G
80,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,0,,,0.812304,,3600s8c32G
81,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,1,,,0.8256819999999999,,3600s8c32G
82,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,2,,,0.846555,,3600s8c32G
83,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,3,,,0.839843,,3600s8c32G
84,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,4,,,0.791946,,3600s8c32G
85,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,5,,,0.805369,,3600s8c32G
86,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,6,,,0.83557,,3600s8c32G
87,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,7,,,0.7953020000000001,,3600s8c32G
88,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,8,,,0.83557,,3600s8c32G
89,autosklearn_autogluonstrategy_meta,jasmine,best_ensemble_model,9,,,0.818792,,3600s8c32G
90,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,0,,,,,3600s8c32G
91,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,1,,,,,3600s8c32G
92,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,2,,,,,3600s8c32G
93,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,3,,,0.745659,,3600s8c32G
94,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,4,,,,,3600s8c32G
95,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,5,,,,,3600s8c32G
96,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,6,,,,,3600s8c32G
97,autosklearn_autogluonstrategy_meta,kc1,best_ensemble_model,7,,,,,3600s8c32G
