,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,0,,,0.656255,,3600s8c32G
1,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,1,,,0.661556,,3600s8c32G
2,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,2,,,0.656702,,3600s8c32G
3,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,3,,,0.65747,,3600s8c32G
4,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,4,,,0.65379,,3600s8c32G
5,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,5,,,0.655217,,3600s8c32G
6,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,6,,,0.655867,,3600s8c32G
7,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,7,,,0.656796,,3600s8c32G
8,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,8,,,0.655345,,3600s8c32G
9,autosklearn_autogluonstrategy_meta_large,Airlines,best_ensemble_model,9,,,0.658077,,3600s8c32G
10,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,0,,,0.6905279999999999,,3600s8c32G
11,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,1,,,0.687917,,3600s8c32G
12,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,2,,,0.692738,,3600s8c32G
13,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,3,,,0.6872119999999999,,3600s8c32G
14,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,4,,,0.6913739999999999,,3600s8c32G
15,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,5,,,0.690575,,3600s8c32G
16,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,6,,,0.689281,,3600s8c32G
17,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,7,,,0.692574,,3600s8c32G
18,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,8,,,0.689046,,3600s8c32G
19,autosklearn_autogluonstrategy_meta_large,Albert,best_ensemble_model,9,,,0.686459,,3600s8c32G
20,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,0,,,0.957974,,3600s8c32G
21,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,1,,,0.962458,,3600s8c32G
22,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,2,,,0.574843,,3600s8c32G
23,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,3,,,0.571637,,3600s8c32G
24,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,4,,,0.95649,,3600s8c32G
25,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,5,,,0.957225,,3600s8c32G
26,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,6,,,0.9617120000000001,,3600s8c32G
27,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,7,,,0.578242,,3600s8c32G
28,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,8,,,0.95747,,3600s8c32G
29,autosklearn_autogluonstrategy_meta_large,Covertype,best_ensemble_model,9,,,0.958393,,3600s8c32G
30,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,0,,,0.6255029999999999,,3600s8c32G
31,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,1,,,0.907473,,3600s8c32G
32,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
33,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,3,,,0.0028169000000000002,,3600s8c32G
34,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,4,,,0.0028169000000000002,,3600s8c32G
35,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,5,,,0.906935,,3600s8c32G
36,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,6,,,0.0028169000000000002,,3600s8c32G
37,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,7,,,0.0028169000000000002,,3600s8c32G
38,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,8,,,0.6298590000000001,,3600s8c32G
39,autosklearn_autogluonstrategy_meta_large,Dionis,best_ensemble_model,9,,,0.0028169000000000002,,3600s8c32G
