,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient,Australian,best_ensemble_model,0,,,0.8756370000000001,,3600s8c32G
1,autosklearn_memefficient,Australian,best_ensemble_model,1,,,0.815365,,3600s8c32G
2,autosklearn_memefficient,Australian,best_ensemble_model,2,,,0.817063,,3600s8c32G
3,autosklearn_memefficient,Australian,best_ensemble_model,3,,,0.817063,,3600s8c32G
4,autosklearn_memefficient,Australian,best_ensemble_model,4,,,0.8858229999999999,,3600s8c32G
5,autosklearn_memefficient,Australian,best_ensemble_model,5,,,0.8726659999999999,,3600s8c32G
6,autosklearn_memefficient,Australian,best_ensemble_model,6,,,0.8595079999999999,,3600s8c32G
7,autosklearn_memefficient,Australian,best_ensemble_model,7,,,0.882051,,3600s8c32G
8,autosklearn_memefficient,Australian,best_ensemble_model,8,,,0.857692,,3600s8c32G
9,autosklearn_memefficient,Australian,best_ensemble_model,9,,,0.839744,,3600s8c32G
10,autosklearn_memefficient,blood-transfusion,best_ensemble_model,0,,,0.662281,,3600s8c32G
11,autosklearn_memefficient,blood-transfusion,best_ensemble_model,1,,,0.776316,,3600s8c32G
12,autosklearn_memefficient,blood-transfusion,best_ensemble_model,2,,,0.6374270000000001,,3600s8c32G
13,autosklearn_memefficient,blood-transfusion,best_ensemble_model,3,,,0.6125729999999999,,3600s8c32G
14,autosklearn_memefficient,blood-transfusion,best_ensemble_model,4,,,0.722222,,3600s8c32G
15,autosklearn_memefficient,blood-transfusion,best_ensemble_model,5,,,0.676901,,3600s8c32G
16,autosklearn_memefficient,blood-transfusion,best_ensemble_model,6,,,0.649123,,3600s8c32G
17,autosklearn_memefficient,blood-transfusion,best_ensemble_model,7,,,0.710526,,3600s8c32G
18,autosklearn_memefficient,blood-transfusion,best_ensemble_model,8,,,0.644995,,3600s8c32G
19,autosklearn_memefficient,blood-transfusion,best_ensemble_model,9,,,0.71259,,3600s8c32G
20,autosklearn_memefficient,car,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearn_memefficient,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearn_memefficient,car,best_ensemble_model,2,,,1.0,,3600s8c32G
