,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient_metalearning,adult,best_ensemble_model,0,,,0.84945,,3600s8c32G
1,autosklearn_memefficient_metalearning,adult,best_ensemble_model,1,,,0.8361719999999999,,3600s8c32G
2,autosklearn_memefficient_metalearning,adult,best_ensemble_model,2,,,0.8517040000000001,,3600s8c32G
3,autosklearn_memefficient_metalearning,adult,best_ensemble_model,3,,,0.8422,,3600s8c32G
4,autosklearn_memefficient_metalearning,adult,best_ensemble_model,4,,,0.8378709999999999,,3600s8c32G
5,autosklearn_memefficient_metalearning,adult,best_ensemble_model,5,,,0.835277,,3600s8c32G
6,autosklearn_memefficient_metalearning,adult,best_ensemble_model,6,,,0.842626,,3600s8c32G
7,autosklearn_memefficient_metalearning,adult,best_ensemble_model,7,,,0.849633,,3600s8c32G
8,autosklearn_memefficient_metalearning,adult,best_ensemble_model,8,,,0.8591780000000001,,3600s8c32G
9,autosklearn_memefficient_metalearning,adult,best_ensemble_model,9,,,0.849978,,3600s8c32G
10,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,0,,,0.794747,,3600s8c32G
11,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,1,,,0.782922,,3600s8c32G
12,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,2,,,0.81161,,3600s8c32G
13,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,3,,,0.7952560000000001,,3600s8c32G
14,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,4,,,0.803391,,3600s8c32G
15,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,5,,,0.782542,,3600s8c32G
16,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,6,,,0.807562,,3600s8c32G
17,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,7,,,0.788615,,3600s8c32G
18,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,8,,,0.801531,,3600s8c32G
19,autosklearn_memefficient_metalearning,Amazon_employee_access,best_ensemble_model,9,,,0.8233450000000001,,3600s8c32G
20,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,0,,,0.9782290000000001,,3600s8c32G
21,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,1,,,0.958641,,3600s8c32G
22,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,2,,,0.962626,,3600s8c32G
23,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,3,,,0.9674459999999999,,3600s8c32G
24,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,4,,,0.951141,,3600s8c32G
25,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,5,,,0.9745229999999999,,3600s8c32G
26,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,6,,,0.971776,,3600s8c32G
27,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,7,,,0.966209,,3600s8c32G
28,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,8,,,0.9658700000000001,,3600s8c32G
29,autosklearn_memefficient_metalearning,APSFailure,best_ensemble_model,9,,,0.970833,,3600s8c32G
30,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,0,,,0.867758,,3600s8c32G
31,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,1,,,0.871423,,3600s8c32G
32,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,2,,,0.8766219999999999,,3600s8c32G
33,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,3,,,0.8622860000000001,,3600s8c32G
34,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,4,,,0.881804,,3600s8c32G
35,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,5,,,0.8568540000000001,,3600s8c32G
36,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,6,,,0.85059,,3600s8c32G
37,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,7,,,0.882851,,3600s8c32G
38,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,8,,,0.873445,,3600s8c32G
39,autosklearn_memefficient_metalearning,bank-marketing,best_ensemble_model,9,,,0.885072,,3600s8c32G
40,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,0,,,0.76477,,3600s8c32G
41,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,1,,,0.75416,,3600s8c32G
42,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,2,,,0.7663939999999999,,3600s8c32G
43,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,3,,,0.767618,,3600s8c32G
44,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,4,,,0.783812,,3600s8c32G
45,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,5,,,0.758748,,3600s8c32G
46,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,6,,,0.748005,,3600s8c32G
47,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,7,,,0.765021,,3600s8c32G
48,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,8,,,0.758671,,3600s8c32G
49,autosklearn_memefficient_metalearning,connect-4,best_ensemble_model,9,,,0.7638520000000001,,3600s8c32G
50,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,0,,,0.902286,,3600s8c32G
51,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,1,,,0.898,,3600s8c32G
52,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,2,,,0.895,,3600s8c32G
53,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,3,,,0.899857,,3600s8c32G
54,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,4,,,0.895143,,3600s8c32G
55,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,5,,,0.9025709999999999,,3600s8c32G
56,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,6,,,0.899857,,3600s8c32G
57,autosklearn_memefficient_metalearning,Fashion-MNIST,best_ensemble_model,7,,,0.9075709999999999,,3600s8c32G
