,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,0,,,0.935185,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,1,,,0.925926,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,0,,,0.6174649999999999,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,1,,,0.704767,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,2,,,0.664038,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,3,,,0.731143,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,4,,,0.7270989999999999,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,0,,,0.9904700000000001,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,1,,,0.9940120000000001,,3600s1c8G
12,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,4,,,0.996732,,3600s1c8G
15,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,0,,,0.872294,,3600s1c8G
16,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s1c8G
17,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,2,,,0.77868,,3600s1c8G
18,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,3,,,0.825758,,3600s1c8G
19,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,4,,,0.825758,,3600s1c8G
20,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,0,,,0.880984,,3600s1c8G
21,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,1,,,0.888433,,3600s1c8G
22,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,2,,,0.5,,3600s1c8G
23,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,3,,,0.921309,,3600s1c8G
24,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,4,,,0.8752200000000001,,3600s1c8G
25,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,0,,,0.599015,,3600s1c8G
26,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,1,,,0.586571,,3600s1c8G
27,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,2,,,0.60555,,3600s1c8G
28,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,3,,,0.667456,,3600s1c8G
29,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,4,,,0.5030180000000001,,3600s1c8G
30,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s1c8G
31,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,segment,best_ensemble_model,1,,,0.9913420000000001,,3600s1c8G
32,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s1c8G
33,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,segment,best_ensemble_model,3,,,0.9740260000000001,,3600s1c8G
34,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,segment,best_ensemble_model,4,,,0.9913420000000001,,3600s1c8G
35,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,0,,,0.8493209999999999,,3600s1c8G
36,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,1,,,0.815365,,3600s1c8G
37,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,2,,,0.833192,,3600s1c8G
38,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,3,,,0.8493209999999999,,3600s1c8G
39,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,4,,,0.8960100000000001,,3600s1c8G
40,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,adult,best_ensemble_model,0,,,0.795208,,3600s1c8G
41,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,adult,best_ensemble_model,1,,,0.730434,,3600s1c8G
42,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,adult,best_ensemble_model,2,,,0.818691,,3600s1c8G
43,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,adult,best_ensemble_model,3,,,0.824478,,3600s1c8G
44,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,adult,best_ensemble_model,4,,,0.7842680000000001,,3600s1c8G
45,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,0,,,0.691116,,3600s1c8G
46,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,1,,,0.635618,,3600s1c8G
47,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,2,,,0.619039,,3600s1c8G
48,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,3,,,0.6769350000000001,,3600s1c8G
49,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,4,,,0.6592279999999999,,3600s1c8G
