,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_baseline,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,3600s1c8G
1,autosklearn_baseline,cnae-9,best_ensemble_model,1,,,0.916667,,3600s1c8G
2,autosklearn_baseline,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s1c8G
3,autosklearn_baseline,cnae-9,best_ensemble_model,3,,,0.9537040000000001,,3600s1c8G
4,autosklearn_baseline,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s1c8G
5,autosklearn_baseline,higgs,best_ensemble_model,0,,,0.642224,,3600s1c8G
6,autosklearn_baseline,higgs,best_ensemble_model,1,,,0.654054,,3600s1c8G
7,autosklearn_baseline,higgs,best_ensemble_model,2,,,0.649846,,3600s1c8G
8,autosklearn_baseline,higgs,best_ensemble_model,3,,,0.7280770000000001,,3600s1c8G
9,autosklearn_baseline,higgs,best_ensemble_model,4,,,0.668972,,3600s1c8G
10,autosklearn_baseline,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s1c8G
11,autosklearn_baseline,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearn_baseline,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearn_baseline,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearn_baseline,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearn_baseline,vehicle,best_ensemble_model,0,,,0.8484309999999999,,3600s1c8G
16,autosklearn_baseline,vehicle,best_ensemble_model,1,,,0.812175,,3600s1c8G
17,autosklearn_baseline,vehicle,best_ensemble_model,2,,,0.8371209999999999,,3600s1c8G
18,autosklearn_baseline,vehicle,best_ensemble_model,3,,,0.801407,,3600s1c8G
19,autosklearn_baseline,vehicle,best_ensemble_model,4,,,0.849567,,3600s1c8G
20,autosklearn_baseline,MiniBooNE,best_ensemble_model,0,,,0.906696,,3600s1c8G
21,autosklearn_baseline,MiniBooNE,best_ensemble_model,1,,,0.8951680000000001,,3600s1c8G
22,autosklearn_baseline,MiniBooNE,best_ensemble_model,2,,,0.903384,,3600s1c8G
23,autosklearn_baseline,MiniBooNE,best_ensemble_model,3,,,0.902316,,3600s1c8G
24,autosklearn_baseline,MiniBooNE,best_ensemble_model,4,,,0.919845,,3600s1c8G
25,autosklearn_baseline,connect-4,best_ensemble_model,0,,,0.662317,,3600s1c8G
26,autosklearn_baseline,connect-4,best_ensemble_model,1,,,0.62631,,3600s1c8G
27,autosklearn_baseline,connect-4,best_ensemble_model,2,,,0.767701,,3600s1c8G
28,autosklearn_baseline,connect-4,best_ensemble_model,3,,,0.6844979999999999,,3600s1c8G
29,autosklearn_baseline,connect-4,best_ensemble_model,4,,,0.646564,,3600s1c8G
30,autosklearn_baseline,segment,best_ensemble_model,0,,,0.9870129999999999,,3600s1c8G
31,autosklearn_baseline,segment,best_ensemble_model,1,,,0.9740260000000001,,3600s1c8G
32,autosklearn_baseline,segment,best_ensemble_model,2,,,0.9956709999999999,,3600s1c8G
33,autosklearn_baseline,segment,best_ensemble_model,3,,,0.9913420000000001,,3600s1c8G
34,autosklearn_baseline,segment,best_ensemble_model,4,,,1.0,,3600s1c8G
35,autosklearn_baseline,Australian,best_ensemble_model,0,,,0.8887950000000001,,3600s1c8G
36,autosklearn_baseline,Australian,best_ensemble_model,1,,,0.8314940000000001,,3600s1c8G
37,autosklearn_baseline,Australian,best_ensemble_model,2,,,0.820034,,3600s1c8G
38,autosklearn_baseline,Australian,best_ensemble_model,3,,,0.84635,,3600s1c8G
39,autosklearn_baseline,Australian,best_ensemble_model,4,,,0.9151100000000001,,3600s1c8G
40,autosklearn_baseline,adult,best_ensemble_model,0,,,0.830097,,3600s1c8G
41,autosklearn_baseline,adult,best_ensemble_model,1,,,0.815084,,3600s1c8G
42,autosklearn_baseline,adult,best_ensemble_model,2,,,0.841087,,3600s1c8G
43,autosklearn_baseline,adult,best_ensemble_model,3,,,0.82109,,3600s1c8G
44,autosklearn_baseline,adult,best_ensemble_model,4,,,0.8276700000000001,,3600s1c8G
45,autosklearn_baseline,Albert,best_ensemble_model,0,,,0.628868,,3600s1c8G
46,autosklearn_baseline,Albert,best_ensemble_model,1,,,0.644177,,3600s1c8G
47,autosklearn_baseline,Albert,best_ensemble_model,2,,,0.642437,,3600s1c8G
48,autosklearn_baseline,Albert,best_ensemble_model,3,,,0.568314,,3600s1c8G
49,autosklearn_baseline,Albert,best_ensemble_model,4,,,0.630209,,3600s1c8G
