,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s1c8G
1,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,1,,,0.907407,,3600s1c8G
2,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,2,,,0.9444440000000001,,3600s1c8G
3,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,3,,,0.907407,,3600s1c8G
4,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,4,,,0.935185,,3600s1c8G
5,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,0,,,0.710808,,3600s1c8G
6,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,1,,,0.683987,,3600s1c8G
7,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,2,,,0.715152,,3600s1c8G
8,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,3,,,0.718959,,3600s1c8G
9,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,4,,,0.635921,,3600s1c8G
10,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s1c8G
11,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,2,,,0.990196,,3600s1c8G
13,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,0,,,0.8700760000000001,,3600s1c8G
16,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,1,,,0.848485,,3600s1c8G
17,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,2,,,0.778139,,3600s1c8G
18,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,3,,,0.824675,,3600s1c8G
19,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,vehicle,best_ensemble_model,4,,,0.8376620000000001,,3600s1c8G
20,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,0,,,0.8885790000000001,,3600s1c8G
21,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,1,,,0.886808,,3600s1c8G
22,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,2,,,0.846209,,3600s1c8G
23,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,3,,,0.7984939999999999,,3600s1c8G
24,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,MiniBooNE,best_ensemble_model,4,,,0.9042969999999999,,3600s1c8G
25,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,0,,,0.57267,,3600s1c8G
26,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,1,,,0.6486109999999999,,3600s1c8G
27,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,2,,,0.700026,,3600s1c8G
28,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,3,,,0.533537,,3600s1c8G
29,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,connect-4,best_ensemble_model,4,,,0.582906,,3600s1c8G
30,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s1c8G
31,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,segment,best_ensemble_model,1,,,0.9956709999999999,,3600s1c8G
32,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,segment,best_ensemble_model,2,,,0.9870129999999999,,3600s1c8G
33,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,segment,best_ensemble_model,3,,,0.9740260000000001,,3600s1c8G
34,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,segment,best_ensemble_model,4,,,1.0,,3600s1c8G
35,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,0,,,0.8624790000000001,,3600s1c8G
36,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s1c8G
37,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,2,,,0.820034,,3600s1c8G
38,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,3,,,0.8493209999999999,,3600s1c8G
39,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Australian,best_ensemble_model,4,,,0.9019520000000001,,3600s1c8G
40,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,adult,best_ensemble_model,0,,,0.798529,,3600s1c8G
41,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,adult,best_ensemble_model,1,,,0.7689010000000001,,3600s1c8G
42,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,adult,best_ensemble_model,2,,,0.8221280000000001,,3600s1c8G
43,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,adult,best_ensemble_model,3,,,0.791362,,3600s1c8G
44,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,adult,best_ensemble_model,4,,,0.824209,,3600s1c8G
45,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,0,,,0.657064,,3600s1c8G
46,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,1,,,0.530289,,3600s1c8G
47,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,2,,,0.599403,,3600s1c8G
48,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,3,,,0.551171,,3600s1c8G
49,autosklearnHyperbandTowering_repeats5_level2_strategyinstancesself_ensemble_highest_repeat_trusted,Albert,best_ensemble_model,4,,,0.6230600000000001,,3600s1c8G
