,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,14400s1c8G
1,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,cnae-9,best_ensemble_model,1,,,0.925926,,14400s1c8G
2,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,14400s1c8G
3,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,cnae-9,best_ensemble_model,3,,,0.9629629999999999,,14400s1c8G
4,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,14400s1c8G
5,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,higgs,best_ensemble_model,0,,,0.7392479999999999,,14400s1c8G
6,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,higgs,best_ensemble_model,1,,,0.719644,,14400s1c8G
7,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,higgs,best_ensemble_model,2,,,0.732132,,14400s1c8G
8,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,higgs,best_ensemble_model,3,,,0.7346699999999999,,14400s1c8G
9,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,higgs,best_ensemble_model,4,,,0.73524,,14400s1c8G
10,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_ES,kr-vs-kp,best_ensemble_model,0,,,0.996732,,14400s1c8G
