,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_baseline_noxgblgbm_metaon_3Folds,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,14400s1c8G
1,autosklearn_baseline_noxgblgbm_metaon_3Folds,cnae-9,best_ensemble_model,1,,,0.907407,,14400s1c8G
2,autosklearn_baseline_noxgblgbm_metaon_3Folds,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,14400s1c8G
3,autosklearn_baseline_noxgblgbm_metaon_3Folds,cnae-9,best_ensemble_model,3,,,0.935185,,14400s1c8G
4,autosklearn_baseline_noxgblgbm_metaon_3Folds,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,14400s1c8G
5,autosklearn_baseline_noxgblgbm_metaon_3Folds,higgs,best_ensemble_model,0,,,0.73216,,14400s1c8G
6,autosklearn_baseline_noxgblgbm_metaon_3Folds,higgs,best_ensemble_model,1,,,0.724537,,14400s1c8G
7,autosklearn_baseline_noxgblgbm_metaon_3Folds,higgs,best_ensemble_model,2,,,0.731731,,14400s1c8G
8,autosklearn_baseline_noxgblgbm_metaon_3Folds,higgs,best_ensemble_model,3,,,0.727866,,14400s1c8G
9,autosklearn_baseline_noxgblgbm_metaon_3Folds,higgs,best_ensemble_model,4,,,0.734069,,14400s1c8G
10,autosklearn_baseline_noxgblgbm_metaon_3Folds,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,14400s1c8G
11,autosklearn_baseline_noxgblgbm_metaon_3Folds,kr-vs-kp,best_ensemble_model,1,,,0.982036,,14400s1c8G
12,autosklearn_baseline_noxgblgbm_metaon_3Folds,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,autosklearn_baseline_noxgblgbm_metaon_3Folds,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,autosklearn_baseline_noxgblgbm_metaon_3Folds,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,autosklearn_baseline_noxgblgbm_metaon_3Folds,vehicle,best_ensemble_model,0,,,0.8484309999999999,,14400s1c8G
16,autosklearn_baseline_noxgblgbm_metaon_3Folds,vehicle,best_ensemble_model,1,,,0.825216,,14400s1c8G
17,autosklearn_baseline_noxgblgbm_metaon_3Folds,vehicle,best_ensemble_model,2,,,0.779221,,14400s1c8G
18,autosklearn_baseline_noxgblgbm_metaon_3Folds,vehicle,best_ensemble_model,3,,,0.8478899999999999,,14400s1c8G
19,autosklearn_baseline_noxgblgbm_metaon_3Folds,vehicle,best_ensemble_model,4,,,0.8614719999999999,,14400s1c8G
20,autosklearn_baseline_noxgblgbm_metaon_3Folds,MiniBooNE,best_ensemble_model,0,,,0.9377340000000001,,14400s1c8G
21,autosklearn_baseline_noxgblgbm_metaon_3Folds,MiniBooNE,best_ensemble_model,1,,,0.940212,,14400s1c8G
22,autosklearn_baseline_noxgblgbm_metaon_3Folds,MiniBooNE,best_ensemble_model,2,,,0.937902,,14400s1c8G
23,autosklearn_baseline_noxgblgbm_metaon_3Folds,MiniBooNE,best_ensemble_model,3,,,0.94247,,14400s1c8G
24,autosklearn_baseline_noxgblgbm_metaon_3Folds,MiniBooNE,best_ensemble_model,4,,,0.941583,,14400s1c8G
25,autosklearn_baseline_noxgblgbm_metaon_3Folds,connect-4,best_ensemble_model,0,,,0.7535270000000001,,14400s1c8G
26,autosklearn_baseline_noxgblgbm_metaon_3Folds,connect-4,best_ensemble_model,1,,,0.762021,,14400s1c8G
27,autosklearn_baseline_noxgblgbm_metaon_3Folds,connect-4,best_ensemble_model,2,,,0.7716850000000001,,14400s1c8G
28,autosklearn_baseline_noxgblgbm_metaon_3Folds,connect-4,best_ensemble_model,3,,,0.749505,,14400s1c8G
29,autosklearn_baseline_noxgblgbm_metaon_3Folds,connect-4,best_ensemble_model,4,,,0.753546,,14400s1c8G
30,autosklearn_baseline_noxgblgbm_metaon_3Folds,segment,best_ensemble_model,0,,,0.9870129999999999,,14400s1c8G
31,autosklearn_baseline_noxgblgbm_metaon_3Folds,segment,best_ensemble_model,1,,,0.982684,,14400s1c8G
32,autosklearn_baseline_noxgblgbm_metaon_3Folds,segment,best_ensemble_model,2,,,0.9870129999999999,,14400s1c8G
33,autosklearn_baseline_noxgblgbm_metaon_3Folds,segment,best_ensemble_model,3,,,0.9913420000000001,,14400s1c8G
34,autosklearn_baseline_noxgblgbm_metaon_3Folds,segment,best_ensemble_model,4,,,1.0,,14400s1c8G
35,autosklearn_baseline_noxgblgbm_metaon_3Folds,Australian,best_ensemble_model,0,,,0.8887950000000001,,14400s1c8G
36,autosklearn_baseline_noxgblgbm_metaon_3Folds,Australian,best_ensemble_model,1,,,0.8314940000000001,,14400s1c8G
37,autosklearn_baseline_noxgblgbm_metaon_3Folds,Australian,best_ensemble_model,2,,,0.84635,,14400s1c8G
38,autosklearn_baseline_noxgblgbm_metaon_3Folds,Australian,best_ensemble_model,3,,,0.84635,,14400s1c8G
39,autosklearn_baseline_noxgblgbm_metaon_3Folds,Australian,best_ensemble_model,4,,,0.8989809999999999,,14400s1c8G
40,autosklearn_baseline_noxgblgbm_metaon_3Folds,adult,best_ensemble_model,0,,,0.84856,,14400s1c8G
41,autosklearn_baseline_noxgblgbm_metaon_3Folds,adult,best_ensemble_model,1,,,0.839031,,14400s1c8G
42,autosklearn_baseline_noxgblgbm_metaon_3Folds,adult,best_ensemble_model,2,,,0.8509459999999999,,14400s1c8G
43,autosklearn_baseline_noxgblgbm_metaon_3Folds,adult,best_ensemble_model,3,,,0.8420540000000001,,14400s1c8G
44,autosklearn_baseline_noxgblgbm_metaon_3Folds,adult,best_ensemble_model,4,,,0.834458,,14400s1c8G
45,autosklearn_baseline_noxgblgbm_metaon_3Folds,Albert,best_ensemble_model,0,,,0.687988,,14400s1c8G
46,autosklearn_baseline_noxgblgbm_metaon_3Folds,Albert,best_ensemble_model,1,,,0.687659,,14400s1c8G
47,autosklearn_baseline_noxgblgbm_metaon_3Folds,Albert,best_ensemble_model,2,,,0.692056,,14400s1c8G
48,autosklearn_baseline_noxgblgbm_metaon_3Folds,Albert,best_ensemble_model,3,,,0.6873060000000001,,14400s1c8G
49,autosklearn_baseline_noxgblgbm_metaon_3Folds,Albert,best_ensemble_model,4,,,0.689728,,14400s1c8G
