,index,constraint,fold,model,overfit,task,test,tool,train,val,seed
0,0,14400s1c8G,0,best_ensemble_model,,Albert,0.638463,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
1,1,14400s1c8G,1,best_ensemble_model,,Albert,0.652173,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
2,2,14400s1c8G,2,best_ensemble_model,,Albert,0.695301,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
3,3,14400s1c8G,3,best_ensemble_model,,Albert,0.685095,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
4,4,14400s1c8G,4,best_ensemble_model,,Albert,0.608315,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
5,5,14400s1c8G,0,best_ensemble_model,,Australian,0.885823,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
6,6,14400s1c8G,1,best_ensemble_model,,Australian,0.831494,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
7,7,14400s1c8G,2,best_ensemble_model,,Australian,0.817063,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
8,8,14400s1c8G,3,best_ensemble_model,,Australian,0.840407,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
9,9,14400s1c8G,4,best_ensemble_model,,Australian,0.898981,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
10,10,14400s1c8G,0,best_ensemble_model,,MiniBooNE,0.880007,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
11,11,14400s1c8G,1,best_ensemble_model,,MiniBooNE,0.915453,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
12,12,14400s1c8G,2,best_ensemble_model,,MiniBooNE,0.900457,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
13,13,14400s1c8G,3,best_ensemble_model,,MiniBooNE,0.927302,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
14,14,14400s1c8G,4,best_ensemble_model,,MiniBooNE,0.902466,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
15,15,14400s1c8G,0,best_ensemble_model,,adult,0.821941,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
16,16,14400s1c8G,1,best_ensemble_model,,adult,0.0,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
17,17,14400s1c8G,2,best_ensemble_model,,adult,0.501293,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
18,18,14400s1c8G,3,best_ensemble_model,,adult,0.838776,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
19,19,14400s1c8G,4,best_ensemble_model,,adult,0.821689,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
20,20,14400s1c8G,0,best_ensemble_model,,cnae-9,0.953704,autosklearnEnsembleIntensification_520_members10_repeats5_level1_strategyNone_ensemble_highest_repeat_trusted,,,0
