,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,14400s1c8G
1,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,cnae-9,best_ensemble_model,1,,,0.9444440000000001,,14400s1c8G
2,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,14400s1c8G
3,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,14400s1c8G
4,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,14400s1c8G
5,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,higgs,best_ensemble_model,0,,,0.73501,,14400s1c8G
6,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,higgs,best_ensemble_model,1,,,0.723167,,14400s1c8G
7,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,higgs,best_ensemble_model,2,,,0.733538,,14400s1c8G
8,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,higgs,best_ensemble_model,3,,,0.7327600000000001,,14400s1c8G
9,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,higgs,best_ensemble_model,4,,,0.734441,,14400s1c8G
10,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,14400s1c8G
11,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,kr-vs-kp,best_ensemble_model,1,,,0.988024,,14400s1c8G
12,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,vehicle,best_ensemble_model,0,,,0.848972,,14400s1c8G
16,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,vehicle,best_ensemble_model,1,,,0.848485,,14400s1c8G
17,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,vehicle,best_ensemble_model,2,,,0.801948,,14400s1c8G
18,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,vehicle,best_ensemble_model,3,,,0.8490260000000001,,14400s1c8G
19,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_NOinitconfigs_BO_minchall9_MultiFolds351053,vehicle,best_ensemble_model,4,,,0.872294,,14400s1c8G
