,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_baseline_noxgblgbm,cnae-9,best_ensemble_model,0,,,0.935185,,14400s1c8G
1,autosklearn_baseline_noxgblgbm,cnae-9,best_ensemble_model,1,,,0.916667,,14400s1c8G
2,autosklearn_baseline_noxgblgbm,cnae-9,best_ensemble_model,2,,,0.972222,,14400s1c8G
3,autosklearn_baseline_noxgblgbm,cnae-9,best_ensemble_model,3,,,0.962963,,14400s1c8G
4,autosklearn_baseline_noxgblgbm,cnae-9,best_ensemble_model,4,,,0.962963,,14400s1c8G
5,autosklearn_baseline_noxgblgbm,higgs,best_ensemble_model,0,,,0.729755,,14400s1c8G
6,autosklearn_baseline_noxgblgbm,higgs,best_ensemble_model,1,,,0.722747,,14400s1c8G
7,autosklearn_baseline_noxgblgbm,higgs,best_ensemble_model,2,,,0.729636,,14400s1c8G
8,autosklearn_baseline_noxgblgbm,higgs,best_ensemble_model,3,,,0.704081,,14400s1c8G
9,autosklearn_baseline_noxgblgbm,higgs,best_ensemble_model,4,,,0.73794,,14400s1c8G
10,autosklearn_baseline_noxgblgbm,kr-vs-kp,best_ensemble_model,0,,,0.993738,,14400s1c8G
11,autosklearn_baseline_noxgblgbm,kr-vs-kp,best_ensemble_model,1,,,0.988024,,14400s1c8G
12,autosklearn_baseline_noxgblgbm,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,autosklearn_baseline_noxgblgbm,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,autosklearn_baseline_noxgblgbm,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,autosklearn_baseline_noxgblgbm,vehicle,best_ensemble_model,0,,,0.906926,,14400s1c8G
16,autosklearn_baseline_noxgblgbm,vehicle,best_ensemble_model,1,,,0.86039,,14400s1c8G
17,autosklearn_baseline_noxgblgbm,vehicle,best_ensemble_model,2,,,0.837121,,14400s1c8G
18,autosklearn_baseline_noxgblgbm,vehicle,best_ensemble_model,3,,,0.896104,,14400s1c8G
19,autosklearn_baseline_noxgblgbm,vehicle,best_ensemble_model,4,,,0.873377,,14400s1c8G
20,autosklearn_baseline_noxgblgbm,MiniBooNE,best_ensemble_model,0,,,0.938574,,14400s1c8G
21,autosklearn_baseline_noxgblgbm,MiniBooNE,best_ensemble_model,1,,,0.934822,,14400s1c8G
22,autosklearn_baseline_noxgblgbm,MiniBooNE,best_ensemble_model,2,,,0.0,,14400s1c8G
23,autosklearn_baseline_noxgblgbm,MiniBooNE,best_ensemble_model,3,,,0.941617,,14400s1c8G
24,autosklearn_baseline_noxgblgbm,MiniBooNE,best_ensemble_model,4,,,0.919148,,14400s1c8G
25,autosklearn_baseline_noxgblgbm,connect-4,best_ensemble_model,0,,,0.753257,,14400s1c8G
26,autosklearn_baseline_noxgblgbm,connect-4,best_ensemble_model,1,,,0.733513,,14400s1c8G
27,autosklearn_baseline_noxgblgbm,connect-4,best_ensemble_model,2,,,0.753827,,14400s1c8G
28,autosklearn_baseline_noxgblgbm,connect-4,best_ensemble_model,3,,,0.718546,,14400s1c8G
29,autosklearn_baseline_noxgblgbm,connect-4,best_ensemble_model,4,,,0.759304,,14400s1c8G
30,autosklearn_baseline_noxgblgbm,segment,best_ensemble_model,0,,,0.991342,,14400s1c8G
31,autosklearn_baseline_noxgblgbm,segment,best_ensemble_model,1,,,0.982684,,14400s1c8G
32,autosklearn_baseline_noxgblgbm,segment,best_ensemble_model,2,,,0.991342,,14400s1c8G
33,autosklearn_baseline_noxgblgbm,segment,best_ensemble_model,3,,,0.995671,,14400s1c8G
34,autosklearn_baseline_noxgblgbm,segment,best_ensemble_model,4,,,1.0,,14400s1c8G
35,autosklearn_baseline_noxgblgbm,Australian,best_ensemble_model,0,,,0.859508,,14400s1c8G
36,autosklearn_baseline_noxgblgbm,Australian,best_ensemble_model,1,,,0.831494,,14400s1c8G
37,autosklearn_baseline_noxgblgbm,Australian,best_ensemble_model,2,,,0.84635,,14400s1c8G
38,autosklearn_baseline_noxgblgbm,Australian,best_ensemble_model,3,,,0.862479,,14400s1c8G
39,autosklearn_baseline_noxgblgbm,Australian,best_ensemble_model,4,,,0.885823,,14400s1c8G
40,autosklearn_baseline_noxgblgbm,adult,best_ensemble_model,0,,,0.840626,,14400s1c8G
41,autosklearn_baseline_noxgblgbm,adult,best_ensemble_model,1,,,0.830395,,14400s1c8G
42,autosklearn_baseline_noxgblgbm,adult,best_ensemble_model,2,,,0.844097,,14400s1c8G
43,autosklearn_baseline_noxgblgbm,adult,best_ensemble_model,3,,,0.829884,,14400s1c8G
44,autosklearn_baseline_noxgblgbm,adult,best_ensemble_model,4,,,0.824124,,14400s1c8G
45,autosklearn_baseline_noxgblgbm,Albert,best_ensemble_model,0,,,0.680345,,14400s1c8G
46,autosklearn_baseline_noxgblgbm,Albert,best_ensemble_model,1,,,0.691492,,14400s1c8G
47,autosklearn_baseline_noxgblgbm,Albert,best_ensemble_model,2,,,0.655042,,14400s1c8G
48,autosklearn_baseline_noxgblgbm,Albert,best_ensemble_model,3,,,0.65603,,14400s1c8G
49,autosklearn_baseline_noxgblgbm,Albert,best_ensemble_model,4,,,0.683402,,14400s1c8G
