,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,cnae-9,best_ensemble_model,0,,,0.9537040000000001,,14400s1c8G
1,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,cnae-9,best_ensemble_model,1,,,0.916667,,14400s1c8G
2,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,14400s1c8G
3,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,cnae-9,best_ensemble_model,3,,,0.898148,,14400s1c8G
4,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,14400s1c8G
5,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,higgs,best_ensemble_model,0,,,0.7386729999999999,,14400s1c8G
6,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,higgs,best_ensemble_model,1,,,0.721395,,14400s1c8G
7,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,higgs,best_ensemble_model,2,,,0.7318279999999999,,14400s1c8G
8,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,higgs,best_ensemble_model,3,,,0.734877,,14400s1c8G
9,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,higgs,best_ensemble_model,4,,,0.7344649999999999,,14400s1c8G
10,autosklearnEnsembleIntensification_members10_repeats5_level2_strategyInstancesAny_ensemble_highest_repeat_trusted_Noinitconfigs_BO_minchall20,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,14400s1c8G
