,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn,Australian,best_ensemble_model,0,,,0.8887950000000001,,14400s1c8G
1,autosklearn,Australian,best_ensemble_model,1,,,0.8314940000000001,,14400s1c8G
2,autosklearn,Australian,best_ensemble_model,2,,,0.820034,,14400s1c8G
3,autosklearn,Australian,best_ensemble_model,3,,,0.84635,,14400s1c8G
4,autosklearn,Australian,best_ensemble_model,4,,,0.8989809999999999,,14400s1c8G
5,autosklearn,blood-transfusion,best_ensemble_model,0,,,0.681287,,14400s1c8G
6,autosklearn,blood-transfusion,best_ensemble_model,1,,,0.729532,,14400s1c8G
7,autosklearn,blood-transfusion,best_ensemble_model,2,,,0.659357,,14400s1c8G
8,autosklearn,blood-transfusion,best_ensemble_model,3,,,0.6476609999999999,,14400s1c8G
9,autosklearn,blood-transfusion,best_ensemble_model,4,,,0.722222,,14400s1c8G
10,autosklearn,car,best_ensemble_model,0,,,1.0,,14400s1c8G
11,autosklearn,car,best_ensemble_model,1,,,1.0,,14400s1c8G
12,autosklearn,car,best_ensemble_model,2,,,1.0,,14400s1c8G
13,autosklearn,car,best_ensemble_model,3,,,1.0,,14400s1c8G
14,autosklearn,car,best_ensemble_model,4,,,1.0,,14400s1c8G
15,autosklearn,christine,best_ensemble_model,0,,,0.7712180000000001,,14400s1c8G
16,autosklearn,christine,best_ensemble_model,1,,,0.769373,,14400s1c8G
17,autosklearn,christine,best_ensemble_model,2,,,0.738007,,14400s1c8G
18,autosklearn,christine,best_ensemble_model,3,,,0.756458,,14400s1c8G
19,autosklearn,christine,best_ensemble_model,4,,,0.738007,,14400s1c8G
20,autosklearn,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,14400s1c8G
21,autosklearn,cnae-9,best_ensemble_model,1,,,0.925926,,14400s1c8G
22,autosklearn,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,14400s1c8G
23,autosklearn,cnae-9,best_ensemble_model,3,,,0.935185,,14400s1c8G
24,autosklearn,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,14400s1c8G
25,autosklearn,credit-g,best_ensemble_model,0,,,0.795238,,14400s1c8G
26,autosklearn,credit-g,best_ensemble_model,1,,,0.659524,,14400s1c8G
27,autosklearn,credit-g,best_ensemble_model,2,,,0.685714,,14400s1c8G
28,autosklearn,credit-g,best_ensemble_model,3,,,0.661905,,14400s1c8G
29,autosklearn,credit-g,best_ensemble_model,4,,,0.745238,,14400s1c8G
30,autosklearn,dilbert,best_ensemble_model,0,,,0.994078,,14400s1c8G
31,autosklearn,dilbert,best_ensemble_model,1,,,0.994957,,14400s1c8G
32,autosklearn,dilbert,best_ensemble_model,2,,,0.998025,,14400s1c8G
33,autosklearn,dilbert,best_ensemble_model,3,,,0.9939819999999999,,14400s1c8G
34,autosklearn,dilbert,best_ensemble_model,4,,,0.995925,,14400s1c8G
35,autosklearn,fabert,best_ensemble_model,0,,,0.726187,,14400s1c8G
36,autosklearn,fabert,best_ensemble_model,1,,,0.72638,,14400s1c8G
37,autosklearn,fabert,best_ensemble_model,2,,,0.715897,,14400s1c8G
38,autosklearn,fabert,best_ensemble_model,3,,,0.730816,,14400s1c8G
39,autosklearn,fabert,best_ensemble_model,4,,,0.735252,,14400s1c8G
40,autosklearn,jasmine,best_ensemble_model,0,,,0.815705,,14400s1c8G
41,autosklearn,jasmine,best_ensemble_model,1,,,0.8256600000000001,,14400s1c8G
42,autosklearn,jasmine,best_ensemble_model,2,,,0.8499110000000001,,14400s1c8G
43,autosklearn,jasmine,best_ensemble_model,3,,,0.8399110000000001,,14400s1c8G
44,autosklearn,jasmine,best_ensemble_model,4,,,0.802013,,14400s1c8G
45,autosklearn,kc1,best_ensemble_model,0,,,0.745985,,14400s1c8G
46,autosklearn,kc1,best_ensemble_model,1,,,0.76999,,14400s1c8G
47,autosklearn,kc1,best_ensemble_model,2,,,0.7588159999999999,,14400s1c8G
48,autosklearn,kc1,best_ensemble_model,3,,,0.7540859999999999,,14400s1c8G
49,autosklearn,kc1,best_ensemble_model,4,,,0.749574,,14400s1c8G
50,autosklearn,kr-vs-kp,best_ensemble_model,0,,,0.996732,,14400s1c8G
51,autosklearn,kr-vs-kp,best_ensemble_model,1,,,0.988024,,14400s1c8G
52,autosklearn,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
53,autosklearn,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
54,autosklearn,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
55,autosklearn,mfeat-factors,best_ensemble_model,0,,,0.98,,14400s1c8G
56,autosklearn,mfeat-factors,best_ensemble_model,1,,,0.985,,14400s1c8G
57,autosklearn,mfeat-factors,best_ensemble_model,2,,,0.985,,14400s1c8G
58,autosklearn,mfeat-factors,best_ensemble_model,3,,,0.97,,14400s1c8G
59,autosklearn,mfeat-factors,best_ensemble_model,4,,,0.97,,14400s1c8G
60,autosklearn,phoneme,best_ensemble_model,0,,,0.89444,,14400s1c8G
61,autosklearn,phoneme,best_ensemble_model,1,,,0.919852,,14400s1c8G
62,autosklearn,phoneme,best_ensemble_model,2,,,0.879482,,14400s1c8G
63,autosklearn,phoneme,best_ensemble_model,3,,,0.8839520000000001,,14400s1c8G
64,autosklearn,phoneme,best_ensemble_model,4,,,0.887302,,14400s1c8G
65,autosklearn,segment,best_ensemble_model,0,,,0.9870129999999999,,14400s1c8G
66,autosklearn,segment,best_ensemble_model,1,,,0.982684,,14400s1c8G
67,autosklearn,segment,best_ensemble_model,2,,,0.9870129999999999,,14400s1c8G
68,autosklearn,segment,best_ensemble_model,3,,,0.9913420000000001,,14400s1c8G
69,autosklearn,segment,best_ensemble_model,4,,,1.0,,14400s1c8G
70,autosklearn,sylvine,best_ensemble_model,0,,,0.949242,,14400s1c8G
71,autosklearn,sylvine,best_ensemble_model,1,,,0.9590069999999999,,14400s1c8G
72,autosklearn,sylvine,best_ensemble_model,2,,,0.957153,,14400s1c8G
73,autosklearn,sylvine,best_ensemble_model,3,,,0.941558,,14400s1c8G
74,autosklearn,sylvine,best_ensemble_model,4,,,0.9667969999999999,,14400s1c8G
75,autosklearn,vehicle,best_ensemble_model,0,,,0.883117,,14400s1c8G
76,autosklearn,vehicle,best_ensemble_model,1,,,0.802489,,14400s1c8G
77,autosklearn,vehicle,best_ensemble_model,2,,,0.8371209999999999,,14400s1c8G
78,autosklearn,vehicle,best_ensemble_model,3,,,0.859848,,14400s1c8G
79,autosklearn,vehicle,best_ensemble_model,4,,,0.8733770000000001,,14400s1c8G
