,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,adult,best_ensemble_model,0,,,0.817517,,14400s1c8G
1,AutoGluon,adult,best_ensemble_model,1,,,0.822318,,14400s1c8G
2,AutoGluon,adult,best_ensemble_model,2,,,0.804229,,14400s1c8G
3,AutoGluon,adult,best_ensemble_model,3,,,0.809561,,14400s1c8G
4,AutoGluon,adult,best_ensemble_model,4,,,0.799459,,14400s1c8G
5,AutoGluon,Amazon_employee_access,best_ensemble_model,0,,,0.721577,,14400s1c8G
6,AutoGluon,Amazon_employee_access,best_ensemble_model,1,,,,,14400s1c8G
7,AutoGluon,Amazon_employee_access,best_ensemble_model,2,,,0.528461,,14400s1c8G
8,AutoGluon,Amazon_employee_access,best_ensemble_model,3,,,,,14400s1c8G
9,AutoGluon,Amazon_employee_access,best_ensemble_model,4,,,0.749594,,14400s1c8G
10,AutoGluon,APSFailure,best_ensemble_model,0,,,0.928111,,14400s1c8G
11,AutoGluon,APSFailure,best_ensemble_model,1,,,0.892352,,14400s1c8G
12,AutoGluon,APSFailure,best_ensemble_model,2,,,0.8819389999999999,,14400s1c8G
13,AutoGluon,APSFailure,best_ensemble_model,3,,,0.9358120000000001,,14400s1c8G
14,AutoGluon,APSFailure,best_ensemble_model,4,,,0.9457559999999999,,14400s1c8G
15,AutoGluon,bank-marketing,best_ensemble_model,0,,,0.787617,,14400s1c8G
16,AutoGluon,bank-marketing,best_ensemble_model,1,,,0.784467,,14400s1c8G
17,AutoGluon,bank-marketing,best_ensemble_model,2,,,0.810739,,14400s1c8G
18,AutoGluon,bank-marketing,best_ensemble_model,3,,,0.798031,,14400s1c8G
19,AutoGluon,bank-marketing,best_ensemble_model,4,,,0.7935439999999999,,14400s1c8G
20,AutoGluon,connect-4,best_ensemble_model,0,,,0.747541,,14400s1c8G
21,AutoGluon,connect-4,best_ensemble_model,1,,,0.75349,,14400s1c8G
22,AutoGluon,connect-4,best_ensemble_model,2,,,0.776904,,14400s1c8G
23,AutoGluon,connect-4,best_ensemble_model,3,,,0.7607119999999999,,14400s1c8G
24,AutoGluon,connect-4,best_ensemble_model,4,,,0.7686569999999999,,14400s1c8G
25,AutoGluon,Fashion-MNIST,best_ensemble_model,0,,,0.908429,,14400s1c8G
26,AutoGluon,Fashion-MNIST,best_ensemble_model,1,,,,,14400s1c8G
27,AutoGluon,Fashion-MNIST,best_ensemble_model,2,,,,,14400s1c8G
28,AutoGluon,Fashion-MNIST,best_ensemble_model,3,,,0.906143,,14400s1c8G
29,AutoGluon,Fashion-MNIST,best_ensemble_model,4,,,,,14400s1c8G
30,AutoGluon,guillermo,best_ensemble_model,0,,,,,14400s1c8G
31,AutoGluon,guillermo,best_ensemble_model,1,,,,,14400s1c8G
32,AutoGluon,guillermo,best_ensemble_model,2,,,,,14400s1c8G
33,AutoGluon,guillermo,best_ensemble_model,3,,,,,14400s1c8G
34,AutoGluon,guillermo,best_ensemble_model,4,,,,,14400s1c8G
35,AutoGluon,Helena,best_ensemble_model,0,,,,,14400s1c8G
36,AutoGluon,Helena,best_ensemble_model,1,,,0.26756399999999997,,14400s1c8G
37,AutoGluon,Helena,best_ensemble_model,2,,,,,14400s1c8G
