,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_individual_model,0,0.9974311957904884,0.953770261897834,0.9444444444444444,0.01851851851851838
1,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_ensemble_model,0,0.9598765432098766,inf,0.9444444444444444,0.02777777777777779
2,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_individual_model,1,0.9989724806079324,0.9597278388430652,0.8888888888888888,0.04629629629629639
3,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_ensemble_model,1,0.9763374485596708,inf,0.8981481481481483,0.027777777777777568
4,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_individual_model,2,0.9989724806079324,0.9546825297854103,0.9629629629629628,0.0
5,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_ensemble_model,2,0.9578189300411524,inf,0.9722222222222222,0.0
6,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_individual_model,3,0.9974315280923568,0.9557868019802176,0.9351851851851852,0.01851851851851838
7,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_ensemble_model,3,0.9722222222222222,inf,0.9351851851851852,0.00925925925925919
8,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_individual_model,4,0.9974311957904884,0.9557437494680292,0.9629629629629628,0.009259259259259411
9,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,cnae-9,best_ensemble_model,4,0.9660493827160496,inf,0.9814814814814816,0.0
10,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
11,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_ensemble_model,0,0.7297070794029371,inf,0.7337226074083127,0.0
12,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
13,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_ensemble_model,1,0.7301358718058659,inf,0.7256895092607041,9.648784253180054e-05
14,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_individual_model,2,0.8581744825379091,0.7289388509878213,0.7334555387444499,0.0
15,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_ensemble_model,2,0.7293634020671685,inf,0.7330229192333101,0.0004326195111398201
16,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_individual_model,3,0.8572222527164328,0.7272955469207512,0.7345365382099536,0.0
17,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_ensemble_model,3,0.7276916109523623,inf,0.734130040016153,0.00040649819380056407
18,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_individual_model,4,0.8578005422639592,0.7286682733154874,0.7393750271854538,0.0
19,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,higgs,best_ensemble_model,4,0.7287002381098637,inf,0.7380038367284851,0.0013711904569686517
20,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_individual_model,1,1.0,0.9960603267458707,0.9910179640718564,0.0029940119760479833
21,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_ensemble_model,1,0.997150814925078,inf,0.9880239520958084,0.0029940119760479833
22,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_individual_model,2,1.0,0.9947884266868968,0.9967320261437908,0.0
23,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_ensemble_model,2,0.9961211349447704,inf,0.9967320261437908,0.0
24,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_individual_model,3,0.9996439276664604,0.994726989864252,1.0,0.0
25,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_ensemble_model,3,0.9971818264633086,inf,1.0,0.0
26,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_individual_model,4,1.0,0.9957569346528894,1.0,0.0
27,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,kr-vs-kp,best_ensemble_model,4,0.9964850359636932,inf,1.0,0.0
28,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_individual_model,0,0.9331827091945284,0.8399273268247609,0.8467532467532468,0.06071428571428561
29,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_ensemble_model,0,0.8569449488307057,inf,0.8712121212121212,0.00054112554112562
30,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_individual_model,1,0.9782406663798342,0.8396878998770554,0.8376623376623377,0.010281385281385336
31,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_ensemble_model,1,0.8584561936380399,inf,0.8371212121212122,0.0
32,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_individual_model,2,0.916745024903058,0.8284911011270891,0.8722943722943723,0.0
33,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_ensemble_model,2,0.780276452215735,inf,0.7202380952380952,0.023268398268398327
34,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_individual_model,3,0.920905969526386,0.8427578636734699,0.8603896103896105,0.0
35,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_ensemble_model,3,0.8518442516626457,inf,0.8246753246753247,0.04707792207792216
36,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_individual_model,4,0.9188809550159618,0.8534145030185558,0.8733766233766234,0.0
37,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,vehicle,best_ensemble_model,4,0.8689411649120912,inf,0.8143939393939393,0.011904761904761973
38,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_individual_model,0,0.9470163798881628,0.9296974620389524,0.9273003728803138,0.0
39,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_ensemble_model,0,0.9296974591088778,inf,0.9273003728803138,0.0
40,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_individual_model,1,0.9466862088024818,0.9292344752280204,0.9254477711361064,0.0
41,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_ensemble_model,1,0.9292344626510216,inf,0.9254477711361064,0.0
42,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_individual_model,3,0.9464750746368148,0.9296079016217024,0.9300323982777526,0.0
43,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_ensemble_model,3,0.929607970062369,inf,0.9300323982777526,0.0
44,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_individual_model,4,0.9463318886431756,0.9290029696709581,0.9302054555141416,0.0
45,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,MiniBooNE,best_ensemble_model,4,0.9289664973244478,inf,0.9296039242152276,0.0
46,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_individual_model,0,0.6486136134643419,0.637085260994385,0.6370990356185873,0.0
47,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_ensemble_model,0,0.6808229401551267,inf,0.6821966406373985,0.0
48,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_individual_model,1,0.7892796437080007,0.6751430499227026,0.6734928652890803,0.0
49,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_ensemble_model,1,0.7126492731444477,inf,0.7081834688872544,0.0
50,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_individual_model,2,0.7926204346763268,0.6758233413259247,0.6820732300174209,0.0
51,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_ensemble_model,2,0.6362128902140549,inf,0.6426704555051508,0.0
52,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_individual_model,3,0.8024287062352813,0.6791642806835869,0.6940980788685147,0.0
53,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_ensemble_model,3,0.7163350091360435,inf,0.7187371307506679,0.0
54,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_individual_model,4,0.7899914426275776,0.6754418205819611,0.6872420840965908,0.0
55,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,connect-4,best_ensemble_model,4,0.7116449175626164,inf,0.7276800132466318,0.0
56,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_individual_model,0,1.0,0.986059255066519,0.9913419913419912,0.0
57,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_ensemble_model,0,0.986050986050986,inf,0.9913419913419912,0.0
58,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_individual_model,1,1.0,0.9850914502649774,0.9826839826839828,0.008658008658008365
59,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_ensemble_model,1,0.9865319865319864,inf,0.9826839826839828,0.008658008658008365
60,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_individual_model,2,1.0,0.9846138660908638,0.987012987012987,0.008658008658008587
61,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_ensemble_model,2,0.9865319865319864,inf,0.9913419913419912,0.0
62,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_individual_model,3,1.0,0.9855840001925557,0.9826839826839828,0.008658008658008365
63,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_ensemble_model,3,0.9855699855699857,inf,0.9826839826839828,0.0
64,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_individual_model,4,1.0,0.9855932397498176,1.0,0.0
65,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,segment,best_ensemble_model,4,0.9889369889369888,inf,1.0,0.0
66,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_individual_model,0,0.9170202836447878,0.8684295508570871,0.8756366723259762,0.04244482173174868
67,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_ensemble_model,0,0.8778985507246377,inf,0.9019524617996604,0.013157894736842035
68,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_individual_model,1,0.9171135043938892,0.8771311397650402,0.8637521222410866,0.038200339558573826
69,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_ensemble_model,1,0.8865942028985507,inf,0.8314940577249575,0.032258064516129004
70,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_individual_model,2,1.0,0.87278054800109,0.8565365025466893,0.029286926994906537
71,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_ensemble_model,2,0.8862318840579709,inf,0.8463497453310695,0.01018675721561979
72,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_individual_model,3,1.0,0.8836160575054715,0.8624787775891339,0.02037351443123958
73,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_ensemble_model,3,0.8934782608695653,inf,0.8302207130730049,0.032258064516129004
74,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_individual_model,4,1.0,0.8763783793163126,0.8696943972835314,0.03522920203735147
75,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,Australian,best_ensemble_model,4,0.8829710144927536,inf,0.8696943972835314,0.013157894736842146
76,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_individual_model,0,0.850536692658518,0.8431545632094396,0.8472058266981338,0.0
77,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_ensemble_model,0,0.8458525237120404,inf,0.8472103156442765,0.0
78,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_individual_model,1,0.8510141611266959,0.8436462110252588,0.8379501952576471,0.0
79,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_ensemble_model,1,0.8471329300265336,inf,0.8387236752084022,0.0
80,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_individual_model,2,0.8507924421192776,0.8431550062076499,0.8517158308388753,0.0
81,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_ensemble_model,2,0.8445960846373863,inf,0.8522420631994927,0.0
82,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_individual_model,3,0.8512429737498263,0.8439482154283157,0.8406465193093178,0.0
83,autosklearnBBCEnsembleSelectionLatest_B_10_Nb_100,adult,best_ensemble_model,3,0.8464409389873611,inf,0.8420413576241945,0.0009543145523983609
