,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_individual_model,0,0.9974311957904884,0.953770261897834,0.9444444444444444,0.01851851851851838
1,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_ensemble_model,0,0.9629629629629632,inf,0.9722222222222222,0.0
2,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_individual_model,1,0.9989724806079324,0.9597278388430652,0.8888888888888888,0.04629629629629639
3,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_ensemble_model,1,0.9753086419753088,inf,0.9074074074074072,0.009259259259259411
4,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_individual_model,2,0.9989724806079324,0.9546825297854103,0.9629629629629628,0.009259259259259411
5,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_ensemble_model,2,0.9609053497942386,inf,0.9722222222222222,0.0
6,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_individual_model,3,0.9989724806079324,0.9516584619465278,0.9537037037037036,0.0
7,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_ensemble_model,3,0.9537037037037036,inf,0.9444444444444444,0.0
8,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_individual_model,4,0.9974311957904884,0.9557437494680292,0.9629629629629628,0.0
9,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,cnae-9,best_ensemble_model,4,0.9588477366255144,inf,0.9629629629629628,0.009259259259259411
10,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
11,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_ensemble_model,0,0.7297070794029371,inf,0.7337226074083127,0.0
12,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
13,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_ensemble_model,1,0.7301358718058659,inf,0.7256895092607041,9.648784253180054e-05
14,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_individual_model,3,0.8572222527164328,0.7272955469207512,0.7345365382099536,0.0
15,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
16,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_individual_model,4,0.8578005422639592,0.7286682733154874,0.7393750271854538,0.0
17,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,higgs,best_ensemble_model,4,0.7286684151243198,inf,0.7393750271854538,0.0
18,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_individual_model,0,1.0,0.9972414241959712,0.9967320261437908,0.0032679738562092497
19,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_ensemble_model,0,0.9975767390204618,inf,0.9967320261437908,0.0
20,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_individual_model,1,1.0,0.9960603267458707,0.9910179640718564,0.0
21,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_ensemble_model,1,0.9967869139061551,inf,0.9880239520958084,0.0029940119760479833
22,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_individual_model,2,1.0,0.9947884266868968,0.9967320261437908,0.0
23,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_ensemble_model,2,0.9957572339258476,inf,0.9967320261437908,0.0
24,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_individual_model,3,1.0,0.9960877183712908,1.0,0.0
25,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_ensemble_model,3,0.996848936982616,inf,1.0,0.0
26,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_individual_model,4,1.0,0.9957569346528894,1.0,0.0
27,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,kr-vs-kp,best_ensemble_model,4,0.9972128380015391,inf,1.0,0.0
28,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_individual_model,0,0.9478458480588796,0.8452530310538299,0.8955627705627706,0.023268398268398216
29,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_ensemble_model,0,0.8739953633937392,inf,0.8831168831168832,0.0
30,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_individual_model,1,0.9782406663798342,0.8396878998770554,0.8376623376623377,0.010281385281385336
31,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_ensemble_model,1,0.859791943403109,inf,0.8371212121212122,0.0
32,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_individual_model,2,0.916745024903058,0.8284911011270891,0.8722943722943723,0.0
33,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_ensemble_model,2,0.8326141149395183,inf,0.7548701298701299,0.0
34,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_individual_model,3,0.920905969526386,0.8427578636734699,0.8603896103896105,0.0
35,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_ensemble_model,3,0.8492264506155252,inf,0.8246753246753247,0.04707792207792216
36,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_individual_model,4,0.9218377396684821,0.8467430490162872,0.8262987012987013,0.0
37,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,vehicle,best_ensemble_model,4,0.8479771309343165,inf,0.8262987012987013,0.0
38,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,MiniBooNE,best_individual_model,0,0.9470163798881628,0.9296974620389524,0.9273003728803138,0.0
39,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,MiniBooNE,best_ensemble_model,0,0.9296974591088778,inf,0.9273003728803138,0.0
40,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,MiniBooNE,best_individual_model,4,0.8593297461124163,0.8592167720413336,0.8630773478428359,0.0
41,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,MiniBooNE,best_ensemble_model,4,0.8592167553649136,inf,0.8630773478428359,0.0
42,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_individual_model,0,0.7832653339749013,0.6731214423143501,0.6797804962479553,0.0
43,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_ensemble_model,0,0.6370850547258865,inf,0.6370990356185873,0.0
44,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_individual_model,2,0.6483646190037007,0.6362133339583452,0.6426704555051508,0.0
45,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_ensemble_model,2,0.3333333333333333,inf,0.3333333333333333,0.0
46,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_individual_model,3,0.6502466747083654,0.6394611686554381,0.6227755824138822,0.0
47,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_100_Nb_100,connect-4,best_ensemble_model,3,0.3333333333333333,inf,0.3333333333333333,0.0
